cohort,marker,n,n_observed,pct_observed
all,ptfv1,3745,3676,98.15754339118826
all,ntprobnp,3745,3580,95.59412550066756
all,lad,3745,3136,83.73831775700934
all,ladi,3745,3125,83.44459279038718
all,lav,3745,2908,77.6502002670227
all,lavi,3745,2897,77.35647530040053
randomized,ptfv1,1015,1003,98.81773399014779
randomized,ntprobnp,1015,998,98.32512315270937
randomized,lad,1015,942,92.80788177339902
randomized,ladi,1015,938,92.41379310344827
randomized,lav,1015,876,86.30541871921183
randomized,lavi,1015,872,85.91133004926108
screened_not_rand,ptfv1,2730,2673,97.91208791208791
screened_not_rand,ntprobnp,2730,2582,94.57875457875458
screened_not_rand,lad,2730,2194,80.36630036630036
screened_not_rand,ladi,2730,2187,80.10989010989012
screened_not_rand,lav,2730,2032,74.43223443223444
screened_not_rand,lavi,2730,2025,74.17582417582418
