repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,0.587,Associative latent class model,True,19,3,-4070.2577254533107,0.49043157763165335,2.1358874823125378
0,0.587,Renal-adjusted associative latent class model,True,15,3,-3652.989490250203,0.49293405916027555,2.179692974919282
0,0.587,Two-nuisance adjusted associative latent model,True,25,1,-3652.426729218523,0.4920758529669076,2.1566297688230973
0,0.587,Two-path biologically constrained latent SCM,True,14,3,-3652.903578897836,0.49413084338862456,2.1822900410520365
0,0.587,Two-path latent SCM (counterfactual query),True,14,3,-3652.903578897836,0.49413084338862456,2.1822900410520365
1,0.587,Associative latent class model,True,31,2,-4142.713002134826,0.4430793836870101,2.276358848758337
1,0.587,Renal-adjusted associative latent class model,True,23,3,-3719.2853590260283,0.4722951093057475,2.271423588961984
1,0.587,Two-nuisance adjusted associative latent model,True,23,0,-3718.8763173491616,0.4651715917009068,2.290120535943855
1,0.587,Two-path biologically constrained latent SCM,True,18,0,-3719.6757375271845,0.46947366360194004,2.280130444599979
1,0.587,Two-path latent SCM (counterfactual query),True,18,0,-3719.6757375271845,0.46947366360194004,2.280130444599979
2,0.587,Associative latent class model,True,27,1,-4044.8373139364517,0.4756912243202079,2.1346430158983267
2,0.587,Renal-adjusted associative latent class model,True,22,3,-3611.215397060393,0.49333406595224927,2.230671134004922
2,0.587,Two-nuisance adjusted associative latent model,True,23,3,-3609.1990582071776,0.48626155551388783,2.2277748986810315
2,0.587,Two-path biologically constrained latent SCM,True,20,1,-3609.900225530022,0.48795753227175054,2.2156999810173836
2,0.587,Two-path latent SCM (counterfactual query),True,20,1,-3609.900225530022,0.48795753227175054,2.2156999810173836
3,0.587,Associative latent class model,True,23,3,-4020.4453524612845,0.4472965922391046,1.7164311017960001
3,0.587,Renal-adjusted associative latent class model,True,51,3,-3616.2052255352046,0.4486460038183022,1.9651853412062825
3,0.587,Two-nuisance adjusted associative latent model,True,35,3,-3614.723258542017,0.4379911385901563,1.9556974478383722
3,0.587,Two-path biologically constrained latent SCM,True,17,0,-3617.62778640246,0.473274084653756,1.8695256788291492
3,0.587,Two-path latent SCM (counterfactual query),True,17,0,-3617.62778640246,0.473274084653756,1.8695256788291492
4,0.587,Associative latent class model,True,24,2,-4069.3453341784752,0.4731250989080705,2.0180418721592477
4,0.587,Renal-adjusted associative latent class model,True,22,0,-3649.320794357939,0.4772738881014112,2.2247614483905664
4,0.587,Two-nuisance adjusted associative latent model,True,22,3,-3648.876184033136,0.47921054946208286,2.238313050015755
4,0.587,Two-path biologically constrained latent SCM,True,32,2,-3652.1143138458215,0.4739327906949518,2.1600179476488215
4,0.587,Two-path latent SCM (counterfactual query),True,32,2,-3652.1143138458215,0.4739327906949518,2.1600179476488215
5,0.587,Associative latent class model,True,25,3,-4046.5861446069107,0.47048511674433385,1.4974776385834494
5,0.587,Renal-adjusted associative latent class model,True,30,0,-3640.898131126971,0.47577268551835344,1.6207597273691314
5,0.587,Two-nuisance adjusted associative latent model,True,29,0,-3639.4546547887503,0.48284720978527285,1.6142192111775304
5,0.587,Two-path biologically constrained latent SCM,True,30,3,-3639.990971806487,0.4816045882149551,1.6091539011463682
5,0.587,Two-path latent SCM (counterfactual query),True,30,3,-3639.990971806487,0.4816045882149551,1.6091539011463682
6,0.587,Associative latent class model,True,29,1,-4072.7843739462974,0.4770086349064087,1.5549885582516225
6,0.587,Renal-adjusted associative latent class model,True,28,1,-3670.368230280832,0.4618140225746656,1.8693028467720003
6,0.587,Two-nuisance adjusted associative latent model,True,28,1,-3669.793676788206,0.46081268924902213,1.8669947494985475
6,0.587,Two-path biologically constrained latent SCM,True,31,1,-3670.259081071716,0.45780505854230713,1.8569060702715794
6,0.587,Two-path latent SCM (counterfactual query),True,31,1,-3670.259081071716,0.45780505854230713,1.8569060702715794
7,0.587,Associative latent class model,True,29,0,-4074.1697282652467,0.4644775138571855,1.786436793009963
7,0.587,Renal-adjusted associative latent class model,True,23,1,-3658.105654880614,0.47062060352797347,1.9399523659725726
7,0.587,Two-nuisance adjusted associative latent model,True,24,1,-3657.291925311297,0.4687993491250639,1.9423805680861583
7,0.587,Two-path biologically constrained latent SCM,True,32,2,-3659.6363912058036,0.4302673216232229,1.9695627099386717
7,0.587,Two-path latent SCM (counterfactual query),True,32,2,-3659.6363912058036,0.4302673216232229,1.9695627099386717
8,0.587,Associative latent class model,True,19,1,-4000.1299792298946,0.482948233625752,1.8092533537094413
8,0.587,Renal-adjusted associative latent class model,True,20,3,-3611.2703156383086,0.4752959537287055,2.027521251847193
8,0.587,Two-nuisance adjusted associative latent model,True,22,0,-3610.6798166850485,0.47811511310393967,2.009975758363261
8,0.587,Two-path biologically constrained latent SCM,True,21,0,-3612.511086313626,0.48196629781182876,2.002527566885198
8,0.587,Two-path latent SCM (counterfactual query),True,21,0,-3612.511086313626,0.48196629781182876,2.002527566885198
9,0.587,Associative latent class model,True,29,2,-4055.363373891512,0.44060276675615173,1.9646487482086803
9,0.587,Renal-adjusted associative latent class model,True,30,1,-3629.0968162712998,0.42909716161011247,2.083258376803667
9,0.587,Two-nuisance adjusted associative latent model,True,30,1,-3628.035748146861,0.4280705739166561,2.0816804291699933
9,0.587,Two-path biologically constrained latent SCM,True,26,1,-3629.1487592961175,0.4281063385548209,2.0817023167372457
9,0.587,Two-path latent SCM (counterfactual query),True,26,1,-3629.1487592961175,0.4281063385548209,2.0817023167372457
10,0.587,Associative latent class model,True,25,0,-4114.322737498371,0.48299200294504585,1.7772958072541676
10,0.587,Renal-adjusted associative latent class model,True,21,3,-3691.5888709248065,0.4771289849456268,1.959307476432408
10,0.587,Two-nuisance adjusted associative latent model,True,25,3,-3691.228606967432,0.4768199189736434,1.9657530682168798
10,0.587,Two-path biologically constrained latent SCM,True,24,3,-3691.3404941621175,0.47130002962703016,1.9876740356841338
10,0.587,Two-path latent SCM (counterfactual query),True,24,3,-3691.3404941621175,0.47130002962703016,1.9876740356841338
11,0.587,Associative latent class model,True,42,3,-4117.211687724026,0.4919859282862957,1.363762159635007
11,0.587,Renal-adjusted associative latent class model,True,32,3,-3681.4393556720443,0.42974321091689044,1.951039830273026
11,0.587,Two-nuisance adjusted associative latent model,True,36,0,-3680.160905540335,0.42540801216600316,1.9638455740056993
11,0.587,Two-path biologically constrained latent SCM,True,39,0,-3683.072256499535,0.40097140066568093,1.9627656660120296
11,0.587,Two-path latent SCM (counterfactual query),True,39,0,-3683.072256499535,0.40097140066568093,1.9627656660120296
12,0.587,Associative latent class model,True,36,0,-4049.304647190423,0.41306211824441436,1.6540498139842081
12,0.587,Renal-adjusted associative latent class model,True,43,0,-3626.232648700984,0.4166583507618664,2.041038321951163
12,0.587,Two-nuisance adjusted associative latent model,True,40,1,-3623.97166125876,0.4171149139627052,2.054035104160363
12,0.587,Two-path biologically constrained latent SCM,True,34,3,-3627.3496938915296,0.43353178034550993,2.0009663152141286
12,0.587,Two-path latent SCM (counterfactual query),True,34,3,-3627.3496938915296,0.43353178034550993,2.0009663152141286
13,0.587,Associative latent class model,True,29,0,-4095.3024180413736,0.45766495390558826,1.423784656192048
13,0.587,Renal-adjusted associative latent class model,True,28,1,-3674.0139816242945,0.4516626864773138,1.5629615329657787
13,0.587,Two-nuisance adjusted associative latent model,True,26,1,-3668.298054602215,0.46483546698383643,1.5131152979923688
13,0.587,Two-path biologically constrained latent SCM,True,37,2,-3670.8049055730785,0.4479508018536592,1.480834053894596
13,0.587,Two-path latent SCM (counterfactual query),True,37,2,-3670.8049055730785,0.4479508018536592,1.480834053894596
14,0.587,Associative latent class model,True,26,0,-4069.0715002220186,0.49389182374585894,1.935138254887324
14,0.587,Renal-adjusted associative latent class model,True,38,1,-3632.1362960621595,0.4784542370223058,2.1316548908130124
14,0.587,Two-nuisance adjusted associative latent model,True,39,1,-3629.2299715639847,0.4742044884318328,2.1464369450234804
14,0.587,Two-path biologically constrained latent SCM,True,27,1,-3630.0189660643796,0.47652451704803417,2.121153488614312
14,0.587,Two-path latent SCM (counterfactual query),True,27,1,-3630.0189660643796,0.47652451704803417,2.121153488614312
15,0.587,Associative latent class model,True,21,3,-4096.389416376306,0.4599086826042725,2.313000463246285
15,0.587,Renal-adjusted associative latent class model,True,28,1,-3653.8726336189984,0.4601531011096825,2.352491702232963
15,0.587,Two-nuisance adjusted associative latent model,True,23,3,-3651.8743278962074,0.4601711653642991,2.3508863966478524
15,0.587,Two-path biologically constrained latent SCM,True,34,2,-3653.5103034934073,0.4507385226426636,2.3658280273377668
15,0.587,Two-path latent SCM (counterfactual query),True,34,2,-3653.5103034934073,0.4507385226426636,2.3658280273377668
16,0.587,Associative latent class model,True,27,3,-4052.4021193562553,0.4500003666821128,1.777537934629263
16,0.587,Renal-adjusted associative latent class model,True,23,1,-3680.7385860596323,0.4598736807142583,1.8508317562416547
16,0.587,Two-nuisance adjusted associative latent model,True,30,3,-3680.119631516561,0.45555386878365967,1.8534733198200697
16,0.587,Two-path biologically constrained latent SCM,True,22,0,-3681.4232981074974,0.4642622599791477,1.8472382551535638
16,0.587,Two-path latent SCM (counterfactual query),True,22,0,-3681.4232981074974,0.4642622599791477,1.8472382551535638
17,0.587,Associative latent class model,True,29,0,-4132.268783643951,0.412391141510483,2.085125585160149
17,0.587,Renal-adjusted associative latent class model,True,41,1,-3703.716527919443,0.3949179478298304,2.301919425310744
17,0.587,Two-nuisance adjusted associative latent model,True,40,3,-3701.4211476697037,0.39631289989548146,2.3192942159278465
17,0.587,Two-path biologically constrained latent SCM,True,29,2,-3701.8004750743144,0.3962926701762893,2.306637895198087
17,0.587,Two-path latent SCM (counterfactual query),True,29,2,-3701.8004750743144,0.3962926701762893,2.306637895198087
18,0.587,Associative latent class model,True,10,3,-4086.621816701006,0.48776321653532306,1.7837925908734087
18,0.587,Renal-adjusted associative latent class model,True,16,3,-3678.7315510860326,0.49674964037427316,2.230066070545605
18,0.587,Two-nuisance adjusted associative latent model,True,32,3,-3677.3851871715387,0.4913651530229048,2.178265319332544
18,0.587,Two-path biologically constrained latent SCM,True,16,0,-3679.10422161665,0.4961865306000101,2.1545904851534585
18,0.587,Two-path latent SCM (counterfactual query),True,16,0,-3679.10422161665,0.4961865306000101,2.1545904851534585
19,0.587,Associative latent class model,True,25,0,-4065.663447709565,0.4686575840633646,1.3628038452740836
19,0.587,Renal-adjusted associative latent class model,True,27,0,-3654.9154232369465,0.4737940725471424,1.6538291274692964
19,0.587,Two-nuisance adjusted associative latent model,True,27,0,-3654.2791992134653,0.47503136187041706,1.6526645741141899
19,0.587,Two-path biologically constrained latent SCM,True,26,3,-3655.2326852418605,0.48478411543189137,1.6554064577632794
19,0.587,Two-path latent SCM (counterfactual query),True,26,3,-3655.2326852418605,0.48478411543189137,1.6554064577632794
20,0.587,Associative latent class model,True,26,2,-4024.793631925392,0.43633171866370246,1.5699274785024557
20,0.587,Renal-adjusted associative latent class model,True,28,3,-3628.032642920049,0.4826503888879186,1.7194827959534633
20,0.587,Two-nuisance adjusted associative latent model,True,29,1,-3625.6201668364256,0.47285023313935837,1.7285253862051628
20,0.587,Two-path biologically constrained latent SCM,True,21,1,-3626.641292084582,0.4788474001033994,1.7068164409807625
20,0.587,Two-path latent SCM (counterfactual query),True,21,1,-3626.641292084582,0.4788474001033994,1.7068164409807625
21,0.587,Associative latent class model,True,29,0,-4055.6447409268667,0.4333337677064806,1.4436111504857658
21,0.587,Renal-adjusted associative latent class model,True,37,3,-3650.2469617107818,0.4143511627443007,1.8324749436980987
21,0.587,Two-nuisance adjusted associative latent model,True,38,0,-3649.4701491843075,0.4142583063763021,1.8188037386342764
21,0.587,Two-path biologically constrained latent SCM,True,42,3,-3650.0019152912478,0.4100555335420637,1.8143016893074437
21,0.587,Two-path latent SCM (counterfactual query),True,42,3,-3650.0019152912478,0.4100555335420637,1.8143016893074437
22,0.587,Associative latent class model,True,16,3,-4131.171523279318,0.49558818538779903,1.8896847512203956
22,0.587,Renal-adjusted associative latent class model,True,15,0,-3667.7206463660195,0.4979469930691728,2.1705940625174445
22,0.587,Two-nuisance adjusted associative latent model,True,15,0,-3664.0216491593796,0.4960321715083744,2.175359099191791
22,0.587,Two-path biologically constrained latent SCM,True,15,0,-3664.6094353271,0.49610329928522573,2.16719706367934
22,0.587,Two-path latent SCM (counterfactual query),True,15,0,-3664.6094353271,0.49610329928522573,2.16719706367934
23,0.587,Associative latent class model,True,16,0,-4055.786032389141,0.49608086239245053,2.1110268911868992
23,0.587,Renal-adjusted associative latent class model,True,27,1,-3627.7085625114705,0.4796765215678711,2.018510110182193
23,0.587,Two-nuisance adjusted associative latent model,True,22,3,-3626.880539822209,0.4789076221476947,2.024511933577377
23,0.587,Two-path biologically constrained latent SCM,True,22,0,-3627.9347681160534,0.48447999859688506,2.0337961914295937
23,0.587,Two-path latent SCM (counterfactual query),True,22,0,-3627.9347681160534,0.48447999859688506,2.0337961914295937
24,0.587,Associative latent class model,True,23,0,-4059.706517812827,0.47794768672447924,1.7011713765576877
24,0.587,Renal-adjusted associative latent class model,True,37,3,-3654.6172415426727,0.4555163207604508,1.879386609185735
24,0.587,Two-nuisance adjusted associative latent model,True,28,0,-3654.6133542927755,0.4583623258617154,1.8778740604180606
24,0.587,Two-path biologically constrained latent SCM,True,30,2,-3655.0950310384424,0.43416509255590674,1.8675107293565631
24,0.587,Two-path latent SCM (counterfactual query),True,30,2,-3655.0950310384424,0.43416509255590674,1.8675107293565631
25,0.587,Associative latent class model,True,31,3,-4106.900239712457,0.44815187477820445,1.6922005341662307
25,0.587,Renal-adjusted associative latent class model,True,40,3,-3701.5204214915075,0.4288939406432501,1.9449506014766602
25,0.587,Two-nuisance adjusted associative latent model,True,39,0,-3700.973204880247,0.42967148372042874,1.9496665067912307
25,0.587,Two-path biologically constrained latent SCM,True,66,2,-3701.3790776183714,0.4307275009473892,1.9488258528751836
25,0.587,Two-path latent SCM (counterfactual query),True,66,2,-3701.3790776183714,0.4307275009473892,1.9488258528751836
26,0.587,Associative latent class model,True,33,1,-4080.6157737309404,0.41642600248228356,1.913822677638571
26,0.587,Renal-adjusted associative latent class model,True,22,1,-3654.658897823333,0.4531501376327317,2.088718522378995
26,0.587,Two-nuisance adjusted associative latent model,True,23,1,-3652.876665179122,0.4475823306062743,2.0771465277687167
26,0.587,Two-path biologically constrained latent SCM,True,19,1,-3653.8167701264483,0.4672686128028605,2.0985552240994094
26,0.587,Two-path latent SCM (counterfactual query),True,19,1,-3653.8167701264483,0.4672686128028605,2.0985552240994094
27,0.587,Associative latent class model,True,19,1,-4018.604430078527,0.47666603550552833,2.147118862122758
27,0.587,Renal-adjusted associative latent class model,True,20,1,-3615.210345248729,0.4812208028159729,2.2017480166825036
27,0.587,Two-nuisance adjusted associative latent model,True,21,0,-3613.7329828959573,0.4810571591934949,2.201853491535015
27,0.587,Two-path biologically constrained latent SCM,True,17,1,-3616.580094600259,0.4796423213381469,2.1884760950043116
27,0.587,Two-path latent SCM (counterfactual query),True,17,1,-3616.580094600259,0.4796423213381469,2.1884760950043116
28,0.587,Associative latent class model,True,27,3,-4043.7330909335597,0.4884637930355618,1.7646917316354482
28,0.587,Renal-adjusted associative latent class model,True,21,0,-3626.5066132385714,0.47485341867974545,1.9578189151394905
28,0.587,Two-nuisance adjusted associative latent model,True,21,0,-3626.0819942313037,0.47443816804855415,1.9588476687294634
28,0.587,Two-path biologically constrained latent SCM,True,19,0,-3626.6665713851808,0.4753101283708157,1.9623535792752842
28,0.587,Two-path latent SCM (counterfactual query),True,19,0,-3626.6665713851808,0.4753101283708157,1.9623535792752842
29,0.587,Associative latent class model,True,16,1,-4120.306011730068,0.49380925536699366,1.7343454619628513
29,0.587,Renal-adjusted associative latent class model,True,24,3,-3673.9079934934334,0.47719642688335884,1.8532780639667292
29,0.587,Two-nuisance adjusted associative latent model,True,17,3,-3672.1832406251096,0.4831520132980998,1.8482941318419224
29,0.587,Two-path biologically constrained latent SCM,True,22,0,-3673.6770351018645,0.47567025666765533,1.8226973348844075
29,0.587,Two-path latent SCM (counterfactual query),True,22,0,-3673.6770351018645,0.47567025666765533,1.8226973348844075
30,0.587,Associative latent class model,True,24,1,-4067.4978617919023,0.4732648732440048,2.199379314958298
30,0.587,Renal-adjusted associative latent class model,True,27,1,-3641.4288836535306,0.4643636728507072,2.164336453206378
30,0.587,Two-nuisance adjusted associative latent model,True,27,1,-3639.6225941241833,0.46167909223432446,2.1684268149513826
30,0.587,Two-path biologically constrained latent SCM,True,27,1,-3641.831241467109,0.4632107718584825,2.2095329996172834
30,0.587,Two-path latent SCM (counterfactual query),True,27,1,-3641.831241467109,0.4632107718584825,2.2095329996172834
31,0.587,Associative latent class model,True,27,1,-4060.95081615527,0.4523787590638828,1.9428717809038032
31,0.587,Renal-adjusted associative latent class model,True,31,3,-3635.845572517494,0.4625113185513692,2.001796288186159
31,0.587,Two-nuisance adjusted associative latent model,True,29,3,-3635.2739971904175,0.46471977706396755,1.9952162038673507
31,0.587,Two-path biologically constrained latent SCM,True,22,3,-3635.996249033362,0.4641642825290115,1.997362742976943
31,0.587,Two-path latent SCM (counterfactual query),True,22,3,-3635.996249033362,0.4641642825290115,1.997362742976943
32,0.587,Associative latent class model,True,23,1,-4048.8160281539717,0.4862411579134709,1.8898328335523407
32,0.587,Renal-adjusted associative latent class model,True,38,3,-3659.0835383579615,0.47626329265608375,2.005687524001177
32,0.587,Two-nuisance adjusted associative latent model,True,40,0,-3657.848237331621,0.47612292856480454,2.006960021998215
32,0.587,Two-path biologically constrained latent SCM,True,22,1,-3661.991506452174,0.49935136910669586,1.9434909879912192
32,0.587,Two-path latent SCM (counterfactual query),True,22,1,-3661.991506452174,0.49935136910669586,1.9434909879912192
33,0.587,Associative latent class model,True,14,1,-4113.540695225089,0.47708447094868717,1.5928561476041376
33,0.587,Renal-adjusted associative latent class model,True,20,1,-3679.568456224578,0.4961741542745154,1.9468957766532897
33,0.587,Two-nuisance adjusted associative latent model,True,20,1,-3679.2357534203747,0.4961347166756008,1.9472545526491523
33,0.587,Two-path biologically constrained latent SCM,True,21,3,-3680.039717998493,0.493958530396968,1.9651170606523647
33,0.587,Two-path latent SCM (counterfactual query),True,21,3,-3680.039717998493,0.493958530396968,1.9651170606523647
34,0.587,Associative latent class model,True,28,2,-4072.8186975464996,0.42646202047677056,2.197301273411181
34,0.587,Renal-adjusted associative latent class model,True,39,3,-3662.1043428787875,0.43124787201770376,2.2285598751260296
34,0.587,Two-nuisance adjusted associative latent model,True,30,1,-3660.7240613758695,0.4334489754692577,2.2151455902205317
34,0.587,Two-path biologically constrained latent SCM,True,48,2,-3662.4677723692394,0.4277753621525589,2.21313430708191
34,0.587,Two-path latent SCM (counterfactual query),True,48,2,-3662.4677723692394,0.4277753621525589,2.21313430708191
35,0.587,Associative latent class model,True,37,2,-4089.4231766176304,0.4240854588172775,1.1301985577743268
35,0.587,Renal-adjusted associative latent class model,True,27,1,-3655.13679839181,0.4561320159426803,1.295527617114301
35,0.587,Two-nuisance adjusted associative latent model,True,28,1,-3653.407286710367,0.45406633335383517,1.2804815552377664
35,0.587,Two-path biologically constrained latent SCM,True,24,1,-3654.941867639085,0.46053287956044087,1.3064122114651036
35,0.587,Two-path latent SCM (counterfactual query),True,24,1,-3654.941867639085,0.46053287956044087,1.3064122114651036
36,0.587,Associative latent class model,True,24,1,-4063.3512585194208,0.48804138884942644,2.068460133971284
36,0.587,Renal-adjusted associative latent class model,True,17,0,-3676.738170479095,0.499726212254167,2.179340692099492
36,0.587,Two-nuisance adjusted associative latent model,True,36,3,-3675.648827915032,0.4998837224047412,2.18177547869493
36,0.587,Two-path biologically constrained latent SCM,True,20,3,-3676.453558006022,0.4935700635567958,2.17239672958301
36,0.587,Two-path latent SCM (counterfactual query),True,20,3,-3676.453558006022,0.4935700635567958,2.17239672958301
37,0.587,Associative latent class model,True,26,0,-4026.5349420147936,0.4814616304906153,1.6786621329793125
37,0.587,Renal-adjusted associative latent class model,True,20,3,-3629.269697193812,0.48018389832161573,1.8039964595332494
37,0.587,Two-nuisance adjusted associative latent model,True,59,3,-3629.181840424586,0.4874092309121276,1.788808263565993
37,0.587,Two-path biologically constrained latent SCM,True,19,3,-3629.5372116232556,0.4866007417501368,1.7878721147172905
37,0.587,Two-path latent SCM (counterfactual query),True,19,3,-3629.5372116232556,0.4866007417501368,1.7878721147172905
38,0.587,Associative latent class model,True,22,1,-4064.238504269071,0.4477989853126955,1.72219656001606
38,0.587,Renal-adjusted associative latent class model,True,23,1,-3662.2696195559133,0.4695462586321447,1.901271134189014
38,0.587,Two-nuisance adjusted associative latent model,True,21,3,-3659.805869347246,0.4718612488388636,1.89901553800091
38,0.587,Two-path biologically constrained latent SCM,True,18,1,-3664.554923066901,0.486097597101527,1.838185386600015
38,0.587,Two-path latent SCM (counterfactual query),True,18,1,-3664.554923066901,0.486097597101527,1.838185386600015
39,0.587,Associative latent class model,True,29,2,-4089.2166926630393,0.45497397267401374,1.8447835164966988
39,0.587,Renal-adjusted associative latent class model,True,23,3,-3678.334076524483,0.46970521081861977,2.101407654179271
39,0.587,Two-nuisance adjusted associative latent model,True,19,1,-3674.904855015333,0.4788900893106994,2.1081210178061687
39,0.587,Two-path biologically constrained latent SCM,True,18,1,-3676.8361209738937,0.4827942715671639,2.085322580113707
39,0.587,Two-path latent SCM (counterfactual query),True,18,1,-3676.8361209738937,0.4827942715671639,2.085322580113707
40,0.587,Associative latent class model,True,23,1,-4069.75653579881,0.49464009166311323,1.8294795052593054
