heart_failure_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.0,Associative latent class model,accuracy,causal SCM minus comparator,500,0.01334975369458128,0.012161672032779383,0.014537835356383177
0.0,Associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.03312598208641802,0.030209462988573715,0.03604250118426232
0.0,Associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.22192862204722127,-0.23054058734541383,-0.21331665674902872
0.0,Associative latent class model,brier_score,causal SCM minus comparator,500,-0.009163014891539914,-0.009852653560954893,-0.008473376222124934
0.0,Associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.0081331720328175,-0.009630794500077637,-0.006635549565557362
0.0,Associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.004494587547898558,0.0017537600923582348,0.0072354150034388805
0.0,Associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.03454777844561298,0.023901368369571505,0.04519418852165445
0.0,Associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.044069977827881274,0.039742193670639435,0.04839776198512311
0.0,Associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.005975447299593086,0.004863533542169035,0.007087361057017136
0.0,Associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,0.03613541796233086,0.030883620019560663,0.04138721590510105
0.0,Associative latent class model,false_atrial__redundant,causal SCM minus comparator,500,-0.21327630147630147,-0.2295829107112894,-0.19696969224131355
0.0,Associative latent class model,false_atrial__renal_only,causal SCM minus comparator,500,-0.222499843864938,-0.23124526943456436,-0.21375441829531167
0.0,Associative latent class model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.03758375203161125,0.03516916588635495,0.03999833817686756
0.0,Associative latent class model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,-0.0017405974274519816,-0.003063084225905016,-0.0004181106289989475
0.0,Associative latent class model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.016624787100133032,0.011150515356154321,0.022099058844111744
0.0,Associative latent class model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.016349085735442314,0.013995728176290072,0.018702443294594556
0.0,Associative latent class model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,-0.0008919171989951742,-0.0017803892655269596,-3.4451324633885975e-06
0.0,Renal-adjusted associative latent class model,accuracy,causal SCM minus comparator,500,0.0025852216748768475,0.001948765414553904,0.003221677935199791
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.0065014816876364885,0.004900561245398729,0.008102402129874248
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.02802624680324912,-0.03615424845294868,-0.019898245153549564
0.0,Renal-adjusted associative latent class model,brier_score,causal SCM minus comparator,500,-0.0016193341830704898,-0.0019681194676390893,-0.0012705488985018903
0.0,Renal-adjusted associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.0009201607518697692,-0.0017855019513422585,-5.4819552397279724e-05
0.0,Renal-adjusted associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,-0.003138129419018411,-0.005229060241054861,-0.0010471985969819613
0.0,Renal-adjusted associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.005784935887136163,-0.0007275952119727772,0.012297466986245103
0.0,Renal-adjusted associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.009906344554276242,0.007302055100034555,0.012510634008517929
0.0,Renal-adjusted associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.0010968104482809425,0.000568099381294108,0.0016255215152677768
0.0,Renal-adjusted associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,0.005446315987701238,0.0008574151165136176,0.010035216858888859
0.0,Renal-adjusted associative latent class model,false_atrial__redundant,causal SCM minus comparator,500,-0.034289690864690865,-0.04571758411197485,-0.02286179761740688
