repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,0.0,Associative latent class model,True,28,3,-4062.0896550824596,0.4393054488236197,2.0836746288877763
0,0.0,Renal-adjusted associative latent class model,True,40,0,-3651.1540508735416,0.44455185535436387,2.1650195694298726
0,0.0,Two-nuisance adjusted associative latent model,True,40,0,-3650.863685825619,0.4455258848052025,2.163863985682658
0,0.0,Two-path biologically constrained latent SCM,True,30,1,-3653.196582340175,0.43859852156655704,2.094936690891653
0,0.0,Two-path latent SCM (counterfactual query),True,30,1,-3653.196582340175,0.43859852156655704,2.094936690891653
1,0.0,Associative latent class model,True,18,0,-4011.4735589174643,0.49049024777758293,2.14902687558006
1,0.0,Renal-adjusted associative latent class model,True,22,0,-3594.1173654309796,0.47984151059387287,2.183588939600374
1,0.0,Two-nuisance adjusted associative latent model,True,22,0,-3593.3612212976122,0.4795958665938658,2.1915764409199445
1,0.0,Two-path biologically constrained latent SCM,True,21,3,-3595.9074089813957,0.48831153340864697,2.1523796543820723
1,0.0,Two-path latent SCM (counterfactual query),True,21,3,-3595.9074089813957,0.48831153340864697,2.1523796543820723
2,0.0,Associative latent class model,True,36,2,-4038.3514721463484,0.43181516520420926,1.9687016451759756
2,0.0,Renal-adjusted associative latent class model,True,28,0,-3641.6086645823952,0.4418778796889626,1.9488587962878285
2,0.0,Two-nuisance adjusted associative latent model,True,41,3,-3641.0615693255813,0.441884233640254,1.9453008182615974
2,0.0,Two-path biologically constrained latent SCM,True,27,2,-3641.641043483867,0.43354680913327426,1.9919812167364657
2,0.0,Two-path latent SCM (counterfactual query),True,27,2,-3641.641043483867,0.43354680913327426,1.9919812167364657
3,0.0,Associative latent class model,True,23,1,-4099.119828498708,0.4576118432970101,1.9296663378346937
3,0.0,Renal-adjusted associative latent class model,True,26,1,-3682.2076126150296,0.4569349314011606,1.917383097601543
3,0.0,Two-nuisance adjusted associative latent model,True,26,1,-3682.0833231921797,0.4571086254840728,1.918850286760125
3,0.0,Two-path biologically constrained latent SCM,True,23,1,-3682.4700366303778,0.4561705181722077,1.9203537767973358
3,0.0,Two-path latent SCM (counterfactual query),True,23,1,-3682.4700366303778,0.4561705181722077,1.9203537767973358
4,0.0,Associative latent class model,True,17,0,-4036.831288707521,0.49640852845388395,2.102677405203295
4,0.0,Renal-adjusted associative latent class model,True,28,1,-3622.0330512662113,0.4786407774549412,2.0619128720164133
4,0.0,Two-nuisance adjusted associative latent model,True,28,1,-3620.022287324693,0.4790892326107114,2.053988680077997
4,0.0,Two-path biologically constrained latent SCM,True,18,3,-3620.764037478171,0.4875197672052357,2.086044038400677
4,0.0,Two-path latent SCM (counterfactual query),True,18,3,-3620.764037478171,0.4875197672052357,2.086044038400677
5,0.0,Associative latent class model,True,26,1,-3998.331873255731,0.46629197142567574,2.021215400547447
5,0.0,Renal-adjusted associative latent class model,True,24,1,-3582.605242802102,0.45989829642798485,1.9866449455149557
5,0.0,Two-nuisance adjusted associative latent model,True,24,1,-3581.3513945615714,0.4594335251715193,1.9907864948359535
5,0.0,Two-path biologically constrained latent SCM,True,24,1,-3584.220783182541,0.47148980977112176,2.061838569495414
5,0.0,Two-path latent SCM (counterfactual query),True,24,1,-3584.220783182541,0.47148980977112176,2.061838569495414
6,0.0,Associative latent class model,True,14,1,-4077.3897304873744,0.48464666952447205,1.8281615587037696
6,0.0,Renal-adjusted associative latent class model,True,47,1,-3694.938216128463,0.46765218092587346,1.8166019730067453
6,0.0,Two-nuisance adjusted associative latent model,True,25,3,-3693.9989086019746,0.4660092220056767,1.8114240516042766
6,0.0,Two-path biologically constrained latent SCM,True,20,3,-3694.1308416454863,0.4676011669942278,1.8099644530567351
6,0.0,Two-path latent SCM (counterfactual query),True,20,3,-3694.1308416454863,0.4676011669942278,1.8099644530567351
7,0.0,Associative latent class model,True,23,3,-4061.2088414366126,0.4503469573267914,1.766618417701849
7,0.0,Renal-adjusted associative latent class model,True,31,0,-3650.72138011761,0.4420441817837873,1.7693720298668894
7,0.0,Two-nuisance adjusted associative latent model,True,27,3,-3649.988538475577,0.4400964321149327,1.7788973534376151
7,0.0,Two-path biologically constrained latent SCM,True,26,3,-3650.4492751977577,0.4434876404678319,1.7797614957226418
7,0.0,Two-path latent SCM (counterfactual query),True,26,3,-3650.4492751977577,0.4434876404678319,1.7797614957226418
8,0.0,Associative latent class model,True,22,1,-4044.8966856758634,0.4690490547629818,1.8259870083062126
8,0.0,Renal-adjusted associative latent class model,True,25,0,-3638.412558301504,0.4684822148982017,1.8345209660671604
8,0.0,Two-nuisance adjusted associative latent model,True,26,3,-3638.0662163480783,0.4678784524526937,1.8311746841642784
8,0.0,Two-path biologically constrained latent SCM,True,52,2,-3638.5447736945025,0.4702657215611687,1.8202460063420114
8,0.0,Two-path latent SCM (counterfactual query),True,52,2,-3638.5447736945025,0.4702657215611687,1.8202460063420114
9,0.0,Associative latent class model,True,16,1,-4055.0347451447306,0.47770029660388036,1.9919115439810038
9,0.0,Renal-adjusted associative latent class model,True,35,1,-3650.6948135782536,0.46793930746050394,1.9899939454547924
9,0.0,Two-nuisance adjusted associative latent model,True,35,1,-3647.564746184421,0.46894339984667255,1.9960813695906983
9,0.0,Two-path biologically constrained latent SCM,True,18,3,-3652.41403344032,0.47228564017390523,1.9787303856660658
9,0.0,Two-path latent SCM (counterfactual query),True,18,3,-3652.41403344032,0.47228564017390523,1.9787303856660658
10,0.0,Associative latent class model,True,13,1,-4055.766239554775,0.48653347867286023,1.7646637835211698
10,0.0,Renal-adjusted associative latent class model,True,30,0,-3641.5361867806687,0.48778792458846654,1.7745864033126328
10,0.0,Two-nuisance adjusted associative latent model,True,30,0,-3640.6186394838833,0.4867537380506025,1.7784517484210558
10,0.0,Two-path biologically constrained latent SCM,True,20,3,-3642.110390619301,0.4844093300197512,1.7750561719591302
10,0.0,Two-path latent SCM (counterfactual query),True,20,3,-3642.110390619301,0.4844093300197512,1.7750561719591302
11,0.0,Associative latent class model,True,28,2,-4001.377699874306,0.41365094188862317,1.873214527488364
11,0.0,Renal-adjusted associative latent class model,True,67,0,-3592.144042339701,0.4196323172656754,1.8929671778703319
11,0.0,Two-nuisance adjusted associative latent model,True,62,1,-3588.2466803941115,0.4091454702737692,1.877925218331102
