repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
0,0.0,Associative latent class model,0.8246305418719212,0.4209718443023013,0.1686746987951807,0.13200946373217176,0.05266138506202166,0.38326650055065004,0.5625615763546798,83
0,0.0,Renal-adjusted associative latent class model,0.7970443349753694,0.3523056910482311,0.07228915662650602,0.14771321031101328,0.06516856458694029,0.3748922656476992,0.5605911330049261,83
0,0.0,Two-nuisance adjusted associative latent model,0.7980295566502463,0.3546530285985165,0.060240963855421686,0.1480283852737873,0.06376950274746329,0.3748973889867536,0.5596059113300492,83
0,0.0,Two-path biologically constrained latent SCM,0.819704433497537,0.40826336876378755,0.20481927710843373,0.13184153155098588,0.05254691406825991,0.3835927560975499,0.5655172413793104,83
0,0.0,Two-path latent SCM (counterfactual query),0.825615763546798,0.42353513867044984,0.20481927710843373,0.15149916128675153,0.1272561136851339,0.12076460531126353,0.5339901477832513,83
0,0.0,Data-generating oracle (reference),0.8285714285714286,0.4312762945846334,0.1686746987951807,0.12696177666640326,0.02815670802907023,0.3850520121686323,0.5073891625615764,83
1,0.0,Associative latent class model,0.8206896551724138,0.41078841238231706,0.19607843137254902,0.1198708762036916,0.02756754690985918,0.3556709076649115,0.5438423645320197,102
1,0.0,Renal-adjusted associative latent class model,0.8108374384236453,0.38587616434048927,0.11764705882352941,0.12725792501406036,0.046551960374080104,0.34705531353128727,0.5438423645320197,102
1,0.0,Two-nuisance adjusted associative latent model,0.8098522167487685,0.38342745639252984,0.11764705882352941,0.12787022538536988,0.04635690834180397,0.34750479956840935,0.5408866995073892,102
1,0.0,Two-path biologically constrained latent SCM,0.8266009852216749,0.4261091763618702,0.17647058823529413,0.1204532623917875,0.03909597892392146,0.3552305463762863,0.547783251231527,102
1,0.0,Two-path latent SCM (counterfactual query),0.8216748768472907,0.4133218923763125,0.16666666666666666,0.14938899857984056,0.1278757240096436,0.12159242835548961,0.5369458128078818,102
1,0.0,Data-generating oracle (reference),0.8266009852216749,0.4261073203605425,0.14705882352941177,0.11721052378868187,0.031738276221963534,0.3763481983571189,0.5123152709359606,102
2,0.0,Associative latent class model,0.8374384236453202,0.45485606114997934,0.19,0.11914709655411182,0.04541179438842479,0.3706349953373846,0.5763546798029556,100
