repeat,atrial_probability_if_renal_impaired,renal_effect_sd,method,fitted_prior_atrial_given_renal,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
0,0.5,1.5,Associative latent class model,,0.509,-0.000620155386384461,0.006329113924050633,0.48365096644890465,0.4756481147454478,0.08956611323668018,0.683,158
0,0.5,1.5,Renal-adjusted associative latent class model,0.4610249282667778,0.839,0.4591429216325848,0.13291139240506328,0.11300818560237633,0.023710875646961404,0.34465452174115313,0.497,158
0,0.5,1.5,Biologically constrained latent SCM,0.4161977905927508,0.835,0.4483481899149917,0.0759493670886076,0.11503378039631922,0.03452986429504214,0.34223954108688476,0.491,158
0,0.5,1.5,Data-generating oracle (reference),,0.839,0.45914348781688774,0.15822784810126583,0.10798685388346209,0.034011642385002525,0.3683000281219914,0.525,158
1,0.5,1.5,Associative latent class model,,0.576,0.022106637432512663,0.963855421686747,0.32922516554444825,0.33011605777508035,0.25406589034807625,0.393,166
1,0.5,1.5,Renal-adjusted associative latent class model,0.6488089678640915,0.81,0.3837838111985848,0.3313253012048193,0.13202115088022892,0.028116115599047132,0.3745959062023037,0.485,166
1,0.5,1.5,Biologically constrained latent SCM,0.5009181821565486,0.823,0.4167299655247925,0.13855421686746988,0.11996840505678004,0.03199854904644334,0.3812540664686329,0.446,166
1,0.5,1.5,Data-generating oracle (reference),,0.828,0.429765896670358,0.1566265060240964,0.11817248781858339,0.032282872454605184,0.3842194859475011,0.489,166
2,0.5,1.5,Associative latent class model,,0.624,0.060563646982792645,0.847682119205298,0.2784504328306149,0.2590323226591808,0.2803624173697008,0.398,151
2,0.5,1.5,Renal-adjusted associative latent class model,0.5195905323449291,0.844,0.4728168049504527,0.10596026490066225,0.11228676431726888,0.02690452886129797,0.3313263343623496,0.522,151
2,0.5,1.5,Biologically constrained latent SCM,0.4984104241067678,0.842,0.4673233113333062,0.09933774834437085,0.11360579799921548,0.022854257661623145,0.3302710871116004,0.522,151
2,0.5,1.5,Data-generating oracle (reference),,0.845,0.47557558410087936,0.10596026490066225,0.11171030784236771,0.031637389665555196,0.37418443847189187,0.491,151
3,0.5,1.5,Associative latent class model,,0.623,0.05965121572379653,0.7092198581560284,0.287738905655535,0.2699998040313776,0.2679904741120586,0.335,141
3,0.5,1.5,Renal-adjusted associative latent class model,0.45473204672746387,0.821,0.4115751527025371,0.16312056737588654,0.12661074978768308,0.03313008221699742,0.3522338100739978,0.503,141
3,0.5,1.5,Biologically constrained latent SCM,0.4750001107550855,0.811,0.3862698292114956,0.22695035460992907,0.12754481276870777,0.03909696555196646,0.35010234289251074,0.497,141
3,0.5,1.5,Data-generating oracle (reference),,0.821,0.41157513866524736,0.19148936170212766,0.1234630164674239,0.023769517810829557,0.3750360144942704,0.501,141
4,0.5,1.5,Associative latent class model,,0.506,-0.0007892525075154109,0.9155844155844156,0.4440115198397174,0.45665747169334997,0.12800901939821357,0.3,154
4,0.5,1.5,Renal-adjusted associative latent class model,0.5203859535984428,0.828,0.42976757401554394,0.2012987012987013,0.12527199008645656,0.027120272090880478,0.38173719685142926,0.546,154
4,0.5,1.5,Biologically constrained latent SCM,0.505548094923825,0.83,0.4350366537586938,0.18831168831168832,0.12535511415757092,0.03259923909270603,0.3797767403253779,0.544,154
4,0.5,1.5,Data-generating oracle (reference),,0.832,0.440336406717047,0.14285714285714285,0.1220085654753925,0.02187490323343044,0.3859437050351594,0.518,154
5,0.5,1.5,Associative latent class model,,0.473,0.002042359327179596,0.0,0.4897639748360033,0.4826887437848874,0.21532363188721934,0.683,147
5,0.5,1.5,Renal-adjusted associative latent class model,0.40890129769957806,0.819,0.40645262147568045,0.10204081632653061,0.12902677355243547,0.04560739829870863,0.3704979211125019,0.535,147
5,0.5,1.5,Biologically constrained latent SCM,0.45402682411955386,0.823,0.41673661663178746,0.14965986394557823,0.1265366870307295,0.05312064040068169,0.37363883596331143,0.545,147
5,0.5,1.5,Data-generating oracle (reference),,0.826,0.424528126976421,0.16326530612244897,0.12177879613596777,0.02280033876082241,0.3816794100909425,0.492,147
6,0.5,1.5,Associative latent class model,,0.516,-0.00010206172688672067,0.9205298013245033,0.3934523622448538,0.4053650885629029,0.20726808638969,0.316,151
6,0.5,1.5,Renal-adjusted associative latent class model,0.5300026435559643,0.825,0.4219223578221476,0.2781456953642384,0.126508959572393,0.03145743338272552,0.37258412041069344,0.493,151
6,0.5,1.5,Biologically constrained latent SCM,0.4644764811690634,0.828,0.42976544488059015,0.2251655629139073,0.11972999591270485,0.02561986772879993,0.37873429876674264,0.52,151
6,0.5,1.5,Data-generating oracle (reference),,0.833,0.44299751329737386,0.2119205298013245,0.11841317588276623,0.027311742279481608,0.3731717354894307,0.531,151
7,0.5,1.5,Associative latent class model,,0.634,0.0709174296862729,0.9370629370629371,0.2819657243842533,0.2697930754557741,0.26783586915203805,0.42,143
7,0.5,1.5,Renal-adjusted associative latent class model,0.47616719568294325,0.816,0.3988338476448289,0.13286713286713286,0.12817924800438363,0.048443611334306184,0.35682102209279526,0.43,143
7,0.5,1.5,Biologically constrained latent SCM,0.46504297584823223,0.817,0.4013667420939457,0.13286713286713286,0.1280306140023992,0.05052852103653166,0.3571350042330896,0.435,143
7,0.5,1.5,Data-generating oracle (reference),,0.83,0.43503504840397184,0.17482517482517482,0.12198338357681794,0.026529598006207182,0.3838584042536371,0.484,143
8,0.5,1.5,Associative latent class model,,0.594,0.03442782745087265,0.9072847682119205,0.30638652713897707,0.3105900345020434,0.26686031653270276,0.368,151
8,0.5,1.5,Renal-adjusted associative latent class model,0.5431108570014158,0.842,0.46732600138773844,0.16556291390728478,0.11250950957651056,0.050924976918968676,0.3790418657078078,0.456,151
8,0.5,1.5,Biologically constrained latent SCM,0.5507503413401997,0.842,0.46732600138773844,0.16556291390728478,0.11264832714195502,0.05164448575692192,0.37873171360786645,0.456,151
8,0.5,1.5,Data-generating oracle (reference),,0.848,0.4838997367668723,0.15894039735099338,0.10896396719878068,0.02403059852648706,0.37456304134284585,0.488,151
9,0.5,1.5,Associative latent class model,,0.661,0.10279282593796243,0.875,0.2605521568542828,0.23384274307820532,0.277143460923801,0.454,160
9,0.5,1.5,Renal-adjusted associative latent class model,0.5669380017505976,0.819,0.40644999226360895,0.3375,0.125087589464295,0.034867245602634614,0.3550569248674295,0.494,160
9,0.5,1.5,Biologically constrained latent SCM,0.47815450428294276,0.844,0.47281752993868204,0.20625,0.11272893529991275,0.03693939837350156,0.3698801271994623,0.525,160
9,0.5,1.5,Data-generating oracle (reference),,0.86,0.5179176240315215,0.15625,0.11045922785997335,0.038715115447577594,0.37395324516979417,0.491,160
10,0.5,1.5,Associative latent class model,,0.536,0.004316060200700815,0.9391891891891891,0.3597697496768402,0.37323657910602026,0.2435240091064451,0.317,148
10,0.5,1.5,Renal-adjusted associative latent class model,0.4558847287627211,0.832,0.4403387560354686,0.10135135135135136,0.12145056069018208,0.028628969620134125,0.3734354420225878,0.537,148
10,0.5,1.5,Biologically constrained latent SCM,0.5363226206730752,0.841,0.4645913812943129,0.18243243243243243,0.11786860201518995,0.03680618590577897,0.381534186284504,0.54,148
10,0.5,1.5,Data-generating oracle (reference),,0.835,0.4483478495933953,0.16891891891891891,0.11665801048175876,0.019781869252398353,0.388401435454776,0.504,148
11,0.5,1.5,Associative latent class model,,0.491,-0.0005659360587314791,1.0,0.4760504081783554,0.4876738062326873,0.08452904841530438,0.314,165
11,0.5,1.5,Renal-adjusted associative latent class model,0.5169226372407325,0.851,0.4922960508893427,0.20606060606060606,0.10978624582759722,0.036319403094587345,0.3908676658437405,0.51,165
11,0.5,1.5,Biologically constrained latent SCM,0.5009621208421862,0.851,0.49229630611256947,0.19393939393939394,0.10968806702820769,0.03735997992208401,0.392156340426285,0.516,165
11,0.5,1.5,Data-generating oracle (reference),,0.848,0.48389952570157424,0.18787878787878787,0.10970323724990254,0.03171230186094145,0.376811479570279,0.505,165
12,0.5,1.5,Associative latent class model,,0.632,0.06878706570596105,0.9256756756756757,0.27533890310337633,0.2569611663212801,0.2883572521029303,0.417,148
