repeat,renal_effect_sd,heart_failure_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy__uncomplicated,false_atrial__uncomplicated,mean_posterior_entropy__uncomplicated,subgroup_size__uncomplicated,competing_subgroup_size__uncomplicated,accuracy__renal_only,false_atrial__renal_only,mean_posterior_entropy__renal_only,subgroup_size__renal_only,competing_subgroup_size__renal_only,accuracy__heart_failure_only,false_atrial__heart_failure_only,mean_posterior_entropy__heart_failure_only,subgroup_size__heart_failure_only,competing_subgroup_size__heart_failure_only,accuracy__redundant,false_atrial__redundant,mean_posterior_entropy__redundant,subgroup_size__redundant,competing_subgroup_size__redundant
0,0.0,0.0,Associative latent class model,0.793,0.3427364678072607,0.12949640287769784,0.1448840640007097,0.07626550951346338,0.37223859907964635,0.424,139,0.7978227060653188,0.11392405063291139,0.3803092019235036,643,316,0.7709090909090909,0.1349206349206349,0.3583411679869791,275,126,0.8,0.10714285714285714,0.35938092692179274,60,28,0.9090909090909091,0.07692307692307693,0.34514115595939787,22,13
0,0.0,0.0,Renal-adjusted associative latent class model,0.793,0.3427362113710154,0.19424460431654678,0.14685679684738515,0.08519782764587717,0.36829962257148446,0.42,139,0.7993779160186625,0.07911392405063292,0.37298709454454143,643,316,0.7781818181818182,0.1984126984126984,0.36173313996063633,275,126,0.7666666666666667,0.10714285714285714,0.35423163227873594,60,28,0.8636363636363636,0.15384615384615385,0.3517458797020536,22,13
0,0.0,0.0,Two-nuisance adjusted associative latent model,0.794,0.34508663586745725,0.19424460431654678,0.14687906433755443,0.08582014428674624,0.3681302295943247,0.421,139,0.7978227060653188,0.07911392405063292,0.372534864654032,643,316,0.7781818181818182,0.1984126984126984,0.3617437708644173,275,126,0.8,0.10714285714285714,0.3553286730463088,60,28,0.8636363636363636,0.15384615384615385,0.3541388296040369,22,13
0,0.0,0.0,Two-path biologically constrained latent SCM,0.794,0.34508676362707447,0.1223021582733813,0.14559063709677844,0.07921342319762566,0.37205753663575897,0.423,139,0.7978227060653188,0.11392405063291139,0.3803221037588957,643,316,0.7745454545454545,0.12698412698412698,0.35754478058626377,275,126,0.8,0.10714285714285714,0.3598741000105638,60,28,0.9090909090909091,0.07692307692307693,0.34514378440603094,22,13
0,0.0,0.0,Two-path latent SCM (counterfactual query),0.797,0.3521869268779253,0.12949640287769784,0.17054467901076895,0.1405778498379558,0.13601975703201488,0.442,139,0.7978227060653188,0.13291139240506328,0.14001394696486608,643,316,0.7890909090909091,0.1349206349206349,0.1316171133953731,275,126,0.7833333333333333,0.14285714285714285,0.11663377576880948,60,28,0.9090909090909091,0.07692307692307693,0.12718438198862836,22,13
1,0.0,0.0,Associative latent class model,0.828,0.42976547757249806,0.15172413793103448,0.11715053406417995,0.025671638004611648,0.37745358184934086,0.474,145,0.8256172839506173,0.15789473684210525,0.3799231923583053,648,342,0.8291814946619217,0.15671641791044777,0.3703161090175422,281,134,0.8301886792452831,0.1935483870967742,0.3934770439018352,53,31,0.8888888888888888,0.09090909090909091,0.3527912911351327,18,11
1,0.0,0.0,Renal-adjusted associative latent class model,0.829,0.4323963701342331,0.2206896551724138,0.11903233810140865,0.021995737918403407,0.37928890869266085,0.483,145,0.8317901234567902,0.14035087719298245,0.3822804351677533,648,342,0.8185053380782918,0.23134328358208955,0.3696446558737386,281,134,0.8301886792452831,0.1935483870967742,0.39583501003384836,53,31,0.8888888888888888,0.09090909090909091,0.3734323817578983,18,11
1,0.0,0.0,Two-nuisance adjusted associative latent model,0.827,0.4271431601336697,0.20689655172413793,0.11951425224405025,0.0278438831796445,0.38079420238665945,0.485,145,0.8302469135802469,0.14327485380116958,0.383222674155267,648,342,0.8185053380782918,0.21641791044776118,0.37165139198632763,281,134,0.8113207547169812,0.2903225806451613,0.39698479512056717,53,31,0.8888888888888888,0.09090909090909091,0.3884263469165722,18,11
1,0.0,0.0,Two-path biologically constrained latent SCM,0.825,0.42192159341616375,0.16551724137931034,0.1172256721443595,0.027870571130309083,0.3775631333062207,0.473,145,0.8225308641975309,0.15497076023391812,0.37985698025365877,648,342,0.8291814946619217,0.17164179104477612,0.3705875153131715,281,134,0.8113207547169812,0.1935483870967742,0.39350597258532427,53,31,0.8888888888888888,0.09090909090909091,0.3569389862125814,18,11
1,0.0,0.0,Two-path latent SCM (counterfactual query),0.832,0.440336406717047,0.16551724137931034,0.13522889421811116,0.1069307472940135,0.128923928365216,0.488,145,0.8302469135802469,0.16666666666666666,0.13880815912471917,648,342,0.8291814946619217,0.17164179104477612,0.11220088291736253,281,134,0.8490566037735849,0.1935483870967742,0.12793289659919846,53,31,0.8888888888888888,0.09090909090909091,0.037074979603422036,18,11
