repeat,renal_effect_sd,heart_failure_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy__uncomplicated,false_atrial__uncomplicated,mean_posterior_entropy__uncomplicated,subgroup_size__uncomplicated,competing_subgroup_size__uncomplicated,accuracy__renal_only,false_atrial__renal_only,mean_posterior_entropy__renal_only,subgroup_size__renal_only,competing_subgroup_size__renal_only,accuracy__heart_failure_only,false_atrial__heart_failure_only,mean_posterior_entropy__heart_failure_only,subgroup_size__heart_failure_only,competing_subgroup_size__heart_failure_only,accuracy__redundant,false_atrial__redundant,mean_posterior_entropy__redundant,subgroup_size__redundant,competing_subgroup_size__redundant
0,0.0,0.0,Logistic regression (biomarkers only),0.821,0.4115752911509311,0.1568627450980392,0.11555018663112705,0.025674635259605474,0.37770904417776513,0.51,153,0.8068862275449101,0.20253164556962025,0.39584437842125414,668,316,0.8421052631578947,0.15384615384615385,0.3424455994733309,266,143,0.9130434782608695,0.125,0.3302321524230106,46,24,0.8,0.2,0.3501895460501404,20,10
0,0.0,0.0,Logistic regression (+ kidney status),0.82,0.40900876333692215,0.16339869281045752,0.11562625276815675,0.026458893170766634,0.37774167267931863,0.511,153,0.8038922155688623,0.20253164556962025,0.3958821940525369,668,316,0.8421052631578947,0.16083916083916083,0.34248787014057597,266,143,0.9130434782608695,0.125,0.33021830464951646,46,24,0.85,0.2,0.35002757904765563,20,10
0,0.0,0.0,Logistic regression (+ kidney + heart failure),0.821,0.4115753745821887,0.16339869281045752,0.11563262439758719,0.02647331398049931,0.3777397802097855,0.512,153,0.8038922155688623,0.20253164556962025,0.39588793958924223,668,316,0.8421052631578947,0.16083916083916083,0.3424788498695047,266,143,0.9347826086956522,0.125,0.33021126831887054,46,24,0.85,0.2,0.3498772078107691,20,10
0,0.0,0.0,Supervised two-path SCM (posterior),0.823,0.41673274401000093,0.16993464052287582,0.11526488536545608,0.027433474514434373,0.371870012846705,0.516,153,0.8098802395209581,0.20253164556962025,0.39020816813270687,668,316,0.8383458646616542,0.16783216783216784,0.3361701502765785,266,143,0.9130434782608695,0.125,0.3240119003041021,46,24,0.85,0.2,0.3442574573249116,20,10
0,0.0,0.0,Supervised two-path SCM (counterfactual query),0.824,0.41932353102608433,0.16993464052287582,0.13725681274155183,0.1141606935831975,0.12977550595573267,0.519,153,0.8098802395209581,0.20569620253164558,0.14871269083799676,668,316,0.8383458646616542,0.16783216783216784,0.09194457945345823,266,143,0.9347826086956522,0.125,0.10018798368963386,46,24,0.85,0.2,0.0684761545803894,20,10
1,0.0,0.0,Logistic regression (biomarkers only),0.813,0.39126712023463595,0.23636363636363636,0.12654689013663095,0.029165990779425523,0.3854021249827399,0.513,165,0.8200312989045383,0.2,0.37806362390334325,639,310,0.7755102040816326,0.24050632911392406,0.3954687993502706,294,158,0.9038461538461539,0.09090909090909091,0.4126143770686038,52,33,0.9333333333333333,0.14285714285714285,0.4063796461304397,15,7
1,0.0,0.0,Logistic regression (+ kidney status),0.814,0.39377750661800837,0.21212121212121213,0.12642532916795896,0.03158307728523082,0.3849517433912355,0.51,165,0.8215962441314554,0.2032258064516129,0.3771623426457638,639,310,0.782312925170068,0.21518987341772153,0.3954261891813419,294,158,0.8846153846153846,0.12121212121212122,0.41416772384760925,52,33,0.8666666666666667,0.14285714285714285,0.41019901208014975,15,7
1,0.0,0.0,Logistic regression (+ kidney + heart failure),0.815,0.39629606406771556,0.21818181818181817,0.1263679244326013,0.028621875221945536,0.38458972437377104,0.511,165,0.8215962441314554,0.2064516129032258,0.3770159777012084,639,310,0.7789115646258503,0.22151898734177214,0.39543829462074453,294,158,0.9230769230769231,0.06060606060606061,0.4073015215614285,52,33,0.8666666666666667,0.14285714285714285,0.41586512553371213,15,7
1,0.0,0.0,Supervised two-path SCM (posterior),0.819,0.4064501513301739,0.22424242424242424,0.12616249454423334,0.02751241679598315,0.3785437192511212,0.509,165,0.8262910798122066,0.1967741935483871,0.3710792709348899,639,310,0.7789115646258503,0.22784810126582278,0.38945681598246823,294,158,0.9423076923076923,0.030303030303030304,0.39952098583724394,52,33,0.8666666666666667,0.14285714285714285,0.40991133075628056,15,7
1,0.0,0.0,Supervised two-path SCM (counterfactual query),0.816,0.3988223818215317,0.21818181818181817,0.15523827447364114,0.13125491858629598,0.11995834007106619,0.502,165,0.8231611893583725,0.1935483870967742,0.11583195699794614,639,310,0.7755102040816326,0.22151898734177214,0.12777271680234525,294,158,0.9423076923076923,0.030303030303030304,0.12859099459346296,52,33,0.8666666666666667,0.14285714285714285,0.11265393937526892,15,7
2,0.0,0.0,Logistic regression (biomarkers only),0.817,0.4013576812717143,0.2125,0.12688320183807344,0.03562197454599219,0.39831084736087824,0.505,160,0.8256172839506173,0.19461077844311378,0.4014857708553169,648,334,0.8228782287822878,0.2,0.3965927366010015,271,145,0.7368421052631579,0.19230769230769232,0.36563533116186636,57,26,0.7083333333333334,0.3333333333333333,0.409592597980627,24,15
2,0.0,0.0,Logistic regression (+ kidney status),0.819,0.4064507716090298,0.2125,0.1269241814734445,0.03329698518796419,0.39833918009979324,0.505,160,0.8271604938271605,0.19161676646706588,0.4015283940486936,648,334,0.8265682656826568,0.2,0.39660597234207035,271,145,0.7368421052631579,0.19230769230769232,0.36559181338569685,57,26,0.7083333333333334,0.3333333333333333,0.40957620368975106,24,15
2,0.0,0.0,Logistic regression (+ kidney + heart failure),0.819,0.40645079444696,0.2125,0.1268075360079024,0.03088690606650867,0.3983215568917198,0.503,160,0.8271604938271605,0.18862275449101795,0.40150632702823735,648,334,0.8265682656826568,0.2,0.3965498711444774,271,145,0.7368421052631579,0.19230769230769232,0.3658697081801583,57,26,0.7083333333333334,0.3333333333333333,0.4094111887916476,24,15
2,0.0,0.0,Supervised two-path SCM (posterior),0.819,0.4064508058659244,0.21875,0.12662985714689326,0.02889731746463077,0.3962390744656603,0.501,160,0.8302469135802469,0.18263473053892215,0.39953496831376517,648,334,0.8191881918819188,0.20689655172413793,0.39436663744815426,271,145,0.7368421052631579,0.19230769230769232,0.3633708499526991,57,26,0.7083333333333334,0.3333333333333333,0.4064549084411209,24,15
2,0.0,0.0,Supervised two-path SCM (counterfactual query),0.819,0.4064508058659244,0.21875,0.15118655872970327,0.12237604452350896,0.12320562934549097,0.501,160,0.8302469135802469,0.18263473053892215,0.1287725442343324,648,334,0.8191881918819188,0.20689655172413793,0.1169784527139057,271,145,0.7368421052631579,0.19230769230769232,0.10911097007314831,57,26,0.7083333333333334,0.3333333333333333,0.07668894591690294,24,15
3,0.0,0.0,Logistic regression (biomarkers only),0.842,0.46732307545266616,0.12030075187969924,0.1133805944261473,0.021890647084458995,0.38332413767970946,0.489,133,0.8372434017595308,0.1565217391304348,0.39002760288709565,682,345,0.8431372549019608,0.1322314049586777,0.36362085536571875,255,121,0.8333333333333334,0.2222222222222222,0.3985813611891733,42,27,1.0,0.0,0.3743608201193646,21,12
3,0.0,0.0,Logistic regression (+ kidney status),0.84,0.4618617046264213,0.11278195488721804,0.11375348262193719,0.021317438475062556,0.3830702809264523,0.487,133,0.8387096774193549,0.15942028985507245,0.38978955802849935,682,345,0.8392156862745098,0.12396694214876033,0.3635470953941447,255,121,0.8333333333333334,0.2222222222222222,0.3987292880588904,42,27,0.9047619047619048,0.0,0.3706029965254973,21,12
3,0.0,0.0,Logistic regression (+ kidney + heart failure),0.84,0.4618617046264213,0.11278195488721804,0.11376098582781266,0.021325356017416763,0.38309102591855715,0.487,133,0.8387096774193549,0.15942028985507245,0.38979607477609557,682,345,0.8392156862745098,0.12396694214876033,0.36355195978267096,255,121,0.8333333333333334,0.2222222222222222,0.39882612510631527,42,27,0.9047619047619048,0.0,0.37112647248636044,21,12
3,0.0,0.0,Supervised two-path SCM (posterior),0.839,0.4591429363386855,0.11278195488721804,0.11335411266940457,0.024111342504829374,0.37631515956681305,0.488,133,0.8357771260997068,0.16231884057971013,0.3831404181506097,682,345,0.8392156862745098,0.12396694214876033,0.356196504935319,255,121,0.8333333333333334,0.2222222222222222,0.3923989401222479,42,27,0.9523809523809523,0.0,0.3667871497360248,21,12
3,0.0,0.0,Supervised two-path SCM (counterfactual query),0.842,0.46732307545266616,0.12030075187969924,0.1281638621417914,0.10057240824055277,0.12800615289649975,0.489,133,0.8387096774193549,0.1565217391304348,0.1278912476230674,682,345,0.8392156862745098,0.1322314049586777,0.12530521242807713,255,121,0.8333333333333334,0.2222222222222222,0.1559707203461683,42,27,1.0,0.0,0.10860583780328885,21,12
4,0.0,0.0,Logistic regression (biomarkers only),0.825,0.42192256834854247,0.19424460431654678,0.1177971297280892,0.02238285144556594,0.3776412670970204,0.508,139,0.839563862928349,0.1525974025974026,0.37753308419454634,642,308,0.8035087719298246,0.18461538461538463,0.37283850945199687,285,130,0.8,0.17857142857142858,0.402620201601372,55,28,0.7222222222222222,0.3333333333333333,0.3812189312348381,18,9
4,0.0,0.0,Logistic regression (+ kidney status),0.83,0.4350354731934575,0.15827338129496402,0.11828295055321382,0.026133400750603147,0.3764741737217931,0.511,139,0.8426791277258567,0.16233766233766234,0.37609641020600515,642,308,0.8140350877192982,0.15384615384615385,0.3722813694638266,285,130,0.7818181818181819,0.21428571428571427,0.4016985368220351,55,28,0.7777777777777778,0.2222222222222222,0.37925936372973634,18,9
4,0.0,0.0,Logistic regression (+ kidney + heart failure),0.828,0.42976620801076854,0.15827338129496402,0.11841967126089986,0.023855024235837467,0.3764620722135704,0.511,139,0.8442367601246106,0.1590909090909091,0.37609673692381446,642,308,0.8105263157894737,0.15384615384615385,0.37224654070047164,285,130,0.7454545454545455,0.2857142857142857,0.40145741154688225,55,28,0.7777777777777778,0.2222222222222222,0.3798636318760337,18,9
4,0.0,0.0,Supervised two-path SCM (posterior),0.828,0.4297664548448904,0.15827338129496402,0.11818026949406593,0.024165282306688088,0.37106806596569525,0.507,139,0.839563862928349,0.1590909090909091,0.3706727716581921,642,308,0.8140350877192982,0.15384615384615385,0.3666611039794084,285,130,0.7818181818181819,0.21428571428571427,0.39716664326957757,55,28,0.7777777777777778,0.2222222222222222,0.3751981415098726,18,9
4,0.0,0.0,Supervised two-path SCM (counterfactual query),0.825,0.4219222903157646,0.18705035971223022,0.14054027919765838,0.11720925563998864,0.1205230112019878,0.512,139,0.839563862928349,0.1590909090909091,0.11329971005227316,642,308,0.8070175438596491,0.17692307692307693,0.12978163205476057,285,130,0.7818181818181819,0.21428571428571427,0.15490366935923489,55,28,0.7222222222222222,0.3333333333333333,0.12650724433687524,18,9
5,0.0,0.0,Logistic regression (biomarkers only),0.807,0.37637305857627795,0.145985401459854,0.13405800254645348,0.024332954090402956,0.40921289811354883,0.498,137,0.7964071856287425,0.22191011235955055,0.41033962748665376,668,356,0.8352490421455939,0.14516129032258066,0.40755359304607425,261,124,0.7755102040816326,0.26666666666666666,0.40384005064105377,49,30,0.8636363636363636,0.15384615384615385,0.40665348572850457,22,13
5,0.0,0.0,Logistic regression (+ kidney status),0.807,0.37637305857627795,0.145985401459854,0.13413771045650685,0.02594318261505495,0.40924077307214557,0.498,137,0.7964071856287425,0.22191011235955055,0.41036481131959524,668,356,0.8352490421455939,0.14516129032258066,0.40759409271991326,261,124,0.7755102040816326,0.26666666666666666,0.4040504737995586,49,30,0.8636363636363636,0.15384615384615385,0.4062067133900079,22,13
5,0.0,0.0,Logistic regression (+ kidney + heart failure),0.807,0.37637305857627795,0.145985401459854,0.1345860891271948,0.025758333396821608,0.40962669790120665,0.498,137,0.7979041916167665,0.21910112359550563,0.4103933689870362,668,356,0.8314176245210728,0.14516129032258066,0.4076194872906697,261,124,0.7551020408163265,0.3,0.4088917635111975,49,30,0.9090909090909091,0.15384615384615385,0.41179749195241067,22,13
5,0.0,0.0,Supervised two-path SCM (posterior),0.802,0.3641807518206113,0.145985401459854,0.13424318808946037,0.027751579958671915,0.40158808459904627,0.493,137,0.7934131736526946,0.22191011235955055,0.40240620396623367,668,356,0.8237547892720306,0.14516129032258066,0.4005765138605044,261,124,0.7755102040816326,0.26666666666666666,0.39769290939049545,49,30,0.8636363636363636,0.15384615384615385,0.3974235305398277,22,13
5,0.0,0.0,Supervised two-path SCM (counterfactual query),0.802,0.3641807518206113,0.145985401459854,0.16414976187111818,0.13697075681663876,0.1308496316984006,0.493,137,0.7904191616766467,0.22191011235955055,0.12948560756144403,668,356,0.8314176245210728,0.14516129032258066,0.133756227806002,261,124,0.7755102040816326,0.26666666666666666,0.11636665167671781,49,30,0.8636363636363636,0.15384615384615385,0.17004111171955896,22,13
6,0.0,0.0,Logistic regression (biomarkers only),0.82,0.40900844043543044,0.16774193548387098,0.12151163884476625,0.0216740565460313,0.39958507982166974,0.501,155,0.8322884012539185,0.17846153846153845,0.399951372327524,638,325,0.8096885813148789,0.16216216216216217,0.3999867201414786,289,148,0.7142857142857143,0.34782608695652173,0.39724296512723195,49,23,0.8333333333333334,0.2857142857142857,0.38979320269115586,24,7
