repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
0,Associative latent class model,1.5,8122.826814808679,7838.360902062614,-284.46591274606544,True,True,0.33863704874945
0,Renal-adjusted associative latent class model,1.5,6810.932574626884,6836.122373092963,25.189798466079083,False,True,0.3064132067002594
0,Biologically constrained latent SCM,1.5,6798.996100144218,6823.923865881333,24.927765737114896,False,True,0.3297112896316887
1,Associative latent class model,1.5,8022.920908831416,7771.402306039682,-251.51860279173434,True,True,0.3077143690751775
1,Renal-adjusted associative latent class model,1.5,6767.9855552701065,6791.74911990241,23.763564632303314,False,True,0.3806055342429178
1,Biologically constrained latent SCM,1.5,6755.035941363693,6779.337811620511,24.301870256817892,False,True,0.3734259333247722
2,Associative latent class model,1.5,8256.878701449696,7974.556924429932,-282.32177701976343,True,True,0.30765512355986735
2,Renal-adjusted associative latent class model,1.5,6963.000809290559,6990.2907512110705,27.28994192051141,False,True,0.27464732010548554
2,Biologically constrained latent SCM,1.5,6950.012323110518,6981.114063047988,31.101739937469574,False,True,0.49733589017338176
3,Associative latent class model,1.5,8155.619831512543,7859.047892647285,-296.57193886525783,True,True,0.263039238918005
3,Renal-adjusted associative latent class model,1.5,6914.189366634702,6937.825127867183,23.635761232480945,False,True,0.44826158725082776
3,Biologically constrained latent SCM,1.5,6904.632654918344,6932.713105954604,28.080451036259547,False,True,0.4356317251961421
4,Associative latent class model,1.5,8124.024218738224,7874.883474938073,-249.14074380015063,True,True,0.3470276849708855
4,Renal-adjusted associative latent class model,1.5,6849.1506045704045,6878.908625310505,29.75802074010062,False,True,0.49115558682541033
4,Biologically constrained latent SCM,1.5,6838.2264779433,6866.088183962925,27.861706019624762,False,True,0.49623578128267765
5,Associative latent class model,1.5,8153.7923363234395,7915.461058458166,-238.33127786527348,True,True,0.2959969026450539
5,Renal-adjusted associative latent class model,1.5,6876.641614765733,6908.7616907616675,32.12007599593471,False,True,0.4902493357371639
5,Biologically constrained latent SCM,1.5,6868.91240387422,6896.741626343661,27.829222469440538,False,True,0.3566568836794501
6,Associative latent class model,1.5,8168.1448263981565,7884.708263460943,-283.43656293721324,True,True,0.32263642622869704
6,Renal-adjusted associative latent class model,1.5,6855.573451211047,6885.317644130531,29.744192919484703,False,True,0.29741252316030825
6,Biologically constrained latent SCM,1.5,6845.4088386212925,6874.18594310257,28.777104481277092,False,True,0.3367613813409773
7,Associative latent class model,1.5,8154.409639693214,7868.337741795665,-286.0718978975483,True,True,0.3082830527476824
7,Renal-adjusted associative latent class model,1.5,6857.895080073406,6887.8965644113,30.001484337894,False,True,0.49206848021718896
7,Biologically constrained latent SCM,1.5,6847.546759009774,6873.937808042054,26.391049032279625,False,True,0.4050653604060812
