repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,0.0,Associative latent class model,True,17,0,-4085.167268559747,0.4890774460958754,2.1382629586397766
0,0.0,Renal-adjusted associative latent class model,True,20,1,-3603.675801442111,0.4954990078845287,2.1301816628484582
0,0.0,Biologically constrained latent SCM,True,17,3,-3604.743916861529,0.4836394692809269,2.168723484488335
1,0.0,Associative latent class model,True,11,0,-4121.276672197372,0.4954185276485448,2.3033901241872115
1,0.0,Renal-adjusted associative latent class model,True,25,3,-3642.507062876147,0.49017858036246326,2.3884400998051882
1,0.0,Biologically constrained latent SCM,True,12,0,-3643.704183557348,0.496885575936206,2.305002342333712
2,0.0,Associative latent class model,True,18,0,-4141.548863641294,0.4645420831897272,2.0815029750719565
2,0.0,Renal-adjusted associative latent class model,True,19,3,-3644.783099636714,0.4699642882090792,2.076834067295234
2,0.0,Biologically constrained latent SCM,True,18,0,-3646.7769090193287,0.4664715672452138,2.071675795944486
3,0.0,Associative latent class model,True,25,1,-4159.425913784588,0.4413182080361975,1.8964895490017017
3,0.0,Renal-adjusted associative latent class model,True,29,3,-3666.9129961833078,0.44665374512758743,1.8988679641031319
3,0.0,Biologically constrained latent SCM,True,26,1,-3667.3725573859756,0.44196402217733016,1.9025837032864228
4,0.0,Associative latent class model,True,17,1,-4152.688115740874,0.48172233535151604,1.9636149182389844
4,0.0,Renal-adjusted associative latent class model,True,19,1,-3649.890693532826,0.4839143630963567,1.9643667760887142
4,0.0,Biologically constrained latent SCM,True,18,1,-3650.4269498849435,0.48202583774218594,1.960161317095379
5,0.0,Associative latent class model,True,24,0,-4162.697885282345,0.45083122424843913,1.9574880458234354
5,0.0,Renal-adjusted associative latent class model,True,43,3,-3659.121348763889,0.434526206602189,1.988924036252816
5,0.0,Biologically constrained latent SCM,True,41,2,-3659.278191145141,0.42878569456535764,1.9980474742459422
6,0.0,Associative latent class model,True,28,1,-4148.570830354676,0.46288994034220216,1.787615383675647
6,0.0,Renal-adjusted associative latent class model,True,33,3,-3659.832081516124,0.49621770292400635,1.9419261276762985
6,0.0,Biologically constrained latent SCM,True,28,1,-3661.3240949277674,0.4633054673340629,1.7632173776651547
7,0.0,Associative latent class model,True,22,1,-4144.109390153552,0.4798118645096912,1.858545427068372
7,0.0,Renal-adjusted associative latent class model,True,27,3,-3660.4383243672028,0.48358300199889526,1.8892357991806492
7,0.0,Biologically constrained latent SCM,True,33,3,-3660.6034635661613,0.4793155036956039,1.888130376089651
8,0.0,Associative latent class model,True,17,3,-4105.400922847085,0.49735353025578405,2.179365349662642
8,0.0,Renal-adjusted associative latent class model,True,24,1,-3606.200537022027,0.49593431001320243,2.190624934268822
8,0.0,Biologically constrained latent SCM,True,14,0,-3607.436325120524,0.49470206046971704,2.1813600600772527
9,0.0,Associative latent class model,True,14,0,-4082.476558249633,0.48116228530241173,2.4036722920422067
9,0.0,Renal-adjusted associative latent class model,True,18,1,-3592.5326275517846,0.47966301899510727,2.3679962474032874
9,0.0,Biologically constrained latent SCM,True,15,3,-3592.8037746107784,0.4773955386557357,2.3827010376062843
0,0.75,Associative latent class model,True,19,1,-4096.772950305165,0.47367724539889183,1.742431598995064
0,0.75,Renal-adjusted associative latent class model,True,19,1,-3597.711341016943,0.46599010814516567,2.0137426136082275
0,0.75,Biologically constrained latent SCM,True,18,1,-3598.033268712688,0.4603146887496185,1.9912602803493895
1,0.75,Associative latent class model,True,45,2,-4159.7689243597015,0.4941529507343333,2.1081445684587115
1,0.75,Renal-adjusted associative latent class model,True,35,0,-3639.088230028561,0.4320678936816782,2.276583143751014
1,0.75,Biologically constrained latent SCM,True,40,2,-3641.080769736165,0.45462564585065096,2.1999111262988302
2,0.75,Associative latent class model,True,23,2,-4128.922806216635,0.3941183907635316,1.6247997853540221
2,0.75,Renal-adjusted associative latent class model,True,40,3,-3592.816688805251,0.37534099996016546,1.9013218534000134
2,0.75,Biologically constrained latent SCM,True,29,2,-3593.1890433195954,0.36363726632556265,1.8839909901451612
3,0.75,Associative latent class model,True,19,1,-4164.185716704129,0.4755301281296694,2.068966940965525
3,0.75,Renal-adjusted associative latent class model,True,17,1,-3648.6667994867967,0.48500675473949983,2.371183777020678
3,0.75,Biologically constrained latent SCM,True,17,1,-3649.365285261422,0.48963820126751384,2.363985164987718
4,0.75,Associative latent class model,True,21,1,-4177.046202005544,0.4582802618209857,1.9228558101433233
4,0.75,Renal-adjusted associative latent class model,True,23,0,-3652.7507354440345,0.4704052240088396,2.209972009356494
4,0.75,Biologically constrained latent SCM,True,39,2,-3653.269659308853,0.4599805896884929,2.215712932704098
5,0.75,Associative latent class model,True,12,1,-4209.168662302904,0.4866441635125585,0.995734346954664
5,0.75,Renal-adjusted associative latent class model,True,124,0,-3693.986035940167,0.39258747272588496,1.9263293968634554
5,0.75,Biologically constrained latent SCM,True,40,2,-3694.426819631015,0.3968965631531381,1.8868703725302727
6,0.75,Associative latent class model,True,22,1,-4156.90372305713,0.46034586879219375,2.0213992720534826
6,0.75,Renal-adjusted associative latent class model,True,22,1,-3644.143164280029,0.4684894333412506,2.2876464618883228
6,0.75,Biologically constrained latent SCM,True,21,3,-3644.1529936660377,0.4689212554112487,2.2878238107428364
7,0.75,Associative latent class model,True,42,2,-4148.22784327239,0.46201506733966824,1.2779129918942664
