repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
0,Associative latent class model,2.25,8400.919270496937,7838.7848162632345,-562.1344542337029,True,True,0.3256941644447153
0,Renal-adjusted associative latent class model,2.25,6810.932574626884,6835.658343186431,24.72576855954685,False,True,0.44621839248864703
0,Biologically constrained latent SCM,2.25,6798.996100144218,6823.923865881332,24.927765737113987,False,True,0.32971128963169144
1,Associative latent class model,2.25,8298.890339026335,7771.005505305475,-527.8848337208601,True,True,0.3014707704977804
1,Renal-adjusted associative latent class model,2.25,6767.9855552701065,6791.749119902408,23.763564632301495,False,True,0.38060553424291865
1,Biologically constrained latent SCM,2.25,6755.035941363693,6779.337811620511,24.301870256817892,False,True,0.3734259333247722
2,Associative latent class model,2.25,8520.949343795435,7975.269668693001,-545.679675102434,True,True,0.30991313159393724
2,Renal-adjusted associative latent class model,2.25,6963.000809290559,6990.305020374515,27.304211083956034,False,True,0.2752371046553331
2,Biologically constrained latent SCM,2.25,6950.012323110518,6981.114063047988,31.101739937469574,False,True,0.4973358901733817
3,Associative latent class model,2.25,8417.89739663167,7859.192308598864,-558.7050880328061,True,True,0.2638210515910753
3,Renal-adjusted associative latent class model,2.25,6914.189366634702,6937.826552354714,23.637185720011985,False,True,0.4508351966326783
3,Biologically constrained latent SCM,2.25,6904.632654918344,6932.713105954604,28.080451036259547,False,True,0.4356317251961424
4,Associative latent class model,2.25,8390.48711172598,7875.255392372335,-515.2317193536455,True,True,0.33198457944074006
4,Renal-adjusted associative latent class model,2.25,6849.1506045704045,6878.8705743549435,29.71996978453899,False,True,0.490735252918319
4,Biologically constrained latent SCM,2.25,6838.2264779433,6866.09104186516,27.86456392186028,False,True,0.4953805554216779
5,Associative latent class model,2.25,8420.624994887103,7917.989151845204,-502.6358430418986,True,True,0.32366872947356157
5,Renal-adjusted associative latent class model,2.25,6876.641614765733,6908.7616907616675,32.12007599593471,False,True,0.49024933573716495
5,Biologically constrained latent SCM,2.25,6868.91240387422,6896.741626343661,27.829222469440538,False,True,0.35665688367945036
6,Associative latent class model,2.25,8447.528031091082,7884.745871239185,-562.7821598518967,True,True,0.32239843441915256
6,Renal-adjusted associative latent class model,2.25,6855.573451211046,6885.325027157853,29.751575946806952,False,True,0.2981411897370114
6,Biologically constrained latent SCM,2.25,6845.4088386212925,6874.206406714047,28.797568092754773,False,True,0.3431520170339094
7,Associative latent class model,2.25,8427.531006273328,7867.711695670205,-559.8193106031231,True,True,0.30821997788403105
7,Renal-adjusted associative latent class model,2.25,6857.895080073406,6887.819995877295,29.924915803889235,False,True,0.4806852098930501
7,Biologically constrained latent SCM,2.25,6847.546759009774,6873.931098352537,26.38433934276327,False,True,0.4038610210707074
8,Associative latent class model,2.25,8437.649590405412,7801.72490153408,-635.9246888713315,True,True,0.2865918955188896
8,Renal-adjusted associative latent class model,2.25,6819.8729906748895,6839.801479014808,19.92848833991866,False,True,0.18107516679902466
8,Biologically constrained latent SCM,2.25,6811.4038992092765,6833.922548741233,22.518649531956726,False,True,0.46686398959582853
9,Associative latent class model,2.25,8466.984730974793,7923.295013914982,-543.6897170598113,True,True,0.29441558211208657
9,Renal-adjusted associative latent class model,2.25,6948.121469223237,6972.05756372543,23.936094502192645,False,True,0.41120808153523086
9,Biologically constrained latent SCM,2.25,6937.85925615914,6962.654980960557,24.795724801416327,False,False,0.36121309883733393
