repeat,renal_effect_sd,causal_estimated_renal_effect_nt,adjusted_estimated_renal_effect_nt,adjusted_estimated_renal_effect_electrical,adjusted_estimated_renal_effect_competing
0,0.0,0.16591701200033304,0.018995640852152086,-0.14804534939147918,0.16028324238833125
1,0.0,0.08506492178018354,-0.03432122447318098,-0.20320920995880432,0.11813658734891475
2,0.0,0.07350225030489493,0.11563080157797967,-0.06606446020213985,-0.14729147390245007
3,0.0,-0.022007755106657714,-0.10335092308932725,-0.03786770349111834,0.11662087047078967
4,0.0,-0.020741660552127804,-0.0740407219996193,-0.09772767006237668,0.00990395990934667
5,0.0,0.0949017811438532,0.13960692896361881,0.01722216144713873,-0.07185080595946183
6,0.0,-0.0792306918991039,-0.2515697944940416,-0.25446171994388145,0.1599166032280013
7,0.0,-0.00473512207597504,0.045426235216810135,0.07074999436920247,-0.0313887730922453
8,0.0,-0.07299439720898311,-0.18064581842853317,-0.16834568630701682,0.08565696843914558
9,0.0,-0.12366069011140858,-0.162229897588732,-0.04072534313716613,0.07032870060384744
0,0.75,0.73310398523049,0.6272508324126871,-0.10125571535398395,0.1092177399569193
1,0.75,0.8711203069801984,0.9649053651953614,0.19903076531321626,-0.058383391510565374
2,0.75,0.6769831104022863,0.6116141568885914,-0.09941484919099017,0.038805604798304305
3,0.75,0.7135411488628168,0.6237577980511191,-0.12612379413082497,0.10369850875407771
4,0.75,0.672643924666724,0.7407738656123876,0.0660062840722323,-0.11299389002570193
5,0.75,1.066953259977874,1.152801821674369,0.11884134592627492,-0.07297097329755098
6,0.75,0.7470002330369371,0.7488140344114,-0.000778904451405063,-0.010412322164469634
7,0.75,0.85053489678588,0.9032373932536235,0.028500626129222176,-0.07639756618680182
8,0.75,0.6193598016733627,0.7240173912614366,0.1503367472790254,-0.06555276768008232
9,0.75,0.6904450646952759,0.6847552907713544,0.00015285533708007948,0.027141288919670492
0,1.5,1.5056666168224193,1.5236173448409973,-0.027454236486630885,-0.06473807756516248
1,1.5,1.4252941658466467,1.5029138921464646,0.07934835094872193,-0.10474030167885573
2,1.5,1.541751368332009,1.2948949482576897,-0.24712010709485255,0.06181110172762594
3,1.5,1.4587325761476622,1.2589787296624861,-0.23914221390171936,0.08729177983936343
4,1.5,1.4202280363016941,1.4778237368809664,0.11543030584654687,-0.025315666782823376
5,1.5,1.500493311286355,1.4900568078008445,-0.002886677943407426,0.027836225165008166
6,1.5,1.762282748898358,1.8787247879786222,0.09197405050742635,-0.1220532567444863
7,1.5,1.3808011717438238,1.3704006701353257,0.10878990386600423,0.07708449602536505
8,1.5,1.5369351807748823,1.624627141314077,-0.014842347544104358,-0.1706340667372662
9,1.5,1.414692910101035,1.3242702713351915,0.04054524790181868,0.17378215171828892
0,2.25,2.3284261362039635,2.53211685989481,0.248746550752659,-0.3283409222759517
1,2.25,2.0715182016178972,1.903496984550669,-0.16750325385587342,0.1492375533557483
2,2.25,2.1661530881609052,2.2547161574301753,0.06219595446551568,-0.09967521093142162
3,2.25,2.3982763987973867,2.2561091832511466,-0.18684770610713836,0.08029746222209866
4,2.25,2.429956940870735,2.4181198193522433,0.04379447272974202,0.06059561214900411
5,2.25,2.2978101105613287,2.365241694606985,0.08050006762957418,-0.092173481485691
6,2.25,2.3260469047684174,2.164074507257947,-0.24759400850102986,0.1465574321355535
7,2.25,2.277454390463236,2.29997308071932,0.01149631241299425,-0.054617872224308806
8,2.25,2.2069085481484407,2.192614286649866,0.05133725019581643,0.06876832490861605
9,2.25,2.494308338026953,2.4390047070171845,-0.08769756206713392,0.03431334225716731
