repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
0,1,1,False,8543.243279811759,8584.190718475846,40.9474386640868,0.4798506876544063,True,12
1,1,1,False,8643.368123069931,8684.125830093126,40.7577070231946,0.49363138284431646,True,26
2,1,1,False,8466.10175578058,8505.59688124719,39.49512546660844,0.49905726982895915,True,9
3,1,1,False,8454.246661543895,8490.77228535825,36.52562381435564,0.49617913875151054,True,11
4,1,1,False,8546.643950317066,8585.822276114404,39.1783257973384,0.48189585377285715,True,20
5,1,1,False,8662.010954561763,8701.157042434437,39.14608787267389,0.47649103465822895,True,12
6,1,1,False,8663.65142618382,8700.21364763761,36.5622214537907,0.4967821268598533,True,12
7,1,1,False,8592.789191387878,8627.172844543484,34.383653155606225,0.4907332340361688,True,6
8,1,1,False,8472.375925186028,8508.833342238004,36.457417051975426,0.486004277891834,True,66
9,1,1,False,8491.34087679012,8538.302559075973,46.961682285853385,0.4993557830647419,True,19
10,1,1,False,8435.244961117074,8472.515813185852,37.27085206877746,0.48366008791120474,True,8
11,1,1,False,8574.87918517454,8618.880536425653,44.00135125111228,0.48965683700693907,True,17
12,1,1,False,8552.632648519218,8591.47003558017,38.837387060952096,0.48991197662556807,True,24
13,1,1,False,8553.66324804294,8594.152668593362,40.48942055042244,0.4769785213936411,True,38
14,1,1,False,8524.874403384494,8566.919725241058,42.04532185656353,0.49314678535420675,True,12
15,1,1,False,8480.080462909793,8522.801164316237,42.72070140644428,0.4953768688077005,True,14
16,1,1,False,8663.216924503795,8700.202684656937,36.98576015314211,0.4967391603318041,True,31
17,1,1,False,8373.15548621966,8413.070177947939,39.91469172827783,0.4914513507589616,True,12
18,1,1,False,8583.55144564985,8624.37149107534,40.82004542549112,0.49977254717989805,True,46
19,1,1,False,8558.443681150498,8601.867125461595,43.42344431109632,0.4757237691115613,True,15
20,1,1,False,8509.591148538846,8552.06829606886,42.4771475300131,0.4840307441090529,True,13
21,1,1,False,8491.781927921345,8533.309892477364,41.52796455601856,0.49423215294382067,True,11
22,1,1,False,8558.927636235141,8598.791719430394,39.86408319525253,0.4937395818252917,True,49
23,1,1,False,8654.16294595343,8694.756534861184,40.593588907753656,0.4961289700224352,True,26
24,1,1,False,8616.236901978093,8657.73141052952,41.494508551428225,0.48996729301008823,True,29
25,1,1,False,8502.247489222504,8547.032527684356,44.78503846185231,0.4969134950808068,True,22
26,1,1,False,8671.337665516847,8713.91964051797,42.58197500112328,0.4971641623607509,True,15
27,1,1,False,8481.915697279872,8520.387726913008,38.47202963313612,0.4729521678006024,True,22
28,1,1,False,8434.518680320602,8474.374608012497,39.855927691894976,0.47101058566644943,True,27
29,1,1,False,8619.202765679882,8663.175746086601,43.972980406719216,0.4986603613774331,True,21
30,1,1,False,8519.37904349854,8560.446787222512,41.067743723971944,0.497515861069557,True,10
31,1,1,False,8653.870993579738,8694.86597773032,40.99498415058224,0.49675668180395066,True,42
32,1,1,False,8535.72597879845,8578.610452062729,42.88447326427922,0.49630667080454394,True,11
33,1,1,False,8478.066801439214,8518.054613677421,39.98781223820697,0.4846112399308107,True,17
34,1,1,False,8649.11010103763,8693.285158408313,44.175057370683135,0.4767922723806983,True,16
35,1,1,False,8569.01594012516,8608.794102044309,39.77816191914826,0.48555052706179547,True,13
36,1,1,False,8646.313560234279,8685.555859365459,39.24229913117961,0.47628492218846047,True,16
37,1,1,False,8514.531106681647,8555.116022140102,40.584915458455725,0.4994201213916338,True,15
38,1,1,False,8593.601382798704,8636.350597644287,42.74921484558217,0.49917082106218225,True,12
39,1,1,False,8658.1316729981,8699.906947953394,41.77527495529284,0.4837126125995843,True,14
40,1,1,False,8662.346874750587,8706.871139215453,44.524264464866064,0.4892584614133568,True,18
41,1,1,False,8519.14986315143,8563.426981738516,44.27711858708608,0.4879049556761286,True,11
42,1,1,False,8613.615516105156,8649.430491646246,35.81497554109046,0.4656829674476182,True,41
