repeat,strength_index,renal_effect_sd,method,metric,value,denominator
0,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.804,1000
0,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.15469613259668508,181
0,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.803,1000
0,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.14917127071823205,181
0,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.803,1000
0,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.14917127071823205,181
1,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.798,1000
1,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.20855614973262032,187
1,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.799,1000
1,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.17647058823529413,187
1,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.8,1000
1,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.1711229946524064,187
2,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.787,1000
2,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.19337016574585636,181
2,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.778,1000
2,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.17679558011049723,181
2,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.775,1000
2,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.17679558011049723,181
3,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.782,1000
3,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.1977401129943503,177
3,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.783,1000
3,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.15254237288135594,177
3,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.779,1000
3,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.15819209039548024,177
4,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.834,1000
4,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.15,200
4,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.836,1000
4,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.11,200
4,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.835,1000
4,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.115,200
5,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.824,1000
5,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.16022099447513813,181
5,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.822,1000
5,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.13259668508287292,181
5,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.821,1000
5,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.13259668508287292,181
6,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.792,1000
6,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.1695906432748538,171
6,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.805,1000
6,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.0935672514619883,171
6,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.807,1000
6,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.08771929824561403,171
7,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.805,1000
7,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.17708333333333334,192
7,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.807,1000
7,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.125,192
7,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.802,1000
7,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.125,192
8,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.822,1000
8,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.15428571428571428,175
8,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.817,1000
8,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.13142857142857142,175
8,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.816,1000
8,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.13142857142857142,175
9,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.81,1000
9,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.19161676646706588,167
9,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.814,1000
9,0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,0.1497005988023952,167
9,0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,0.815,1000
9,0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,0.1497005988023952,167
10,0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,0.803,1000
10,0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,0.18085106382978725,188
10,0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,0.801,1000
