repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,0.0,Associative latent class model,True,17,0,-4085.167268559747,0.4890774460958754,2.1382629586397766
0,0.0,Renal-adjusted associative latent class model,True,20,1,-3603.675801442111,0.4954990078845287,2.1301816628484582
0,0.0,Biologically constrained latent SCM,True,17,3,-3604.743916861529,0.4836394692809269,2.168723484488335
1,0.0,Associative latent class model,True,11,0,-4121.276672197372,0.4954185276485448,2.3033901241872115
1,0.0,Renal-adjusted associative latent class model,True,25,3,-3642.507062876147,0.49017858036246326,2.3884400998051882
1,0.0,Biologically constrained latent SCM,True,12,0,-3643.704183557348,0.496885575936206,2.305002342333712
2,0.0,Associative latent class model,True,18,0,-4141.548863641294,0.4645420831897272,2.0815029750719565
2,0.0,Renal-adjusted associative latent class model,True,19,3,-3644.783099636714,0.4699642882090792,2.076834067295234
2,0.0,Biologically constrained latent SCM,True,18,0,-3646.7769090193287,0.4664715672452138,2.071675795944486
3,0.0,Associative latent class model,True,25,1,-4159.425913784588,0.4413182080361975,1.8964895490017017
3,0.0,Renal-adjusted associative latent class model,True,29,3,-3666.9129961833078,0.44665374512758743,1.8988679641031319
3,0.0,Biologically constrained latent SCM,True,26,1,-3667.3725573859756,0.44196402217733016,1.9025837032864228
4,0.0,Associative latent class model,True,17,1,-4152.688115740874,0.48172233535151604,1.9636149182389844
4,0.0,Renal-adjusted associative latent class model,True,19,1,-3649.890693532826,0.4839143630963567,1.9643667760887142
4,0.0,Biologically constrained latent SCM,True,18,1,-3650.4269498849435,0.48202583774218594,1.960161317095379
5,0.0,Associative latent class model,True,24,0,-4162.697885282345,0.45083122424843913,1.9574880458234354
5,0.0,Renal-adjusted associative latent class model,True,43,3,-3659.121348763889,0.434526206602189,1.988924036252816
5,0.0,Biologically constrained latent SCM,True,41,2,-3659.278191145141,0.42878569456535764,1.9980474742459422
6,0.0,Associative latent class model,True,28,1,-4148.570830354676,0.46288994034220216,1.787615383675647
6,0.0,Renal-adjusted associative latent class model,True,33,3,-3659.832081516124,0.49621770292400635,1.9419261276762985
6,0.0,Biologically constrained latent SCM,True,28,1,-3661.3240949277674,0.4633054673340629,1.7632173776651547
7,0.0,Associative latent class model,True,22,1,-4144.109390153552,0.4798118645096912,1.858545427068372
7,0.0,Renal-adjusted associative latent class model,True,27,3,-3660.4383243672028,0.48358300199889526,1.8892357991806492
7,0.0,Biologically constrained latent SCM,True,33,3,-3660.6034635661613,0.4793155036956039,1.888130376089651
8,0.0,Associative latent class model,True,17,3,-4105.400922847085,0.49735353025578405,2.179365349662642
8,0.0,Renal-adjusted associative latent class model,True,24,1,-3606.200537022027,0.49593431001320243,2.190624934268822
8,0.0,Biologically constrained latent SCM,True,14,0,-3607.436325120524,0.49470206046971704,2.1813600600772527
9,0.0,Associative latent class model,True,14,0,-4082.476558249633,0.48116228530241173,2.4036722920422067
9,0.0,Renal-adjusted associative latent class model,True,18,1,-3592.5326275517846,0.47966301899510727,2.3679962474032874
9,0.0,Biologically constrained latent SCM,True,15,3,-3592.8037746107784,0.4773955386557357,2.3827010376062843
10,0.0,Associative latent class model,True,17,0,-4133.119482983018,0.4820184245323392,2.0049857398565507
10,0.0,Renal-adjusted associative latent class model,True,22,3,-3666.741858537623,0.47439331307307214,2.012898989235089
10,0.0,Biologically constrained latent SCM,True,18,0,-3667.417464252465,0.4826781759146311,2.007207110805376
11,0.0,Associative latent class model,True,17,1,-4127.423847708822,0.493638521489396,2.1913843418986247
11,0.0,Renal-adjusted associative latent class model,True,18,1,-3635.920432186653,0.4941591492741597,2.205544960174847
11,0.0,Biologically constrained latent SCM,True,17,3,-3636.6567611145947,0.4932330941176977,2.202669158185893
12,0.0,Associative latent class model,True,24,3,-4126.662214551876,0.4697771737719069,2.2054884887951554
12,0.0,Renal-adjusted associative latent class model,True,19,1,-3639.577727276555,0.46866423685505526,2.2098721163108834
12,0.0,Biologically constrained latent SCM,True,17,3,-3641.8650567134955,0.4701495287416088,2.2095592589715554
13,0.0,Associative latent class model,True,25,0,-4168.098558593584,0.47303662000616187,1.6170246857606267
13,0.0,Renal-adjusted associative latent class model,True,20,1,-3675.7062580180436,0.47093980457916473,1.630252286154974
13,0.0,Biologically constrained latent SCM,True,26,3,-3677.277903444887,0.46831463549657776,1.6360804752951204
14,0.0,Associative latent class model,True,18,1,-4178.349603016467,0.49622045300807227,1.9621784306023768
14,0.0,Renal-adjusted associative latent class model,True,19,0,-3686.023409305665,0.49210438186080624,1.9978742192138377
14,0.0,Biologically constrained latent SCM,True,19,0,-3686.246103416358,0.49358342571517283,1.9921369315693824
15,0.0,Associative latent class model,True,25,3,-4172.345416147288,0.47393309297044417,1.8227126307152828
15,0.0,Renal-adjusted associative latent class model,True,34,1,-3671.904130553683,0.4747305791963594,1.8156158150193549
15,0.0,Biologically constrained latent SCM,True,54,2,-3672.5993223585438,0.4447591545754699,1.8395031449089019
16,0.0,Associative latent class model,True,18,1,-4157.370172819259,0.49643125264633253,2.0358280086390157
16,0.0,Renal-adjusted associative latent class model,True,23,1,-3644.5638834836195,0.4844670393783978,2.0524104713160867
16,0.0,Biologically constrained latent SCM,True,18,1,-3645.7179567301873,0.49292234546801206,2.0540945577051466
