repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,Pooled associative latent class model,True,28,0,-7947.0089127750825,0.4590379043867044,1.8883818729071353
0,Target-calibrated associative latent model,True,26,1,-7725.078718165443,0.4473075496422036,1.9615015773730995
0,Modular causal latent SCM,True,26,1,-7730.256146311476,0.4472889611600168,1.9504251562692578
1,Pooled associative latent class model,True,25,3,-8028.431128814037,0.46821041706781913,2.0405521246837584
1,Target-calibrated associative latent model,True,17,0,-7783.573125453822,0.48359275147509795,2.0602689649212333
1,Modular causal latent SCM,True,17,3,-7786.866351026074,0.48456718446104735,2.051834515135681
2,Pooled associative latent class model,True,20,0,-8013.366347267063,0.489828293792759,1.7915357987496643
2,Target-calibrated associative latent model,True,15,2,-7782.217507133871,0.4986448188945528,1.8186491459826781
2,Modular causal latent SCM,True,11,3,-7786.622655038808,0.49872898160519524,1.7858024626487194
3,Pooled associative latent class model,True,25,0,-8029.651490075179,0.4511853193485883,2.0045986352611385
3,Target-calibrated associative latent model,True,25,1,-7780.807860448293,0.4384146273011614,2.1408075936570743
3,Modular causal latent SCM,True,28,3,-7798.689914500378,0.4334759210421612,2.1144342563291225
4,Pooled associative latent class model,True,42,1,-7965.770861716992,0.41703312867419917,1.8536418760047555
4,Target-calibrated associative latent model,True,37,1,-7731.783415298398,0.43057789227583376,1.882142115835512
4,Modular causal latent SCM,True,36,1,-7734.565165293295,0.43520841502379665,1.9051616502005002
5,Pooled associative latent class model,True,20,3,-8032.552624172805,0.4996010215393537,1.8241948171621887
5,Target-calibrated associative latent model,True,19,1,-7790.127124812596,0.48438335091100043,1.8483577857855538
5,Modular causal latent SCM,True,19,1,-7791.545721904926,0.4818135928622828,1.8620717366333865
6,Pooled associative latent class model,True,27,2,-8007.694745218987,0.4769239732310291,1.8637780807748865
6,Target-calibrated associative latent model,True,23,2,-7771.987457291367,0.48051629121268774,1.9386524165740027
6,Modular causal latent SCM,True,24,3,-7774.990759810644,0.48443537476181103,1.9394945537931172
7,Pooled associative latent class model,True,25,1,-7946.5148199392,0.4698097112284896,1.853967129482477
7,Target-calibrated associative latent model,True,23,1,-7706.217280397292,0.4581519739783184,1.8640167023979575
7,Modular causal latent SCM,True,22,1,-7708.897664668706,0.4603120423530195,1.8549194167993845
8,Pooled associative latent class model,True,21,3,-7997.970936717771,0.49054812816609833,1.8956605084233078
8,Target-calibrated associative latent model,True,18,3,-7770.515511590631,0.49841556651815616,1.9920939075059874
8,Modular causal latent SCM,True,18,3,-7774.991698149199,0.4981746638199888,1.999034159423314
9,Pooled associative latent class model,True,26,2,-8032.536077837818,0.4644677169639186,1.9446225311750625
9,Target-calibrated associative latent model,True,24,1,-7826.337150317655,0.4802270372372536,2.0616363424695563
9,Modular causal latent SCM,True,25,3,-7830.815168833148,0.476279089751941,2.0523783840109946
10,Pooled associative latent class model,True,15,0,-7933.059948991092,0.498392934509876,2.1674023454933837
10,Target-calibrated associative latent model,True,19,2,-7709.468055657703,0.49564944700418134,2.1916715791328927
10,Modular causal latent SCM,True,19,1,-7715.620003875369,0.490441517125616,2.16164591192248
11,Pooled associative latent class model,True,16,3,-8097.191189984848,0.4968891959111439,1.832439321771848
11,Target-calibrated associative latent model,True,22,2,-7852.538557262613,0.4967995031140999,1.9689208168924976
11,Modular causal latent SCM,True,21,3,-7852.0253985137115,0.49719491893347945,1.9702763535745635
12,Pooled associative latent class model,True,24,1,-8058.724878390979,0.48813766621082916,2.033476863418695
12,Target-calibrated associative latent model,True,24,1,-7849.160349245421,0.4931247581796195,2.017953278419678
12,Modular causal latent SCM,True,11,2,-7850.852112418661,0.49812302845473105,2.0481610277656745
13,Pooled associative latent class model,True,19,1,-7912.412983089689,0.49251796907214146,2.2053349438785315
13,Target-calibrated associative latent model,True,18,3,-7654.562499451395,0.4979498878326384,2.3088526063176498
13,Modular causal latent SCM,True,15,2,-7662.414325519157,0.4976890874485739,2.318284153222315
