strength_index,renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.13521897572615638,0.1331013291094162,0.13733662234289656,0.0010778311896050205,500
0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.8113879999999999,0.8103129901538596,0.8124630098461402,0.0005471541531731873,500
0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.13521897572615638,0.1331013291094162,0.13733662234289656,0.0010778311896050205,500
0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.8113879999999999,0.8103129901538596,0.8124630098461402,0.0005471541531731873,500
0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.17253246624303592,0.17015192152234818,0.17491301096372366,0.0012116400007082095,500
0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.810128,0.8090477277740643,0.8112082722259356,0.0005498325779066327,500
1,0.75,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1363599431537618,0.13412107280771696,0.13859881349980663,0.0011395311518800917,500
1,0.75,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.81144,0.8102976269449498,0.8125823730550503,0.0005814404061395991,500
1,0.75,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1363599431537618,0.13412107280771696,0.13859881349980663,0.0011395311518800917,500
1,0.75,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.81144,0.8102976269449498,0.8125823730550503,0.0005814404061395991,500
1,0.75,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.33550163553102663,0.3321668980110126,0.33883637305104064,0.0016973011832116234,500
1,0.75,Posterior matching (kidney-blind),true_mechanism_accuracy,0.7949039999999999,0.7937178785421777,0.7960901214578222,0.0006037072908173063,500
2,1.5,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.13624149028564442,0.1340506295611269,0.13843235101016194,0.0011150954093561785,500
2,1.5,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.812222,0.8111396491546375,0.8133043508453625,0.0005508905451952951,500
2,1.5,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.13624149028564442,0.1340506295611269,0.13843235101016194,0.0011150954093561785,500
2,1.5,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.812222,0.8111396491546375,0.8133043508453625,0.0005508905451952951,500
2,1.5,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.5322793751573867,0.5290165582681803,0.535542192046593,0.001660695312124452,500
2,1.5,Posterior matching (kidney-blind),true_mechanism_accuracy,0.767702,0.7666005471090757,0.7688034528909243,0.0005606130269016804,500
3,2.25,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.13397620349197292,0.13176204190912896,0.13619036507481688,0.0011269549857606165,500
3,2.25,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.812198,0.8111073399630202,0.8132886600369797,0.0005551197238575023,500
3,2.25,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.13397620349197292,0.13176204190912896,0.13619036507481688,0.0011269549857606165,500
3,2.25,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.812198,0.8111073399630202,0.8132886600369797,0.0005551197238575023,500
3,2.25,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.7236165079245158,0.7205363819005954,0.7266966339484362,0.001567710056178266,500
3,2.25,Posterior matching (kidney-blind),true_mechanism_accuracy,0.7361599999999999,0.7349515373821891,0.7373684626178107,0.000615078403852527,500
