repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
0,1,1,False,8543.24327981176,8584.190718475846,40.947438664084984,0.479850687654406,True,12
1,1,1,False,8643.368123069933,8684.125830093128,40.7577070231946,0.49363138284431557,True,26
2,1,1,False,8466.101755780583,8505.59688124719,39.49512546660662,0.49905726982895976,True,9
3,1,1,False,8454.246661543895,8490.77228535825,36.52562381435564,0.49617913875151043,True,11
4,1,1,False,8546.643950317066,8585.822276114402,39.17832579733658,0.48189585377285715,True,20
5,1,1,False,8662.010954561765,8701.157042434437,39.14608787267207,0.47649103465822895,True,12
6,1,1,False,8663.65142618382,8700.213647637609,36.56222145378888,0.4967821268598528,True,12
7,1,1,False,8592.789191387878,8627.172844543484,34.383653155606225,0.49073323403616825,True,6
8,1,1,False,8472.375925186028,8508.833342238004,36.457417051975426,0.4860042778918348,True,66
9,1,1,False,8491.34087679012,8538.302559075973,46.961682285853385,0.49935578306474177,True,19
10,1,1,False,8435.244961117074,8472.51581318585,37.27085206877564,0.4836600879112047,True,8
11,1,1,False,8574.87918517454,8618.880536425653,44.00135125111228,0.4896568370069394,True,17
12,1,1,False,8552.632648519218,8591.47003558017,38.837387060952096,0.48991197662556774,True,24
13,1,1,False,8553.66324804294,8594.152668593362,40.48942055042244,0.47697852139364066,True,38
14,1,1,False,8524.874403384494,8566.919725241058,42.04532185656353,0.4931467853542064,True,12
15,1,1,False,8480.080462909793,8522.801164316237,42.72070140644428,0.49537686880770043,True,14
16,1,1,False,8663.216924503795,8700.202684656937,36.98576015314211,0.49673916033180315,True,31
17,1,1,False,8373.155486219659,8413.070177947937,39.91469172827783,0.4914513507589615,True,12
18,1,1,False,8583.55144564985,8624.37149107534,40.82004542549112,0.4997725471798958,True,46
19,1,1,False,8558.443681150498,8601.867125461595,43.42344431109632,0.4757237691115619,True,15
20,1,1,False,8509.591148538846,8552.06829606886,42.4771475300131,0.48403074410905267,True,13
21,1,1,False,8491.781927921345,8533.309892477364,41.52796455601856,0.4942321529438201,True,11
22,1,1,False,8558.927636235145,8598.791719430394,39.864083195248895,0.49373958182529154,True,49
23,1,1,False,8654.16294595343,8694.756534861184,40.593588907753656,0.49612897002243556,True,26
24,1,1,False,8616.236901978093,8657.73141052952,41.494508551428225,0.48996729301008846,True,29
25,1,1,False,8502.247489222504,8547.032527684356,44.78503846185231,0.49691349508080696,True,22
26,1,1,False,8671.337665516847,8713.91964051797,42.58197500112328,0.497164162360751,True,15
27,1,1,False,8481.915697279872,8520.387726913008,38.47202963313612,0.4729521678006022,True,22
28,1,1,False,8434.518680320602,8474.374608012497,39.855927691894976,0.471010585666451,True,27
29,1,1,False,8619.202765679882,8663.175746086603,43.972980406721035,0.49866036137743264,True,21
30,1,1,False,8519.37904349854,8560.446787222512,41.067743723971944,0.4975158610695572,True,10
31,1,1,False,8653.870993579738,8694.86597773032,40.99498415058224,0.4967566818039511,True,42
32,1,1,False,8535.72597879845,8578.610452062729,42.88447326427922,0.4963066708045445,True,11
33,1,1,False,8478.066801439214,8518.054613677421,39.98781223820697,0.4846112399308099,True,17
34,1,1,False,8649.11010103763,8693.285158408313,44.175057370683135,0.47679227238069805,True,16
35,1,1,False,8569.01594012516,8608.794102044309,39.77816191914826,0.485550527061796,True,13
36,1,1,False,8646.313560234279,8685.555859365457,39.24229913117779,0.47628492218846036,True,16
37,1,1,False,8514.531106681647,8555.116022140102,40.584915458455725,0.499420121391634,True,15
38,1,1,False,8593.601382798704,8636.350597644287,42.74921484558217,0.4991708210621821,True,12
39,1,1,False,8658.1316729981,8699.906947953392,41.775274955291025,0.48371261259958415,True,14
40,1,1,False,8662.346874750587,8706.871139215453,44.524264464866064,0.4892584614133556,True,18
41,1,1,False,8519.14986315143,8563.426981738516,44.27711858708608,0.4879049556761286,True,11
42,1,1,False,8613.615516105156,8649.430491646248,35.81497554109228,0.46568296744761867,True,41
43,1,1,False,8524.369315481126,8557.427670870475,33.058355389348435,0.4130376777912392,True,47
44,1,1,False,8488.658630426718,8530.95022156535,42.2915911386317,0.4985808473822204,True,16
45,1,1,False,8568.342937693324,8608.23558479553,39.892647102205956,0.49714484390911656,True,11
46,1,1,False,8605.908900396129,8649.193022462108,43.28412206597932,0.4940976838275722,True,12
47,1,1,False,8699.58312004053,8741.36381674291,41.78069670238074,0.4947210776763814,True,16
48,1,1,False,8634.112322862129,8672.172222788271,38.05989992614195,0.45700031329904756,True,50
49,1,1,False,8488.529093987465,8529.366466988085,40.83737300062057,0.48583526077141836,True,25
50,1,1,False,8521.747247548818,8559.828112659156,38.08086511033798,0.494937026415741,True,10
51,1,1,False,8337.076383711872,8369.609358662188,32.5329749503162,0.489725996979734,True,16
52,1,1,False,8533.050927032014,8575.830482959476,42.77955592746184,0.4896684595863626,True,9
53,1,1,False,8478.075764991063,8519.179236299497,41.103471308433654,0.48208356116946915,True,34
54,1,1,False,8508.57911368968,8548.28475657818,39.705642888498915,0.46130187766541825,True,12
55,1,1,False,8528.507314409499,8574.623371708403,46.11605729890471,0.48190328508448826,True,20
56,1,1,False,8479.018983081409,8514.826156091329,35.80717300992001,0.480663999809139,True,13
57,1,1,False,8594.124072451155,8636.930028088102,42.80595563694624,0.4994022507085961,True,22
58,1,1,False,8558.589315751648,8602.5725947056,43.98327895395232,0.4923850251186273,True,28
59,1,1,False,8433.044425110584,8468.687214102696,35.6427889921124,0.4890002551552152,True,9
60,1,1,False,8388.87657088204,8424.233896084394,35.35732520235433,0.4838210232417509,True,12
61,1,1,False,8447.309001655387,8487.100417493106,39.79141583771889,0.4837765960945466,True,20
62,1,1,False,8550.622343488736,8593.703914328215,43.081570839478445,0.4888481316814389,True,51
63,1,1,False,8635.394403534883,8671.865233498118,36.47082996323479,0.4979663969703437,True,13
64,1,1,False,8425.220041103916,8469.680242832883,44.46020172896715,0.4955214671923185,True,10
65,1,1,False,8676.57195693109,8710.573640306808,34.00168337571813,0.4966862440004347,True,54
66,1,1,False,8682.44126919224,8726.742765660301,44.30149646806058,0.49819025048162036,True,17
67,1,1,False,8403.209420841862,8434.342055145977,31.132634304114617,0.4918886971392032,True,19
68,1,1,False,8493.545688702407,8533.605467546886,40.0597788444793,0.47948300100336505,True,61
69,1,1,False,8530.47411596069,8566.887638827942,36.41352286725305,0.49603673768399975,True,15
70,1,1,False,8509.244309176236,8552.455496946386,43.21118777014999,0.49350154063935175,True,10
71,1,1,False,8600.379134142646,8642.990758824959,42.61162468231305,0.49779175841175805,True,10
72,1,1,False,8383.257285304562,8427.76749041084,44.51020510627859,0.49700700478118154,True,17
73,1,1,False,8478.427446340123,8519.365296097114,40.937849756990545,0.4868952527600619,True,17
74,1,1,False,8493.66433382819,8538.837293938011,45.17296010982136,0.49247390907722205,True,33
75,1,1,False,8498.201057552218,8533.770113961371,35.569056409152836,0.4941694262199159,True,11
76,1,1,False,8506.90321760654,8543.750129179552,36.84691157301313,0.49818137203091495,True,22
77,1,1,False,8578.578107693376,8625.021279729788,46.44317203641185,0.4899438126770994,True,12
78,1,1,False,8483.545129182627,8525.416765599863,41.871636417236004,0.4860356416528004,True,10
79,1,1,False,8785.406963585308,8830.761937445997,45.354973860688915,0.4943814487905836,True,16
80,1,1,False,8436.004133623235,8477.036747800685,41.03261417744943,0.48505962389956664,True,9
81,1,1,False,8396.841284442613,8442.457268940552,45.61598449793928,0.4795017008759411,True,11
82,1,1,False,8647.192947368041,8689.620507113495,42.427559745454346,0.49321390696149,True,15
83,1,1,False,8555.035270338536,8587.085915986636,32.05064564809982,0.4795832270219129,True,15
84,1,1,False,8587.762930017801,8627.315526715678,39.55259669787665,0.488743786606792,True,14
85,1,1,False,8468.152837434955,8512.676661669071,44.523824234116546,0.4938048164464936,True,17
86,1,1,False,8672.080385434587,8705.696116806057,33.61573137147025,0.47231599101997374,True,35
87,1,1,False,8479.113364490273,8515.508942619314,36.39557812904059,0.4955904063719971,True,11
88,1,1,False,8552.72119874636,8595.37284745179,42.65164870543049,0.4826466429982663,True,21
89,1,1,False,8557.258997057332,8596.456028292892,39.197031235560644,0.4983309237118304,True,12
90,1,1,False,8621.863732104164,8655.92061714877,34.056885044605224,0.49299940761519423,True,69
91,1,1,False,8467.230696356051,8509.386897445487,42.156201089435854,0.4672461455211478,True,49
92,1,1,False,8575.69740078624,8614.164039461471,38.46663867523057,0.49088899788647905,True,33
93,1,1,False,8553.593816412536,8598.102398597202,44.50858218466601,0.49269887975090704,True,11
94,1,1,False,8628.339909181175,8673.749835348135,45.40992616695985,0.49932346816372636,True,12
95,1,1,False,8522.815485244168,8566.736075329733,43.92059008556498,0.4828927760461003,True,17
96,1,1,False,8553.296217874375,8586.89161863104,33.595400756665185,0.44465248985980454,True,49
97,1,1,False,8536.74773030344,8577.924618045194,41.1768877417544,0.49443956740918826,True,31
98,1,1,False,8589.099753050159,8632.01313926927,42.91338621911018,0.49189423957873546,True,17
99,1,1,False,8591.828964567196,8633.407032675454,41.57806810825787,0.4990232799693922,True,16
100,1,1,False,8528.606972917376,8571.750208335025,43.14323541764861,0.49545480163312833,True,12
101,1,1,False,8482.191389996628,8525.837023331858,43.64563333523074,0.48788324595647703,True,9
102,1,1,False,8635.76393133814,8678.95190501281,43.18797367466868,0.4908863568119662,True,15
103,1,1,False,8563.91717894408,8592.95416781705,29.036988872969232,0.451007910120566,True,38
104,1,1,False,8512.326478795287,8549.472447076992,37.14596828170579,0.4806510686505552,True,30
105,1,1,False,8540.397184632307,8584.140337087489,43.74315245518119,0.49213438192058373,True,34
106,1,1,False,8418.207971704483,8456.807238740814,38.599267036330275,0.49232062736527166,True,48
107,1,1,False,8591.882903027137,8632.654257702205,40.771354675067414,0.499423926885378,True,11
108,1,1,False,8487.957299886188,8525.509718337527,37.55241845133969,0.47881953929245624,True,14
109,1,1,False,8523.723390223971,8567.038976463235,43.31558623926321,0.4984239487899991,True,11
110,1,1,False,8563.384409654403,8606.728234072956,43.343824418552686,0.4949280813208456,True,11
111,1,1,False,8519.858371487859,8562.78264155205,42.92427006419166,0.47712865473491406,True,14
112,1,1,False,8538.81626714355,8581.836072055468,43.01980491191898,0.49181375429617324,True,16
113,1,1,False,8564.805423821777,8603.376103666402,38.570679844624465,0.4889340985479394,True,12
114,1,1,False,8452.455052047215,8494.951695650014,42.49664360279894,0.4976318758651946,True,47
115,1,1,False,8551.329099036931,8591.459811673105,40.130712636173484,0.4617769389198618,True,25
116,1,1,False,8376.526180289162,8412.449868288824,35.923687999662434,0.46507192052554175,True,15
117,1,1,False,8591.75747638121,8634.11036255062,42.35288616941034,0.49870338875053266,True,13
118,1,1,False,8488.388733348267,8531.848256662424,43.459523314157195,0.49927122844433264,True,28
119,1,1,False,8573.135956265996,8613.839963247083,40.70400698108642,0.48551531190986374,True,20
120,1,1,False,8431.243313703908,8473.354976962859,42.11166325895101,0.49863609433150025,True,12
121,1,1,False,8568.25736542423,8609.38128158509,41.12391616086097,0.49280869458279,True,24
122,1,1,False,8724.71405747284,8763.50918451187,38.79512703902947,0.4994981247102667,True,19
123,1,1,False,8495.804570301701,8539.50309984898,43.69852954727867,0.48074664248905696,True,12
