repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,Pooled associative latent class model,True,27,0,-7973.666683824475,0.4604936242160641,1.8402905867637438
0,Target-calibrated associative latent model,True,25,1,-7760.943239869411,0.4527651914936485,1.9480216689722574
0,Modular causal latent SCM,True,25,1,-7766.389202713353,0.4523482957867799,1.9299812770565667
1,Pooled associative latent class model,True,26,3,-8035.815824270679,0.4588626857940536,2.0462001184008947
1,Target-calibrated associative latent model,True,22,2,-7782.635994770202,0.4796042296620764,2.062824884493496
1,Modular causal latent SCM,True,17,3,-7786.169622877675,0.48104910409082347,2.0564995065426337
2,Pooled associative latent class model,True,20,0,-7997.74503139704,0.4870420787485686,1.8478372471593678
2,Target-calibrated associative latent model,True,20,0,-7773.467763390875,0.4996860131413699,1.8368951055489924
2,Modular causal latent SCM,True,11,3,-7778.11087485978,0.4976880328190076,1.8034575374450736
3,Pooled associative latent class model,True,23,0,-8015.793345193438,0.45949733966883793,2.004224329496494
3,Target-calibrated associative latent model,True,25,2,-7791.994412188802,0.4349858505226474,2.156269121979294
3,Modular causal latent SCM,True,27,1,-7806.460487353796,0.43031396616730944,2.114550621498941
4,Pooled associative latent class model,True,42,2,-7956.202581615335,0.42331044296874976,1.8507734621303569
4,Target-calibrated associative latent model,True,33,2,-7735.636715034174,0.4371908854632356,1.88212392666104
4,Modular causal latent SCM,True,32,0,-7741.300614214673,0.4391079839608036,1.8963190696619106
5,Pooled associative latent class model,True,20,3,-8039.344533738229,0.49344153436330934,1.870798026384782
5,Target-calibrated associative latent model,True,19,1,-7812.737036669525,0.4809455746946638,1.8580561381424059
5,Modular causal latent SCM,True,19,1,-7809.412241498277,0.48045641975027115,1.8748089615291088
6,Pooled associative latent class model,True,24,2,-8018.058152282468,0.4828343923780687,1.8874783898133538
6,Target-calibrated associative latent model,True,14,3,-7788.956889045801,0.48881677553645914,1.955787020054311
6,Modular causal latent SCM,True,23,3,-7791.72611852593,0.48557624674112754,1.9712844334018715
