metric,definition,denominator,units
accuracy,Fraction whose top-ranked class matches the simulated mechanism.,All evaluated patients.,proportion
accuracy__heart_failure_only,Mechanism-ranking accuracy among patients with heart failure and normal kidneys.,Patients in the subgroup.,proportion
accuracy__redundant,Mechanism-ranking accuracy among patients with both renal impairment and heart failure.,Patients in the subgroup.,proportion
accuracy__renal_only,Mechanism-ranking accuracy among patients with renal impairment and no heart failure.,Patients in the subgroup.,proportion
accuracy__uncomplicated,Mechanism-ranking accuracy among patients with normal kidneys and no heart failure.,Patients in the subgroup.,proportion
accuracy_any_missing,Mechanism-ranking accuracy among patients missing at least one biomarker.,Evaluated patients with any missing biomarker.,proportion
accuracy_complete_case,Mechanism-ranking accuracy among patients with all biomarkers observed.,Complete-case evaluated patients.,proportion
accuracy_electrical_missing,Mechanism-ranking accuracy when the atrial electrical marker is missing.,Evaluated patients missing the electrical marker.,proportion
adjusted_rand_index,Chance-adjusted agreement between assigned and simulated mechanism partitions.,All unordered pairs of evaluated patients.,index from -1 to 1
agreement_with_kidney_status,Label-invariant agreement between the discovered class and renal status.,All patients in the identity-drift cohort.,proportion
agreement_with_mechanism,Label-invariant agreement between the discovered class and simulated mechanism.,All patients in the identity-drift cohort.,proportion
all_biomarkers_missing_rate,Fraction of patients with every biomarker missing.,All evaluated patients.,proportion
biomarker_missing_fraction,Fraction of individual biomarker measurements that are missing.,All patient-by-biomarker measurements.,proportion
brier_score,Mean squared error of the atrial posterior probability.,All evaluated patients.,squared probability
competing_subgroup_size__heart_failure_only,Number of competing-mechanism patients with heart failure and normal kidneys.,One simulated cohort.,patients
competing_subgroup_size__redundant,Number of competing-mechanism patients with both renal impairment and heart failure.,One simulated cohort.,patients
competing_subgroup_size__renal_only,Number of competing-mechanism patients with renal impairment and no heart failure.,One simulated cohort.,patients
competing_subgroup_size__uncomplicated,Number of competing-mechanism patients with normal kidneys and no heart failure.,One simulated cohort.,patients
composition__atrial_impaired_kidneys,Share of the atrial-like discovered class with atrial mechanism and impaired kidneys.,Patients assigned to the atrial-like class.,proportion
composition__atrial_normal_kidneys,Share of the atrial-like discovered class with atrial mechanism and normal kidneys.,Patients assigned to the atrial-like class.,proportion
composition__competing_impaired_kidneys,Share of the atrial-like discovered class with competing mechanism and impaired kidneys.,Patients assigned to the atrial-like class.,proportion
composition__competing_normal_kidneys,Share of the atrial-like discovered class with competing mechanism and normal kidneys.,Patients assigned to the atrial-like class.,proportion
expected_calibration_error,Weighted mean absolute gap between predicted and observed atrial frequency across calibration bins.,"All evaluated patients, weighted by bin size.",probability
false_atrial__heart_failure_only,Fraction called atrial among competing-mechanism patients with heart failure and normal kidneys.,Competing-mechanism patients in the subgroup.,proportion
false_atrial__redundant,Fraction called atrial among competing-mechanism patients with both renal impairment and heart failure.,Competing-mechanism patients in the subgroup.,proportion
false_atrial__renal_only,Fraction called atrial among competing-mechanism patients with renal impairment and no heart failure.,Competing-mechanism patients in the subgroup.,proportion
false_atrial__uncomplicated,Fraction called atrial among competing-mechanism patients with normal kidneys and no heart failure.,Competing-mechanism patients in the subgroup.,proportion
false_atrial_confounded_competing,Fraction called atrial among renal-impaired patients with a competing mechanism.,Renal-impaired competing-mechanism patients.,proportion
false_atrial_renal_competing,Fraction called atrial among renal-impaired patients with a competing mechanism.,Renal-impaired competing-mechanism patients.,proportion
fitted_prior_atrial_given_renal,Fitted probability of atrial mechanism among renal-impaired patients.,Renal-impaired patients represented by the fitted model.,probability
mean_posterior_entropy,Mean uncertainty of each two-class posterior distribution.,All evaluated patients.,nats
mean_posterior_entropy__heart_failure_only,Mean posterior uncertainty among patients with heart failure and normal kidneys.,Patients in the subgroup.,nats
mean_posterior_entropy__redundant,Mean posterior uncertainty among patients with both renal impairment and heart failure.,Patients in the subgroup.,nats
mean_posterior_entropy__renal_only,Mean posterior uncertainty among patients with renal impairment and no heart failure.,Patients in the subgroup.,nats
mean_posterior_entropy__uncomplicated,Mean posterior uncertainty among patients with normal kidneys and no heart failure.,Patients in the subgroup.,nats
predicted_atrial_prevalence,Mean posterior probability assigned to the atrial mechanism.,All evaluated patients.,proportion
subgroup_size__heart_failure_only,Number of patients with heart failure and normal kidneys.,One simulated cohort.,patients
subgroup_size__redundant,Number of patients with both renal impairment and heart failure.,One simulated cohort.,patients
subgroup_size__renal_only,Number of patients with renal impairment and no heart failure.,One simulated cohort.,patients
subgroup_size__uncomplicated,Number of patients with normal kidneys and no heart failure.,One simulated cohort.,patients
true_mechanism_accuracy,Fraction whose top-ranked class matches the simulated mechanism.,All evaluated patients.,proportion
