repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,0.0,Associative latent class model,True,17,0,-4085.167268559747,0.48907744609587583,2.1382629586397757
0,0.0,Renal-adjusted associative latent class model,True,20,1,-3603.675801442111,0.4954990078845286,2.1301816628484604
0,0.0,Biologically constrained latent SCM,True,17,3,-3604.7439168615297,0.48363946928092694,2.168723484488336
1,0.0,Associative latent class model,True,11,0,-4121.276672197372,0.495418527648545,2.3033901241872106
1,0.0,Renal-adjusted associative latent class model,True,25,3,-3642.507062876147,0.49017858036246326,2.3884400998051856
1,0.0,Biologically constrained latent SCM,True,12,0,-3643.704183557348,0.49688557593620614,2.3050023423337125
2,0.0,Associative latent class model,True,18,0,-4141.548863641294,0.46454208318972773,2.081502975071954
2,0.0,Renal-adjusted associative latent class model,True,19,3,-3644.783099636714,0.46996428820907943,2.076834067295235
2,0.0,Biologically constrained latent SCM,True,18,0,-3646.7769090193287,0.466471567245214,2.0716757959444854
3,0.0,Associative latent class model,True,25,1,-4159.4259137845875,0.44131820803619726,1.8964895490017013
3,0.0,Renal-adjusted associative latent class model,True,29,3,-3666.9129961833073,0.44665374512758804,1.8988679641031347
3,0.0,Biologically constrained latent SCM,True,26,1,-3667.3725573859756,0.4419640221773302,1.9025837032864212
4,0.0,Associative latent class model,True,17,1,-4152.688115740874,0.48172233535151576,1.9636149182389833
4,0.0,Renal-adjusted associative latent class model,True,19,1,-3649.890693532826,0.48391436309635694,1.9643667760887156
4,0.0,Biologically constrained latent SCM,True,18,1,-3650.4269498849435,0.4820258377421861,1.9601613170953787
5,0.0,Associative latent class model,True,24,0,-4162.697885282345,0.4508312242484395,1.9574880458234336
5,0.0,Renal-adjusted associative latent class model,True,43,3,-3659.1213487638897,0.4345262066021894,1.9889240362528144
5,0.0,Biologically constrained latent SCM,True,41,2,-3659.278191145141,0.4287856945653577,1.9980474742459418
6,0.0,Associative latent class model,True,28,1,-4148.570830354676,0.46288994034220204,1.787615383675647
