repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
0,Associative latent class model,1.5,8122.826814808679,7838.360902062614,-284.46591274606544,True,True,0.3386370487494497
0,Renal-adjusted associative latent class model,1.5,6810.932574626883,6836.122373092963,25.189798466079992,False,True,0.3064132067002578
0,Biologically constrained latent SCM,1.5,6798.996100144218,6823.923865881333,24.927765737114896,False,True,0.3297112896316888
1,Associative latent class model,1.5,8022.920908831416,7771.402306039681,-251.51860279173525,True,True,0.3077143690751775
1,Renal-adjusted associative latent class model,1.5,6767.9855552701065,6791.749119902408,23.763564632301495,False,True,0.38060553424291643
1,Biologically constrained latent SCM,1.5,6755.035941363693,6779.337811620511,24.301870256817892,False,True,0.3734259333247716
2,Associative latent class model,1.5,8256.878701449696,7974.556924429933,-282.3217770197625,True,True,0.3076551235598675
2,Renal-adjusted associative latent class model,1.5,6963.000809290559,6990.2907512110705,27.28994192051141,False,True,0.27464732010548565
2,Biologically constrained latent SCM,1.5,6950.012323110518,6981.114063047988,31.101739937469574,False,True,0.4973358901733823
3,Associative latent class model,1.5,8155.619831512544,7859.047892647285,-296.57193886525874,True,True,0.26303923891800507
3,Renal-adjusted associative latent class model,1.5,6914.189366634702,6937.825127867182,23.635761232480036,False,True,0.44826158725082665
3,Biologically constrained latent SCM,1.5,6904.632654918344,6932.713105954604,28.080451036259547,False,True,0.4356317251961431
4,Associative latent class model,1.5,8124.024218738224,7874.883474938074,-249.14074380014972,True,True,0.34702768497088526
4,Renal-adjusted associative latent class model,1.5,6849.150604570405,6878.908625310505,29.75802074009971,False,True,0.49115558682541005
4,Biologically constrained latent SCM,1.5,6838.2264779433,6866.088183962925,27.861706019624762,False,True,0.49623578128267737
5,Associative latent class model,1.5,8153.7923363234395,7915.461058458166,-238.33127786527348,True,True,0.29599690264505435
5,Renal-adjusted associative latent class model,1.5,6876.641614765733,6908.7616907616675,32.12007599593471,False,True,0.4902493357371645
5,Biologically constrained latent SCM,1.5,6868.91240387422,6896.741626343661,27.829222469440538,False,True,0.35665688367945036
6,Associative latent class model,1.5,8168.1448263981565,7884.708263460944,-283.43656293721233,True,True,0.32263642622869726
6,Renal-adjusted associative latent class model,1.5,6855.573451211047,6885.31764413053,29.744192919483794,False,True,0.2974125231603081
6,Biologically constrained latent SCM,1.5,6845.4088386212925,6874.185943102569,28.777104481276183,False,True,0.33676138134098027
7,Associative latent class model,1.5,8154.409639693214,7868.337741795666,-286.0718978975474,True,True,0.30828305274768253
7,Renal-adjusted associative latent class model,1.5,6857.895080073406,6887.8965644113,30.001484337894,False,True,0.4920684802171897
7,Biologically constrained latent SCM,1.5,6847.546759009774,6873.937808042056,26.391049032281444,False,True,0.4050653604060804
8,Associative latent class model,1.5,8156.804083252136,7801.250459192031,-355.553624060105,True,True,0.2851212794773003
8,Renal-adjusted associative latent class model,1.5,6819.8729906748895,6839.801466650149,19.92847597525997,False,True,0.18104427807335582
8,Biologically constrained latent SCM,1.5,6811.4038992092765,6833.922548741233,22.518649531956726,False,True,0.46686398959582887
9,Associative latent class model,1.5,8204.035373853414,7924.225503419533,-279.80987043388086,True,True,0.31396691934646886
