repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,Pooled associative latent class model,True,28,0,-7947.008912775082,0.4590379043867045,1.888381872907137
0,Target-calibrated associative latent model,True,26,1,-7725.078718165443,0.4473075496422037,1.961501577373097
0,Modular causal latent SCM,True,26,1,-7730.256146311476,0.44728896116001676,1.950425156269255
1,Pooled associative latent class model,True,25,3,-8028.431128814037,0.46821041706781924,2.0405521246837566
1,Target-calibrated associative latent model,True,17,0,-7783.573125453822,0.48359275147509795,2.060268964921235
1,Modular causal latent SCM,True,17,3,-7786.866351026074,0.48456718446104735,2.051834515135681
2,Pooled associative latent class model,True,20,0,-8013.366347267063,0.48982829379275916,1.7915357987496634
2,Target-calibrated associative latent model,True,15,2,-7782.217507133871,0.49864481889455314,1.8186491459826777
2,Modular causal latent SCM,True,11,3,-7786.622655038808,0.4987289816051957,1.7858024626487183
3,Pooled associative latent class model,True,25,0,-8029.651490075179,0.45118531934858824,2.00459863526114
3,Target-calibrated associative latent model,True,25,1,-7780.807860448292,0.43841462730116126,2.140807593657075
3,Modular causal latent SCM,True,28,3,-7798.689914500379,0.4334759210421612,2.1144342563291234
4,Pooled associative latent class model,True,42,1,-7965.770861716992,0.4170331286741994,1.8536418760047577
4,Target-calibrated associative latent model,True,37,1,-7731.783415298399,0.43057789227583376,1.8821421158355132
4,Modular causal latent SCM,True,36,1,-7734.565165293295,0.43520841502379687,1.9051616502004998
5,Pooled associative latent class model,True,20,3,-8032.552624172805,0.49960102153935365,1.824194817162188
5,Target-calibrated associative latent model,True,19,1,-7790.127124812596,0.4843833509110004,1.848357785785554
5,Modular causal latent SCM,True,19,1,-7791.545721904925,0.48181359286228287,1.8620717366333874
6,Pooled associative latent class model,True,27,2,-8007.694745218987,0.476923973231029,1.8637780807748865
6,Target-calibrated associative latent model,True,23,2,-7771.987457291367,0.48051629121268735,1.9386524165740049
6,Modular causal latent SCM,True,24,3,-7774.990759810646,0.48443537476181076,1.9394945537931165
7,Pooled associative latent class model,True,25,1,-7946.5148199392,0.46980971122848963,1.8539671294824762
7,Target-calibrated associative latent model,True,23,1,-7706.217280397292,0.4581519739783184,1.8640167023979586
7,Modular causal latent SCM,True,22,1,-7708.897664668706,0.4603120423530196,1.8549194167993837
8,Pooled associative latent class model,True,21,3,-7997.970936717769,0.4905481281660981,1.895660508423307
8,Target-calibrated associative latent model,True,18,3,-7770.515511590631,0.4984155665181561,1.9920939075059874
8,Modular causal latent SCM,True,18,3,-7774.991698149199,0.4981746638199886,1.9990341594233132
9,Pooled associative latent class model,True,26,2,-8032.536077837818,0.46446771696391825,1.944622531175062
9,Target-calibrated associative latent model,True,24,1,-7826.337150317655,0.4802270372372536,2.0616363424695567
9,Modular causal latent SCM,True,25,3,-7830.815168833148,0.47627908975194105,2.0523783840109937
10,Pooled associative latent class model,True,15,0,-7933.059948991092,0.4983929345098759,2.167402345493383
10,Target-calibrated associative latent model,True,19,2,-7709.468055657703,0.4956494470041815,2.191671579132893
10,Modular causal latent SCM,True,19,1,-7715.620003875369,0.4904415171256159,2.1616459119224807
11,Pooled associative latent class model,True,16,3,-8097.191189984847,0.4968891959111438,1.8324393217718473
11,Target-calibrated associative latent model,True,22,2,-7852.538557262614,0.49679950311409976,1.9689208168924974
11,Modular causal latent SCM,True,21,3,-7852.0253985137115,0.49719491893347945,1.970276353574563
12,Pooled associative latent class model,True,24,1,-8058.724878390978,0.488137666210829,2.0334768634186924
12,Target-calibrated associative latent model,True,24,1,-7849.160349245421,0.4931247581796194,2.0179532784196796
12,Modular causal latent SCM,True,11,2,-7850.852112418661,0.49812302845473105,2.0481610277656737
13,Pooled associative latent class model,True,19,1,-7912.412983089688,0.4925179690721414,2.2053349438785297
