repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
0,0,Exact no shift,Pooled associative latent class model,0.792,0.34039195891748825,0.35714285714285715,0.14274116430306516,0.021911598316509136,0.42518930265922494,0.537,126,0.8016726403823178,0.7423312883435583,0.8679245283018868,0.057666666666666665,0.0
0,0,Exact no shift,Target-calibrated associative latent model,0.804,0.36900909207333504,0.1746031746031746,0.14549201558905545,0.059379953703453496,0.4040327047432695,0.581,126,0.8040621266427718,0.803680981595092,0.8867924528301887,0.057666666666666665,0.0
0,0,Exact no shift,Frozen causal latent SCM,0.809,0.3812976651450502,0.19047619047619047,0.13865324813601307,0.030581680456142284,0.4085912976580565,0.548,126,0.8160095579450418,0.7730061349693251,0.8679245283018868,0.057666666666666665,0.0
0,0,Exact no shift,Modular causal latent SCM,0.807,0.37635387297212675,0.23809523809523808,0.14096581522234397,0.04201743290766134,0.40623876548684873,0.572,126,0.8112305854241338,0.7852760736196319,0.8679245283018868,0.057666666666666665,0.0
0,0,Exact no shift,Target oracle (reference),0.793,0.342739473710695,0.1349206349206349,0.13937777090686415,0.0341469655949963,0.4132949468191822,0.492,126,0.8040621266427718,0.7361963190184049,0.8113207547169812,0.057666666666666665,0.0
1,0,Exact no shift,Pooled associative latent class model,0.798,0.35457029636022974,0.3288590604026846,0.1376000565811862,0.02900761809486858,0.42225670809101323,0.512,149,0.8058823529411765,0.7533333333333333,0.7380952380952381,0.051333333333333335,0.0
1,0,Exact no shift,Target-calibrated associative latent model,0.804,0.36903438347512363,0.31543624161073824,0.12823729553629576,0.03685292427444365,0.39659539065416866,0.528,149,0.8094117647058824,0.7733333333333333,0.7857142857142857,0.051333333333333335,0.0
1,0,Exact no shift,Frozen causal latent SCM,0.819,0.4064499722803661,0.18120805369127516,0.12440900572413884,0.020298231647440587,0.39858304528421495,0.493,149,0.8235294117647058,0.7933333333333333,0.8095238095238095,0.051333333333333335,0.0
1,0,Exact no shift,Modular causal latent SCM,0.814,0.393777325844694,0.2214765100671141,0.1251016481775142,0.02836572319100752,0.3983673855869848,0.508,149,0.8188235294117647,0.7866666666666666,0.7857142857142857,0.051333333333333335,0.0
1,0,Exact no shift,Target oracle (reference),0.824,0.4193227787207837,0.18791946308724833,0.12494344915551271,0.029508743418016188,0.39713057013993786,0.496,149,0.8305882352941176,0.7866666666666666,0.7857142857142857,0.051333333333333335,0.0
2,0,Exact no shift,Pooled associative latent class model,0.832,0.44033087371093044,0.3014705882352941,0.12306305548118075,0.04136818587612105,0.4045899824249967,0.527,136,0.8343057176196033,0.8181818181818182,0.8571428571428571,0.052,0.001
2,0,Exact no shift,Target-calibrated associative latent model,0.831,0.43768436289010365,0.125,0.12208069381460863,0.04234717069934458,0.38089105722870714,0.504,136,0.8331388564760793,0.8181818181818182,0.8095238095238095,0.052,0.001
2,0,Exact no shift,Frozen causal latent SCM,0.833,0.4429972965146861,0.13970588235294118,0.1204028035649042,0.035322977171914446,0.37655918006104083,0.52,136,0.8343057176196033,0.8251748251748252,0.8333333333333334,0.052,0.001
2,0,Exact no shift,Modular causal latent SCM,0.834,0.44566651822366293,0.13970588235294118,0.12031380937182187,0.02695023680966838,0.37516321305958733,0.523,136,0.8354725787631272,0.8251748251748252,0.8333333333333334,0.052,0.001
2,0,Exact no shift,Target oracle (reference),0.833,0.44299416391635804,0.14705882352941177,0.11709523012767725,0.02883403742501679,0.3876255791133351,0.526,136,0.838973162193699,0.7972027972027972,0.7619047619047619,0.052,0.001
3,0,Exact no shift,Pooled associative latent class model,0.783,0.3196844813219066,0.24822695035460993,0.1442634942299108,0.0545605514080162,0.40108924632770343,0.44,141,0.792814371257485,0.7333333333333333,0.7142857142857143,0.058666666666666666,0.001
3,0,Exact no shift,Target-calibrated associative latent model,0.791,0.33807946825711815,0.09219858156028368,0.14141647049222175,0.07518710855570213,0.37921512984242656,0.416,141,0.8047904191616766,0.7212121212121212,0.7346938775510204,0.058666666666666666,0.001
3,0,Exact no shift,Frozen causal latent SCM,0.789,0.33343582136685707,0.09219858156028368,0.1411453705322536,0.0742063173867073,0.3823596906960576,0.414,141,0.8047904191616766,0.7090909090909091,0.6938775510204082,0.058666666666666666,0.001
3,0,Exact no shift,Modular causal latent SCM,0.792,0.34041780077165945,0.05673758865248227,0.14371982930644053,0.08313676542539263,0.3806623408374279,0.407,141,0.807185628742515,0.7151515151515152,0.7346938775510204,0.058666666666666666,0.001
3,0,Exact no shift,Target oracle (reference),0.802,0.3641819268407571,0.14184397163120568,0.13366573007997073,0.03180618488747511,0.4065846080427636,0.469,141,0.8167664670658683,0.7272727272727273,0.7551020408163265,0.058666666666666666,0.001
4,0,Exact no shift,Pooled associative latent class model,0.768,0.2865964204136306,0.18055555555555555,0.15257256937385977,0.09870555612482093,0.4295816035598419,0.392,144,0.7670126874279123,0.7744360902255639,0.7560975609756098,0.04666666666666667,0.0
4,0,Exact no shift,Target-calibrated associative latent model,0.805,0.3714785626371949,0.0625,0.1415056217628638,0.08561965796634034,0.41404176435948975,0.417,144,0.8108419838523645,0.7669172932330827,0.7560975609756098,0.04666666666666667,0.0
4,0,Exact no shift,Frozen causal latent SCM,0.808,0.37884099318079967,0.06944444444444445,0.14031429968633286,0.07957534222526051,0.4149801358056696,0.422,144,0.8131487889273357,0.7744360902255639,0.7804878048780488,0.04666666666666667,0.0
4,0,Exact no shift,Modular causal latent SCM,0.801,0.3617748753037188,0.0625,0.1429559514818373,0.09110444485547037,0.4131940734062216,0.407,144,0.8073817762399077,0.7593984962406015,0.7317073170731707,0.04666666666666667,0.0
4,0,Exact no shift,Target oracle (reference),0.814,0.3937777839590514,0.14583333333333334,0.13231548442448668,0.0367338111970999,0.4026138161343017,0.484,144,0.817762399077278,0.7894736842105263,0.7804878048780488,0.04666666666666667,0.0
5,0,Exact no shift,Pooled associative latent class model,0.791,0.3380617930421545,0.32653061224489793,0.14478808921475894,0.02443157311836428,0.43140205459638264,0.49,147,0.8016726403823178,0.7361963190184049,0.76,0.057666666666666665,0.001
