repeat,strength_index,renal_effect_sd,method,metric,value,denominator
0,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.81,1000
0,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.16489361702127658,188
0,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.811,1000
0,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.11702127659574468,188
0,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.811,1000
0,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.11702127659574468,188
1,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.83,1000
1,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.12154696132596685,181
1,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.825,1000
1,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.09392265193370165,181
1,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.825,1000
1,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.09392265193370165,181
2,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.836,1000
2,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.15469613259668508,181
2,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.833,1000
2,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.09944751381215469,181
2,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.833,1000
2,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.09944751381215469,181
3,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.809,1000
3,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.19760479041916168,167
3,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.802,1000
3,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1497005988023952,167
3,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.802,1000
3,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1497005988023952,167
4,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.81,1000
4,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.14035087719298245,171
4,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.816,1000
4,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1111111111111111,171
4,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.816,1000
4,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1111111111111111,171
5,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.831,1000
5,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.12105263157894737,190
5,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.821,1000
5,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1,190
5,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.821,1000
5,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1,190
6,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.814,1000
6,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1952662721893491,169
6,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.821,1000
6,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.15384615384615385,169
6,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.821,1000
6,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.15384615384615385,169
7,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.793,1000
7,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.19689119170984457,193
7,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.791,1000
7,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.16580310880829016,193
7,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.791,1000
7,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.16580310880829016,193
8,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.82,1000
8,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.15384615384615385,195
8,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.816,1000
8,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.13333333333333333,195
8,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.816,1000
8,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.13333333333333333,195
9,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.826,1000
9,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.15606936416184972,173
9,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.827,1000
9,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.12716763005780346,173
9,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.827,1000
9,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.12716763005780346,173
10,0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.806,1000
10,0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.17894736842105263,190
10,0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.804,1000
10,0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.15789473684210525,190
10,0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.804,1000
10,0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.15789473684210525,190
