shift_index,shift,method,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
1,Kidney only,Frozen causal latent SCM,ablation minus no-shift accuracy,500,-0.017149999999999964,-0.01816793436289264,-0.016132065637107288
1,Kidney only,Modular causal latent SCM,ablation minus no-shift accuracy,500,-0.0002959999999999987,-0.0008089754036318302,0.00021697540363183277
1,Kidney only,Pooled associative latent class model,ablation minus no-shift accuracy,500,-0.039040000000000005,-0.040623068739136826,-0.037456931260863184
1,Kidney only,Target oracle (reference),ablation minus no-shift accuracy,500,0.0005379999999999978,0.00033928463194461163,0.0007367153680553839
1,Kidney only,Target-calibrated associative latent model,ablation minus no-shift accuracy,500,-0.001322,-0.0021935566958644764,-0.00045044330413552354
2,Inflammation only,Frozen causal latent SCM,ablation minus no-shift accuracy,500,0.00025999999999999846,-6.804852576582478e-07,0.0005206804852576552
2,Inflammation only,Modular causal latent SCM,ablation minus no-shift accuracy,500,0.00012400000000000144,-0.00034439296132729994,0.0005923929613273029
2,Inflammation only,Pooled associative latent class model,ablation minus no-shift accuracy,500,-0.003455999999999995,-0.004355931285691134,-0.0025560687143088554
2,Inflammation only,Target oracle (reference),ablation minus no-shift accuracy,500,0.0002759999999999991,0.00013418425740477303,0.0004178157425952252
2,Inflammation only,Target-calibrated associative latent model,ablation minus no-shift accuracy,500,-0.0006099999999999979,-0.0014507619633437182,0.0002307619633437225
3,Assay only,Frozen causal latent SCM,ablation minus no-shift accuracy,500,0.0,0.0,0.0
3,Assay only,Modular causal latent SCM,ablation minus no-shift accuracy,500,0.0,0.0,0.0
3,Assay only,Pooled associative latent class model,ablation minus no-shift accuracy,500,0.0,0.0,0.0
3,Assay only,Target oracle (reference),ablation minus no-shift accuracy,500,0.0,0.0,0.0
3,Assay only,Target-calibrated associative latent model,ablation minus no-shift accuracy,500,0.0,0.0,0.0
4,Missingness only,Frozen causal latent SCM,ablation minus no-shift accuracy,500,-0.043177999999999966,-0.044043803919655185,-0.04231219608034475
4,Missingness only,Modular causal latent SCM,ablation minus no-shift accuracy,500,-0.04349399999999997,-0.044378716285493135,-0.042609283714506806
4,Missingness only,Pooled associative latent class model,ablation minus no-shift accuracy,500,-0.042596000000000016,-0.043485263710772645,-0.041706736289227386
4,Missingness only,Target oracle (reference),ablation minus no-shift accuracy,500,-0.04368199999999996,-0.04453023202874111,-0.042833767971258804
4,Missingness only,Target-calibrated associative latent model,ablation minus no-shift accuracy,500,-0.043377999999999986,-0.04429861220623614,-0.04245738779376383
5,Combined strong,Frozen causal latent SCM,ablation minus no-shift accuracy,500,-0.05416199999999999,-0.05534073183369499,-0.052983268166304984
5,Combined strong,Modular causal latent SCM,ablation minus no-shift accuracy,500,-0.039165999999999965,-0.04013926846333502,-0.03819273153666491
5,Combined strong,Pooled associative latent class model,ablation minus no-shift accuracy,500,-0.06860200000000004,-0.07012013625078047,-0.06708386374921961
5,Combined strong,Target oracle (reference),ablation minus no-shift accuracy,500,-0.03827399999999996,-0.03908703801214123,-0.03746096198785869
5,Combined strong,Target-calibrated associative latent model,ablation minus no-shift accuracy,500,-0.04082999999999998,-0.04207873060687393,-0.03958126939312603
