repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,Pooled associative latent class model,True,27,0,-7973.6666838244755,0.4604936242160642,1.8402905867637425
0,Target-calibrated associative latent model,True,25,1,-7760.943239869412,0.4527651914936486,1.9480216689722591
0,Modular causal latent SCM,True,25,1,-7766.389202713353,0.4523482957867796,1.929981277056565
1,Pooled associative latent class model,True,26,3,-8035.815824270678,0.4588626857940534,2.0462001184008947
1,Target-calibrated associative latent model,True,22,2,-7782.635994770202,0.4796042296620764,2.0628248844934975
1,Modular causal latent SCM,True,17,3,-7786.169622877675,0.4810491040908235,2.056499506542633
2,Pooled associative latent class model,True,20,0,-7997.74503139704,0.4870420787485685,1.847837247159367
2,Target-calibrated associative latent model,True,20,0,-7773.467763390875,0.4996860131413701,1.8368951055489924
2,Modular causal latent SCM,True,11,3,-7778.11087485978,0.4976880328190075,1.8034575374450745
3,Pooled associative latent class model,True,23,0,-8015.793345193438,0.45949733966883805,2.004224329496494
3,Target-calibrated associative latent model,True,25,2,-7791.994412188802,0.43498585052264743,2.156269121979296
3,Modular causal latent SCM,True,27,1,-7806.460487353796,0.43031396616730944,2.1145506214989425
4,Pooled associative latent class model,True,42,2,-7956.202581615335,0.4233104429687501,1.8507734621303589
4,Target-calibrated associative latent model,True,33,2,-7735.636715034174,0.43719088546323587,1.8821239266610412
4,Modular causal latent SCM,True,32,0,-7741.300614214672,0.4391079839608035,1.8963190696619103
5,Pooled associative latent class model,True,20,3,-8039.344533738229,0.49344153436330895,1.8707980263847819
5,Target-calibrated associative latent model,True,19,1,-7812.737036669525,0.48094557469466387,1.8580561381424046
5,Modular causal latent SCM,True,19,1,-7809.412241498278,0.48045641975027115,1.8748089615291093
6,Pooled associative latent class model,True,24,2,-8018.058152282467,0.4828343923780687,1.8874783898133525
6,Target-calibrated associative latent model,True,14,3,-7788.956889045801,0.48881677553645886,1.9557870200543115
6,Modular causal latent SCM,True,23,3,-7791.72611852593,0.4855762467411274,1.9712844334018713
7,Pooled associative latent class model,True,27,1,-7924.772231772216,0.4496165485679565,1.8759284068099586
7,Target-calibrated associative latent model,True,23,1,-7700.148780990046,0.45435686833204414,1.8814808343011917
7,Modular causal latent SCM,True,23,1,-7702.714412547682,0.45491505986962866,1.8767973664706323
8,Pooled associative latent class model,True,24,1,-7986.562199266955,0.4827624814039807,1.8932036499766154
8,Target-calibrated associative latent model,True,17,3,-7783.69259791904,0.4922445879601504,1.9974028357932294
8,Modular causal latent SCM,True,18,3,-7787.090339410893,0.4943728838039285,2.0038438363670976
9,Pooled associative latent class model,True,21,2,-8001.591367884623,0.47647483931372986,1.9066792225095108
9,Target-calibrated associative latent model,True,13,2,-7808.955454530483,0.4832650568430328,2.0455116013873456
9,Modular causal latent SCM,True,17,0,-7812.389128920195,0.4828286298258628,2.0396312228798497
10,Pooled associative latent class model,True,15,0,-7926.237173257405,0.49606407893219623,2.188841419057444
10,Target-calibrated associative latent model,True,19,1,-7717.190079948122,0.4873114180724052,2.168809136690448
10,Modular causal latent SCM,True,19,1,-7721.03370463065,0.48700896251703235,2.167602927325489
11,Pooled associative latent class model,True,15,3,-8095.691101286898,0.49514227322623344,1.8153220123398128
11,Target-calibrated associative latent model,True,22,2,-7860.517744569154,0.4970129095817283,1.9416328190339052
11,Modular causal latent SCM,True,22,3,-7859.907195131432,0.4969223482042403,1.943430467605415
12,Pooled associative latent class model,True,21,2,-8065.758173345405,0.49796979868226576,2.1086271036740114
12,Target-calibrated associative latent model,True,23,1,-7859.539575185265,0.4878458636790075,2.0546370341396334
12,Modular causal latent SCM,True,17,0,-7863.889886740395,0.49319278249971227,2.101108424641804
13,Pooled associative latent class model,True,13,0,-7905.441824184272,0.49917891891910154,2.240776713555132
13,Target-calibrated associative latent model,True,14,0,-7655.87283831592,0.49574308098121467,2.319978745223909
13,Modular causal latent SCM,True,15,2,-7663.991290237688,0.4969772528788757,2.3211831028844925
14,Pooled associative latent class model,True,24,1,-8034.859514165596,0.47200925503210134,1.913048967619202
14,Target-calibrated associative latent model,True,23,2,-7815.084229923952,0.4999126833982656,2.0231951940097357
14,Modular causal latent SCM,True,20,3,-7817.603575228486,0.49710165059491485,2.0272725871665864
15,Pooled associative latent class model,True,25,2,-7949.8582602756815,0.494826730996548,1.8359058239285562
15,Target-calibrated associative latent model,True,28,2,-7722.03093692962,0.49724498074937623,1.9011663630589517
15,Modular causal latent SCM,True,19,2,-7724.911453713888,0.4989094203355883,1.8591361562268514
16,Pooled associative latent class model,True,17,0,-8074.421488276248,0.48623638285226334,1.942439769340608
16,Target-calibrated associative latent model,True,18,0,-7825.0785109493845,0.4899846508561641,2.0697096063083067
16,Modular causal latent SCM,True,18,0,-7831.919426525412,0.491681521822086,2.0665857920899957
17,Pooled associative latent class model,True,22,0,-8050.0613204380215,0.4852120368856253,1.9465167286188474
17,Target-calibrated associative latent model,True,22,2,-7857.805988622364,0.48059889490163643,2.096686291270972
17,Modular causal latent SCM,True,19,1,-7864.29507670475,0.488112949802506,2.0796759124904036
18,Pooled associative latent class model,True,38,2,-7982.10261533696,0.42674018715644807,2.1760416564808556
18,Target-calibrated associative latent model,True,36,3,-7782.311342361681,0.42167831148372087,2.1748268100804617
18,Modular causal latent SCM,True,39,2,-7789.998453684627,0.41438910762265835,2.1719587908032
19,Pooled associative latent class model,True,20,0,-7975.745665458161,0.4919547622275109,2.038074796873385
19,Target-calibrated associative latent model,True,24,2,-7757.419578247759,0.4882740737946579,2.117385813064331
19,Modular causal latent SCM,True,20,0,-7761.3851923936945,0.49028589353342417,2.111659432626819
20,Pooled associative latent class model,True,23,1,-7975.763000486597,0.4823156071691281,2.122305444130825
20,Target-calibrated associative latent model,True,15,0,-7752.464858016531,0.49149325411372197,2.169240909367387
20,Modular causal latent SCM,True,15,0,-7757.515547005698,0.49149546072575523,2.160941163417946
21,Pooled associative latent class model,True,22,3,-8044.215134998759,0.4961928344182099,1.6776033816239821
21,Target-calibrated associative latent model,True,23,3,-7817.579018683686,0.48807355845675443,1.8403906399081573
21,Modular causal latent SCM,True,21,3,-7820.324419140283,0.48928885883550266,1.8326932329266548
22,Pooled associative latent class model,True,32,1,-7954.643654355353,0.4608849690079637,1.9106545109428743
22,Target-calibrated associative latent model,True,24,3,-7732.214399108629,0.4759177907443332,2.064422653110552
22,Modular causal latent SCM,True,30,1,-7737.6370647437625,0.47256259403884754,2.0512126583468397
23,Pooled associative latent class model,True,20,0,-7910.403877081819,0.4721211128873191,2.108436691293135
23,Target-calibrated associative latent model,True,18,0,-7674.875273200598,0.4816070804404166,2.1639717033256725
23,Modular causal latent SCM,True,19,3,-7678.4032327013465,0.47760658083912,2.1695529905209554
24,Pooled associative latent class model,True,27,2,-7949.554705429242,0.45966787000700393,2.098444645400831
24,Target-calibrated associative latent model,True,32,1,-7756.717423672666,0.46439764351515517,2.1080574331631765
24,Modular causal latent SCM,True,32,1,-7761.908130017933,0.4644232975448387,2.100210820386719
25,Pooled associative latent class model,True,24,1,-7993.761544873729,0.468581127590813,1.7817793275588147
25,Target-calibrated associative latent model,True,19,1,-7741.634424499647,0.47986843707527405,1.8230575510887332
25,Modular causal latent SCM,True,20,1,-7747.569309881652,0.47902323196561675,1.8292359622325398
26,Pooled associative latent class model,True,23,1,-7977.349132444879,0.4828777653827669,2.027401543647949
26,Target-calibrated associative latent model,True,21,3,-7778.630939014343,0.4985666661501165,2.092826579190735
26,Modular causal latent SCM,True,16,0,-7779.695475871411,0.49770550337459396,2.123465313622161
27,Pooled associative latent class model,True,21,1,-8092.651323719525,0.48938136084461376,2.084245753389871
27,Target-calibrated associative latent model,True,20,1,-7838.842062633564,0.4734157578336717,2.107071642905079
27,Modular causal latent SCM,True,20,1,-7840.428021596502,0.4735961490982974,2.1122967632303293
28,Pooled associative latent class model,True,21,0,-7931.707709920974,0.4996004761995024,1.8289934293257888
28,Target-calibrated associative latent model,True,23,0,-7704.025516799989,0.4788819518014784,1.8959267490340346
28,Modular causal latent SCM,True,27,2,-7711.145865908718,0.48132042326517155,1.8946128099171187
29,Pooled associative latent class model,True,14,0,-7961.872758298358,0.49414816343818946,2.1267955393996965
29,Target-calibrated associative latent model,True,15,0,-7735.30690730821,0.4919397624231374,2.1862906847311265
29,Modular causal latent SCM,True,15,0,-7737.209971160548,0.4914886390082832,2.1940771965679957
30,Pooled associative latent class model,True,33,2,-8035.829696676051,0.4401539110331943,2.006042590454006
30,Target-calibrated associative latent model,True,26,2,-7791.993727499456,0.45293549687004503,2.0978274450826064
30,Modular causal latent SCM,True,26,0,-7798.811467348925,0.44892167902737207,2.0940329617429314
31,Pooled associative latent class model,True,23,3,-8080.55888653045,0.4746486722040784,1.9109877257117216
31,Target-calibrated associative latent model,True,20,0,-7855.0479516980995,0.49691002328359135,1.9103098351057746
31,Modular causal latent SCM,True,13,3,-7860.490936505084,0.49988730792001823,1.8897111951170622
32,Pooled associative latent class model,True,19,0,-8108.825066147054,0.4862711662783301,1.94953740655418
32,Target-calibrated associative latent model,True,19,1,-7842.021066053919,0.49449008021543556,2.0041047873926088
32,Modular causal latent SCM,True,19,3,-7850.415809523267,0.4933580105302434,1.9895364880265567
33,Pooled associative latent class model,True,19,1,-8071.543187643012,0.4959025902120128,1.7460813818716332
33,Target-calibrated associative latent model,True,19,1,-7843.74391364656,0.4758941012694115,1.768152478374935
33,Modular causal latent SCM,True,19,1,-7847.471232061047,0.4744513407598567,1.773011988470984
34,Pooled associative latent class model,True,23,3,-7981.879318344356,0.4761462260195897,1.8916307533458778
34,Target-calibrated associative latent model,True,24,1,-7768.313291577935,0.465710486916877,1.93487771735792
34,Modular causal latent SCM,True,22,0,-7777.312332827367,0.46559414136690824,1.9480822212860058
35,Pooled associative latent class model,True,23,1,-8006.188543437425,0.4680375570874137,1.969139653669571
35,Target-calibrated associative latent model,True,23,0,-7798.57574352445,0.45990074565250844,2.007634457428303
35,Modular causal latent SCM,True,25,1,-7797.713782700599,0.46221756594181224,1.9927544159994217
36,Pooled associative latent class model,True,32,3,-8076.591179810101,0.4416257170487986,2.133911002631418
36,Target-calibrated associative latent model,True,21,2,-7823.283954441103,0.4767697389308637,2.1489746723396617
36,Modular causal latent SCM,True,22,2,-7828.035856764036,0.47263260829264797,2.1569694022606454
37,Pooled associative latent class model,True,23,0,-7969.599138487127,0.4675012018033419,1.9422631432091122
37,Target-calibrated associative latent model,True,22,2,-7737.570866101365,0.46500088717520605,1.9588169361706245
37,Modular causal latent SCM,True,21,2,-7744.411781585724,0.4647023675105257,1.9662802882944082
38,Pooled associative latent class model,True,23,2,-8011.63081129441,0.4799714141366299,1.9994479549563446
38,Target-calibrated associative latent model,True,21,3,-7751.797511036731,0.4996474172181253,2.1119912335721374
38,Modular causal latent SCM,True,21,2,-7757.428858797175,0.4944670970628275,2.090635383461558
39,Pooled associative latent class model,True,14,0,-7947.651288865928,0.4931093716991783,2.0588662031182587
39,Target-calibrated associative latent model,True,29,3,-7740.378067428821,0.49209067784808846,2.1254916671702757
39,Modular causal latent SCM,True,25,2,-7743.495121508184,0.4898450101365754,2.1249879210695553
40,Pooled associative latent class model,True,20,2,-7954.72571522735,0.49376720281553804,2.091843604352574
40,Target-calibrated associative latent model,True,16,2,-7753.825535253911,0.49382124449861814,2.194392479846553
40,Modular causal latent SCM,True,13,2,-7762.400885620182,0.4961179853508303,2.1713719221778205
41,Pooled associative latent class model,True,25,1,-7956.363231132984,0.4762800912471602,1.886813772495278
41,Target-calibrated associative latent model,True,22,1,-7751.812724740849,0.4887504961346255,1.95154840033627
41,Modular causal latent SCM,True,21,1,-7755.57425814389,0.4896265876941496,1.9545494992807455
42,Pooled associative latent class model,True,23,1,-7934.631807226066,0.4896747380354335,2.212889294742816
42,Target-calibrated associative latent model,True,21,2,-7712.320019696146,0.49861383706099976,2.2961172730369315
42,Modular causal latent SCM,True,21,2,-7714.5009918239975,0.49866205975869243,2.2969139912282435
43,Pooled associative latent class model,True,23,1,-8058.777149763775,0.4679099764329317,1.9389032961165942
43,Target-calibrated associative latent model,True,23,1,-7813.162313666798,0.4710516086898388,1.9909731854184622
43,Modular causal latent SCM,True,23,1,-7817.497691409507,0.469666968865999,1.9707243630537148
44,Pooled associative latent class model,True,23,1,-7968.8172831031,0.46607533897279774,2.1072959303083842
44,Target-calibrated associative latent model,True,26,1,-7737.9465200789045,0.4594512105145188,2.0657081061149842
44,Modular causal latent SCM,True,26,1,-7735.309454068183,0.4565615550078869,2.0713678704229257
45,Pooled associative latent class model,True,17,0,-8007.150268444231,0.47486533726818936,2.0854396545353566
45,Target-calibrated associative latent model,True,22,3,-7751.877015854477,0.4773143549868522,2.1280186851460274
45,Modular causal latent SCM,True,18,0,-7757.286544157319,0.4820343623906199,2.134404808223449
46,Pooled associative latent class model,True,20,0,-7994.81414982435,0.47268399715502224,2.264941984158718
46,Target-calibrated associative latent model,True,20,2,-7751.724188390237,0.47124883158172975,2.2698192836739723
46,Modular causal latent SCM,True,18,0,-7757.00830218748,0.4731309562967147,2.283117490609973
