repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
0,0,Exact no shift,0.9736946536895105,1.0,1.1993561943465638,0.8,0.22851125494595956,0.057666666666666665,0.0
1,0,Exact no shift,0.8920502700872784,1.0,0.9773679066754843,0.8,0.18423368336150775,0.051333333333333335,0.0
2,0,Exact no shift,0.9743406671497149,1.0,1.1292901699878142,0.8,0.19138141855318572,0.052,0.001
3,0,Exact no shift,1.3144320822055542,1.0,0.9589004298530388,0.8,0.21264119284891966,0.058666666666666666,0.001
4,0,Exact no shift,1.0024336130799694,1.0,0.6567614314377829,0.8,0.1260308440014886,0.04666666666666667,0.0
5,0,Exact no shift,1.4259030206833239,1.0,1.18267781350337,0.8,0.25385204924618915,0.057666666666666665,0.001
6,0,Exact no shift,1.116413809091717,1.0,1.2634679925238774,0.8,0.33925750695064305,0.055,0.0
7,0,Exact no shift,0.9603101931854511,1.0,0.933535271114898,0.8,0.25863944785479115,0.057,0.0
8,0,Exact no shift,1.1829476724896453,1.0,1.0053431008692497,0.8,0.26107622717433543,0.060333333333333336,0.0
9,0,Exact no shift,1.0880302614458743,1.0,0.633800253555374,0.8,0.12305950268053671,0.051333333333333335,0.0
10,0,Exact no shift,1.0268005594155738,1.0,0.6130005509002967,0.8,0.1312480957761301,0.059333333333333335,0.0
11,0,Exact no shift,1.016343438647049,1.0,0.6081479585850714,0.8,0.196569722332959,0.050333333333333334,0.0
12,0,Exact no shift,1.1319660587696523,1.0,0.924572596762917,0.8,0.3244133467897087,0.052333333333333336,0.001
13,0,Exact no shift,0.8813567528894942,1.0,0.7080672135084926,0.8,0.07106504816844285,0.05733333333333333,0.001
14,0,Exact no shift,0.9730138085282933,1.0,0.20740251326225734,0.8,0.1994452087422792,0.062,0.001
15,0,Exact no shift,1.3035972053151745,1.0,0.7530047162723426,0.8,0.3432606700808695,0.052333333333333336,0.0
16,0,Exact no shift,0.9323139108895064,1.0,0.9724224938770984,0.8,0.2513698726352601,0.058333333333333334,0.0
17,0,Exact no shift,0.9710069965041308,1.0,0.9276368325539365,0.8,0.19155571763094734,0.050666666666666665,0.0
18,0,Exact no shift,1.2542364467814782,1.0,0.36952068249490144,0.8,0.082790696687075,0.04933333333333333,0.0
19,0,Exact no shift,1.2647643201558059,1.0,0.5285834020813828,0.8,0.27590590897247486,0.055,0.0
20,0,Exact no shift,0.9304547661607915,1.0,0.6062330746525391,0.8,0.1556734545383109,0.063,0.0
21,0,Exact no shift,0.9214161118252381,1.0,0.8307515854808344,0.8,0.2131772408511132,0.051666666666666666,0.0
22,0,Exact no shift,1.0152778733760552,1.0,0.48487398525789527,0.8,0.23045770346406455,0.053,0.001
23,0,Exact no shift,0.820312964619121,1.0,0.5123581786403829,0.8,0.19750868032635008,0.059666666666666666,0.001
24,0,Exact no shift,0.9630121798815626,1.0,0.47229520388837787,0.8,0.158573971229163,0.05333333333333334,0.0
25,0,Exact no shift,1.2502588702369737,1.0,0.5753533388968162,0.8,0.27929273154705814,0.057666666666666665,0.002
26,0,Exact no shift,0.6832261576189039,1.0,1.0493554291942497,0.8,0.19757328407747873,0.051,0.0
27,0,Exact no shift,1.1585024103490191,1.0,0.7623393976466711,0.8,0.11485533101736506,0.056666666666666664,0.0
28,0,Exact no shift,1.2792098970065842,1.0,1.1157898850282886,0.8,0.3472057514412964,0.055,0.001
29,0,Exact no shift,1.023238469438002,1.0,0.5903280037497308,0.8,0.24181049766879137,0.05566666666666667,0.001
30,0,Exact no shift,1.1219234212483664,1.0,0.7592071593408243,0.8,0.21849375588861916,0.057,0.0
31,0,Exact no shift,1.1437791444415872,1.0,1.1883309999545264,0.8,0.20479491269900973,0.05533333333333333,0.0
32,0,Exact no shift,1.3428300342672144,1.0,0.6449560349093638,0.8,0.25397861028355107,0.05433333333333333,0.0
33,0,Exact no shift,0.4791278158674638,1.0,1.040292886094555,0.8,0.28919752428243056,0.057,0.0
34,0,Exact no shift,1.0220935511655742,1.0,1.0797016237679868,0.8,0.17946258129473397,0.050333333333333334,0.0
35,0,Exact no shift,0.8829815371226774,1.0,0.4296379146706847,0.8,0.2151548240848023,0.05566666666666667,0.0
36,0,Exact no shift,1.2844038418625467,1.0,0.7820740306536063,0.8,0.14419326812066677,0.050333333333333334,0.0
37,0,Exact no shift,0.961903509501201,1.0,0.9114254753072617,0.8,0.23761052039664932,0.06233333333333333,0.0
38,0,Exact no shift,0.9507770509563801,1.0,1.097425592166677,0.8,0.043572311764199574,0.051333333333333335,0.0
39,0,Exact no shift,1.091745609412981,1.0,0.6178828560395796,0.8,0.17872716307897135,0.05,0.0
40,0,Exact no shift,0.8971883805025318,1.0,0.7154191179173891,0.8,0.2110198008417578,0.05,0.0
41,0,Exact no shift,1.0204939121132426,1.0,0.9600334402193301,0.8,0.16548366687662464,0.059333333333333335,0.0
42,0,Exact no shift,0.9094327982743304,1.0,0.8010941589032301,0.8,0.14828441053519767,0.06066666666666667,0.0
43,0,Exact no shift,0.7914430736464878,1.0,1.0051052308163548,0.8,0.1500627653976006,0.053,0.0
44,0,Exact no shift,1.2130247199256865,1.0,0.4751185071310803,0.8,0.08076488708341932,0.055,0.0
45,0,Exact no shift,1.3454085117026924,1.0,0.8009061187802836,0.8,0.2040677274285154,0.055,0.0
46,0,Exact no shift,0.9769142591952623,1.0,0.7052270924230666,0.8,0.25808932196629364,0.050333333333333334,0.0
47,0,Exact no shift,1.2165118136546598,1.0,0.9191063898213744,0.8,0.21610404523392798,0.05333333333333334,0.0
48,0,Exact no shift,1.0650707457652124,1.0,0.8138919750721392,0.8,0.18797925618173433,0.055,0.0
49,0,Exact no shift,0.8756946534326896,1.0,0.7649740409695978,0.8,0.11303701161772123,0.06,0.001
50,0,Exact no shift,1.2356475448922293,1.0,1.144706305938394,0.8,0.10550079189054501,0.05433333333333333,0.0
51,0,Exact no shift,0.85682027595759,1.0,1.0261725076525159,0.8,0.16449435190910702,0.05466666666666667,0.0
52,0,Exact no shift,0.7784532532167033,1.0,0.9791720267834815,0.8,0.280475924654227,0.052333333333333336,0.0
53,0,Exact no shift,1.0582911277781153,1.0,0.6037918014580393,0.8,0.2668509751608861,0.061,0.001
54,0,Exact no shift,1.2061426607329757,1.0,0.5444455073287247,0.8,0.1920693479109535,0.058,0.001
55,0,Exact no shift,0.9373112711315789,1.0,0.869543380427699,0.8,0.18886002865541998,0.05333333333333334,0.0
56,0,Exact no shift,0.9397893151865002,1.0,0.6830494046288129,0.8,0.21093173677410745,0.049,0.0
57,0,Exact no shift,0.5866792494091607,1.0,0.6091830521970567,0.8,0.2546995085028842,0.06133333333333333,0.0
58,0,Exact no shift,0.7579295337542805,1.0,0.6934961146082053,0.8,0.27281590543572587,0.058666666666666666,0.0
59,0,Exact no shift,1.4584828100635037,1.0,0.3827547030661541,0.8,0.23107236618467789,0.05733333333333333,0.0
60,0,Exact no shift,0.8643570131728782,1.0,0.8235770321549821,0.8,0.16895097569867806,0.052,0.0
61,0,Exact no shift,1.0564436685057248,1.0,0.7412379087522651,0.8,0.15938671432164866,0.051333333333333335,0.0
62,0,Exact no shift,0.9783827312749345,1.0,0.6756976393065464,0.8,0.18616090324947596,0.050333333333333334,0.002
63,0,Exact no shift,1.367949731092933,1.0,0.6312603986936444,0.8,0.14679685723010324,0.06166666666666667,0.0
64,0,Exact no shift,1.433950488623906,1.0,0.5931994929389169,0.8,0.23763689324552018,0.05566666666666667,0.001
65,0,Exact no shift,1.0696645484289775,1.0,0.9560321083705406,0.8,0.149886057496132,0.057666666666666665,0.0
66,0,Exact no shift,1.3754961673388015,1.0,0.2679303063286822,0.8,0.3739606995559612,0.055,0.0
67,0,Exact no shift,1.0769383026629247,1.0,0.9169751298529362,0.8,0.22514368880752478,0.05333333333333334,0.0
68,0,Exact no shift,0.8997276258732277,1.0,0.8491672600753363,0.8,0.14407870617726007,0.04566666666666667,0.0
69,0,Exact no shift,1.1530138972018447,1.0,0.8079570922113624,0.8,0.1542745854501141,0.058666666666666666,0.002
70,0,Exact no shift,1.2074062603492526,1.0,0.7624641833547359,0.8,0.13965644272221836,0.05,0.0
71,0,Exact no shift,0.7900434789178854,1.0,0.47857950329079596,0.8,0.1631225103887041,0.054,0.0
72,0,Exact no shift,0.9634402243853059,1.0,0.8287499156823773,0.8,0.16593676867616922,0.04766666666666667,0.0
73,0,Exact no shift,0.5975471731758285,1.0,0.8543937966643601,0.8,0.28237195801031606,0.054,0.001
74,0,Exact no shift,1.2225926686061424,1.0,1.0339488668501728,0.8,0.14364264880179894,0.04933333333333333,0.0
75,0,Exact no shift,0.9911906715761237,1.0,0.49575843645462203,0.8,0.19109595922394565,0.06266666666666666,0.0
76,0,Exact no shift,0.9087312070291969,1.0,0.7288460104744613,0.8,0.23792976978938254,0.053,0.0
77,0,Exact no shift,1.0909652242936305,1.0,0.7112288297911386,0.8,0.1518071745689468,0.05,0.0
78,0,Exact no shift,0.9308914669864871,1.0,1.1514067456985049,0.8,0.20676944230100847,0.059,0.001
79,0,Exact no shift,1.232315367315796,1.0,0.5603150763527682,0.8,0.2532432369283191,0.05433333333333333,0.0
80,0,Exact no shift,0.9269646134679993,1.0,0.8772361945772509,0.8,0.24222416214329856,0.051,0.0
81,0,Exact no shift,1.3027574693183481,1.0,0.6276608159717022,0.8,0.3735393058614226,0.053,0.0
82,0,Exact no shift,0.7181091550313701,1.0,0.7117455693258581,0.8,0.3897558953171047,0.063,0.0
83,0,Exact no shift,0.8724432051633381,1.0,0.875983703669426,0.8,0.20776161350079372,0.055,0.0
84,0,Exact no shift,1.0274402508915992,1.0,0.9752404630174746,0.8,0.19082906386486573,0.057,0.001
85,0,Exact no shift,1.0166117008588633,1.0,0.17978345636375112,0.8,0.36180346306169114,0.05333333333333334,0.0
86,0,Exact no shift,0.9770527702237287,1.0,0.7227726796115589,0.8,0.2146278821836625,0.05633333333333333,0.0
87,0,Exact no shift,1.3858119510494749,1.0,0.49255645689437605,0.8,0.21654616676945249,0.050666666666666665,0.0
88,0,Exact no shift,0.963793939378045,1.0,0.8279416911437538,0.8,0.21290512579988713,0.05,0.0
89,0,Exact no shift,1.3560572378697344,1.0,0.6403700862104523,0.8,0.27743672800087277,0.06333333333333334,0.001
90,0,Exact no shift,1.30596206779488,1.0,0.5373502197799784,0.8,0.22906998904973302,0.041,0.0
91,0,Exact no shift,0.9749374469791806,1.0,0.8142206989580882,0.8,0.09569785801875412,0.06333333333333334,0.0
92,0,Exact no shift,0.795873143916573,1.0,0.9663384185732744,0.8,0.30488948579089864,0.049666666666666665,0.0
93,0,Exact no shift,0.9008876366607728,1.0,0.8198227783988242,0.8,0.10098985960219163,0.049666666666666665,0.001
94,0,Exact no shift,1.3780376004739636,1.0,0.8174492368363957,0.8,0.2687109579001783,0.05633333333333333,0.001
95,0,Exact no shift,1.0396492678480558,1.0,0.7323276217557364,0.8,0.2130610091550028,0.071,0.0
96,0,Exact no shift,1.2493955313480445,1.0,0.9777660540386475,0.8,0.12447301001192745,0.06233333333333333,0.0
97,0,Exact no shift,1.4374995497737473,1.0,0.45763387489123364,0.8,0.22984775946911495,0.052,0.0
98,0,Exact no shift,0.5996083608525766,1.0,0.5923481697102971,0.8,0.11468417502780937,0.050666666666666665,0.0
99,0,Exact no shift,0.7889399240979387,1.0,0.7899879473710943,0.8,0.2355287231467305,0.053,0.0
100,0,Exact no shift,0.9631118800379957,1.0,0.8406927908596231,0.8,0.2885316904822295,0.05266666666666667,0.0
101,0,Exact no shift,1.0792531132916823,1.0,0.5162201742333259,0.8,0.18490546431764363,0.051333333333333335,0.0
102,0,Exact no shift,1.4582111850463948,1.0,0.8998904379592263,0.8,0.069749238096974,0.062,0.0
103,0,Exact no shift,1.0953718638694925,1.0,0.9029376079992275,0.8,0.21847390040544096,0.057,0.001
104,0,Exact no shift,1.038477039099096,1.0,0.6877879962310263,0.8,0.2478123707585751,0.05266666666666667,0.0
105,0,Exact no shift,0.8800408797432322,1.0,0.9407001624802811,0.8,0.20236462357275325,0.05433333333333333,0.0
106,0,Exact no shift,1.001476149541894,1.0,0.690840272169356,0.8,0.198778382250861,0.04466666666666667,0.0
107,0,Exact no shift,1.0157947733156294,1.0,0.8603679289442906,0.8,0.2506528332642019,0.056,0.0
108,0,Exact no shift,1.0799415513595294,1.0,1.2923371774352441,0.8,0.2382837663964473,0.057666666666666665,0.0
109,0,Exact no shift,1.1486287595688394,1.0,0.9251703909029794,0.8,0.16253853066969887,0.05333333333333334,0.001
110,0,Exact no shift,1.1247143651034097,1.0,0.7648144558903509,0.8,0.17647954342927671,0.057,0.0
111,0,Exact no shift,1.0915597468923495,1.0,0.5654574415053618,0.8,0.2047181633454373,0.06,0.0
112,0,Exact no shift,0.6594815203983504,1.0,1.0209326654307498,0.8,0.2695697120396934,0.06233333333333333,0.0
113,0,Exact no shift,1.0925624175916238,1.0,0.8084153722688014,0.8,0.17702534959958222,0.05,0.0
114,0,Exact no shift,1.2052599172601375,1.0,1.2099711239882387,0.8,0.19268234833465528,0.053,0.0
115,0,Exact no shift,1.2305434911371302,1.0,1.1163511941962585,0.8,0.1899950628811313,0.06,0.0
116,0,Exact no shift,1.0280453937431364,1.0,0.6249774226827866,0.8,0.3366505083547243,0.05733333333333333,0.0
117,0,Exact no shift,0.8534373288899862,1.0,0.8683007749618291,0.8,0.13819639616279697,0.048,0.0
118,0,Exact no shift,0.752052362308266,1.0,0.6572588038492316,0.8,0.13416609186190667,0.062,0.0
119,0,Exact no shift,1.345093983982353,1.0,0.9187544873106892,0.8,0.18041188580938394,0.05433333333333333,0.0
120,0,Exact no shift,0.9108550903988945,1.0,0.551079920042432,0.8,0.16343626774702713,0.058,0.0
121,0,Exact no shift,1.0362777657975057,1.0,0.8037243753626797,0.8,0.22266994087004952,0.05366666666666667,0.001
122,0,Exact no shift,0.7471626479700201,1.0,0.7030162777114675,0.8,0.14016054222130525,0.059333333333333335,0.0
123,0,Exact no shift,0.7597281481597895,1.0,0.4888269002117748,0.8,0.29659404153323177,0.050333333333333334,0.001
124,0,Exact no shift,1.2222800134068854,1.0,0.9898999118542017,0.8,0.24558847044146956,0.06433333333333334,0.0
125,0,Exact no shift,1.0665289532672648,1.0,0.688132596944313,0.8,0.13180664078314341,0.05266666666666667,0.0
126,0,Exact no shift,0.6521724972309545,1.0,0.9544558839853852,0.8,0.31244174812782904,0.044,0.001
127,0,Exact no shift,0.9494444648657521,1.0,0.6912045248630633,0.8,0.1392236008118738,0.05366666666666667,0.0
128,0,Exact no shift,1.088292306204342,1.0,0.7266626448268443,0.8,0.1161085671067857,0.052333333333333336,0.0
129,0,Exact no shift,1.1401110330290836,1.0,0.8076668340345979,0.8,0.308689877828141,0.048666666666666664,0.0
130,0,Exact no shift,0.983999020461067,1.0,0.5142503245864133,0.8,0.13546608577218877,0.048666666666666664,0.0
131,0,Exact no shift,0.9175506810246492,1.0,0.982289188103762,0.8,0.18686792804489466,0.05566666666666667,0.0
132,0,Exact no shift,1.044516770430956,1.0,0.8186969361987253,0.8,0.14855865395534917,0.051333333333333335,0.0
133,0,Exact no shift,0.8657475940524372,1.0,0.5369950762517646,0.8,0.08651581161285998,0.05333333333333334,0.0
