shift_index,shift,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0,No shift,Pooled associative latent class model,accuracy,modular causal minus comparator,10,0.013299999999999979,0.0049368145212159,0.021663185478784056
0,No shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,10,0.03166307141336918,0.011897318188041971,0.051428824638696385
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,10,-0.1352348253850581,-0.15995407278535392,-0.11051557798476228
0,No shift,Pooled associative latent class model,brier_score,modular causal minus comparator,10,-0.006144580706814872,-0.009542475352398353,-0.0027466860612313892
0,No shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,10,0.004042274141531807,-0.0024359361894313357,0.01052048447249495
0,No shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,10,0.012007663428144456,-0.005254944081125701,0.029270270937414612
0,No shift,Target-calibrated associative latent model,accuracy,modular causal minus comparator,10,0.00459999999999997,-0.00041544045371626117,0.009615440453716203
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,modular causal minus comparator,10,0.011516329868360958,-0.0007611071731060282,0.023793766909827943
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,modular causal minus comparator,10,0.009392335238920541,-0.02302734449354554,0.04181201497138662
0,No shift,Target-calibrated associative latent model,brier_score,modular causal minus comparator,10,-0.0024387845011151835,-0.004347453549340142,-0.0005301154528902247
0,No shift,Target-calibrated associative latent model,expected_calibration_error,modular causal minus comparator,10,-0.0018930719712305743,-0.007225342083398438,0.0034391981409372893
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,modular causal minus comparator,10,-0.002511251245049584,-0.008894887179099458,0.0038723846890002913
0,No shift,Frozen causal latent SCM,accuracy,modular causal minus comparator,10,-0.002299999999999991,-0.005373168235608868,0.000773168235608886
0,No shift,Frozen causal latent SCM,adjusted_rand_index,modular causal minus comparator,10,-0.0056659248812894305,-0.013221594017090634,0.0018897442545117741
0,No shift,Frozen causal latent SCM,false_atrial_renal_competing,modular causal minus comparator,10,-0.00984071225118382,-0.03194219197521817,0.01226076747285053
0,No shift,Frozen causal latent SCM,brier_score,modular causal minus comparator,10,0.001339029986402597,0.0005173238331569472,0.002160736139648247
0,No shift,Frozen causal latent SCM,expected_calibration_error,modular causal minus comparator,10,0.0030935459748845724,-0.0019618595289992075,0.008148951478768353
0,No shift,Frozen causal latent SCM,accuracy_any_missing,modular causal minus comparator,10,-0.004012060641390936,-0.009082429989770806,0.0010583087069889353
1,Mild shift,Pooled associative latent class model,accuracy,modular causal minus comparator,10,0.019199999999999995,0.012706387335027937,0.025693612664972054
1,Mild shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,10,0.04500133094923637,0.030344252230845574,0.059658409667627164
1,Mild shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,10,-0.1709513569220866,-0.20486664354108802,-0.13703607030308518
1,Mild shift,Pooled associative latent class model,brier_score,modular causal minus comparator,10,-0.01023314819450059,-0.01363334351637877,-0.00683295287262241
1,Mild shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,10,0.006421315447623602,-0.0012906907990222977,0.0141333216942695
1,Mild shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,10,0.010992341072553924,-0.006465558750040765,0.028450240895148613
1,Mild shift,Target-calibrated associative latent model,accuracy,modular causal minus comparator,10,0.005699999999999983,-0.0017269375429891064,0.013126937542989072
1,Mild shift,Target-calibrated associative latent model,adjusted_rand_index,modular causal minus comparator,10,0.014093269127897583,-0.00412704764669539,0.03231358590249056
1,Mild shift,Target-calibrated associative latent model,false_atrial_renal_competing,modular causal minus comparator,10,0.0043987620370764,-0.02680215594891705,0.03559968002306985
1,Mild shift,Target-calibrated associative latent model,brier_score,modular causal minus comparator,10,-0.0030697680272253614,-0.00726405854280735,0.001124522488356627
1,Mild shift,Target-calibrated associative latent model,expected_calibration_error,modular causal minus comparator,10,0.0001611273710695537,-0.01570664574605158,0.016028900488190688
1,Mild shift,Target-calibrated associative latent model,accuracy_any_missing,modular causal minus comparator,10,-0.0006053993687653358,-0.00782371682255043,0.006612918085019758
1,Mild shift,Frozen causal latent SCM,accuracy,modular causal minus comparator,10,-0.0018000000000000017,-0.004755269742386446,0.0011552697423864427
1,Mild shift,Frozen causal latent SCM,adjusted_rand_index,modular causal minus comparator,10,-0.004414883438824934,-0.01157352241923574,0.0027437555415858704
1,Mild shift,Frozen causal latent SCM,false_atrial_renal_competing,modular causal minus comparator,10,-0.04811549119409561,-0.07499628894744303,-0.02123469344074819
1,Mild shift,Frozen causal latent SCM,brier_score,modular causal minus comparator,10,0.0011089326397824104,-0.0005818251153339024,0.002799690394898723
1,Mild shift,Frozen causal latent SCM,expected_calibration_error,modular causal minus comparator,10,0.005235927989621509,-0.0017887827389529735,0.012260638718195993
1,Mild shift,Frozen causal latent SCM,accuracy_any_missing,modular causal minus comparator,10,-0.004828516353563428,-0.013091830947894971,0.003434798240768115
2,Moderate shift,Pooled associative latent class model,accuracy,modular causal minus comparator,10,0.030900000000000028,0.023719061283733252,0.038080938716266804
2,Moderate shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,10,0.06874060807112622,0.05365970653469172,0.08382150960756073
2,Moderate shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,10,-0.2087920489714367,-0.23298851047544122,-0.18459558746743215
2,Moderate shift,Pooled associative latent class model,brier_score,modular causal minus comparator,10,-0.01643987709472939,-0.020293251317843153,-0.012586502871615625
2,Moderate shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,10,-0.002033449867933534,-0.014167244863016458,0.01010034512714939
2,Moderate shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,10,0.03387178979866549,0.019210989604309715,0.04853258999302126
2,Moderate shift,Target-calibrated associative latent model,accuracy,modular causal minus comparator,10,0.007300000000000006,0.002578283142932754,0.01202171685706726
2,Moderate shift,Target-calibrated associative latent model,adjusted_rand_index,modular causal minus comparator,10,0.017184091862476082,0.006311349978698167,0.028056833746254
2,Moderate shift,Target-calibrated associative latent model,false_atrial_renal_competing,modular causal minus comparator,10,-0.006981129024691895,-0.039032796280136284,0.02507053823075249
2,Moderate shift,Target-calibrated associative latent model,brier_score,modular causal minus comparator,10,-0.0030855928724343256,-0.005656071898528043,-0.000515113846340608
2,Moderate shift,Target-calibrated associative latent model,expected_calibration_error,modular causal minus comparator,10,-0.0054756952694612355,-0.016414278508632613,0.005462887969710142
2,Moderate shift,Target-calibrated associative latent model,accuracy_any_missing,modular causal minus comparator,10,0.006445879757483031,-0.0014683371971637577,0.01436009671212982
2,Moderate shift,Frozen causal latent SCM,accuracy,modular causal minus comparator,10,0.007200000000000007,0.0017436610835335946,0.01265633891646642
2,Moderate shift,Frozen causal latent SCM,adjusted_rand_index,modular causal minus comparator,10,0.016754623107841933,0.004291048280139043,0.029218197935544823
2,Moderate shift,Frozen causal latent SCM,false_atrial_renal_competing,modular causal minus comparator,10,-0.10647532345603421,-0.13558363033914153,-0.07736701657292688
2,Moderate shift,Frozen causal latent SCM,brier_score,modular causal minus comparator,10,-0.0016649160004113012,-0.004518729284277856,0.0011888972834552534
2,Moderate shift,Frozen causal latent SCM,expected_calibration_error,modular causal minus comparator,10,0.001961367169547558,-0.012301346774533598,0.016224081113628715
2,Moderate shift,Frozen causal latent SCM,accuracy_any_missing,modular causal minus comparator,10,0.007968061465673294,-0.002659349554055843,0.01859547248540243
3,Strong shift,Pooled associative latent class model,accuracy,modular causal minus comparator,10,0.04700000000000004,0.03667746622125858,0.057322533778741504
3,Strong shift,Pooled associative latent class model,adjusted_rand_index,modular causal minus comparator,10,0.09279620226659577,0.07373511405545635,0.11185729047773518
3,Strong shift,Pooled associative latent class model,false_atrial_renal_competing,modular causal minus comparator,10,-0.2330862739442255,-0.26679517447610335,-0.1993773734123477
3,Strong shift,Pooled associative latent class model,brier_score,modular causal minus comparator,10,-0.0261113352839754,-0.02980060756062685,-0.022422063007323953
3,Strong shift,Pooled associative latent class model,expected_calibration_error,modular causal minus comparator,10,-0.02358539041667514,-0.035435161042419554,-0.011735619790930728
3,Strong shift,Pooled associative latent class model,accuracy_any_missing,modular causal minus comparator,10,0.053302670385006724,0.03985915955038699,0.06674618121962646
