shift_index,shift,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0,No shift,Pooled associative latent class model,accuracy,10,0.7987,0.0200058324828869,0.006326399713370414,0.784388689573321,0.813011310426679,0.767275,0.8277749999999999
0,No shift,Pooled associative latent class model,adjusted_rand_index,10,0.35768466714314895,0.04784972721309272,0.015131412341111407,0.3234550343316049,0.391914299954693,0.28529660966214226,0.42917225755414096
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,10,0.29646589050925887,0.06175551433721093,0.019528808338077016,0.2522886568452731,0.34064312417324466,0.1802304964539007,0.3748001998001998
0,No shift,Pooled associative latent class model,brier_score,10,0.1387209747675577,0.009585524813870644,0.00303120909798928,0.13186390339443274,0.14557804614068268,0.12399143126920667,0.15232386897793718
0,No shift,Pooled associative latent class model,expected_calibration_error,10,0.04009113094850688,0.02351294865247441,0.007435447224840602,0.02327098074981008,0.05691128114720368,0.02541977967770851,0.09185713297062553
0,No shift,Pooled associative latent class model,mean_posterior_entropy,10,0.4243665061713854,0.014043050119403518,0.004440802367321464,0.41432071328732967,0.4344122990554411,0.4042763703935688,0.44579213378759486
0,No shift,Pooled associative latent class model,predicted_atrial_prevalence,10,0.48719999999999997,0.05300901390853782,0.016762922047052407,0.4492796358208955,0.5251203641791045,0.3929,0.539
0,No shift,Pooled associative latent class model,accuracy_complete_case,10,0.8046160868549427,0.02058085280522435,0.0065082371053174675,0.7898934316695959,0.8193387420402894,0.7704058664677566,0.8351571241317326
0,No shift,Pooled associative latent class model,accuracy_any_missing,10,0.7679136066413532,0.029667912396461094,0.009381817659516144,0.7466904606222877,0.7891367526604187,0.724583565718535,0.812392795883362
0,No shift,Pooled associative latent class model,accuracy_electrical_missing,10,0.7767249652598958,0.057515215478830886,0.018187908102847747,0.7355810586677066,0.8178688718520849,0.7009903961584634,0.8654986522911051
0,No shift,Pooled associative latent class model,biomarker_missing_fraction,10,0.054766666666666665,0.004280446497997869,0.0013535960336164634,0.05170461970361028,0.05782871362972305,0.04771666666666667,0.059958333333333336
0,No shift,Pooled associative latent class model,all_biomarkers_missing_rate,10,0.00030000000000000003,0.0004830458915396479,0.00015275252316519465,-4.555021442218172e-05,0.0006455502144221818,0.0,0.001
0,No shift,Target-calibrated associative latent model,accuracy,10,0.8074,0.011529671865813558,0.003646002377033409,0.7991521696070109,0.8156478303929892,0.7931250000000001,0.828525
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,10,0.3778314086881571,0.02875293495497735,0.009092476387239938,0.3572627981006805,0.39840001927563373,0.34306255720368994,0.4312230313416498
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,10,0.1518387298852802,0.06498657292533541,0.02055055877726914,0.10535013614662664,0.19832732362393374,0.06918218085106383,0.27528763183125604
0,No shift,Target-calibrated associative latent model,brier_score,10,0.13501517856185802,0.008087788261529835,0.002557583213960785,0.12922952337480123,0.1408008337489148,0.12315766506869298,0.1454250766037751
0,No shift,Target-calibrated associative latent model,expected_calibration_error,10,0.04602647706126926,0.021459034065553075,0.006785942403429072,0.030675608846636823,0.06137734527590169,0.026376447945173985,0.08748796709893059
0,No shift,Target-calibrated associative latent model,mean_posterior_entropy,10,0.39855854796078216,0.012190890849390214,0.003855098179057779,0.3898377100015208,0.40727938592004354,0.3802046760972327,0.4155374946141138
0,No shift,Target-calibrated associative latent model,predicted_atrial_prevalence,10,0.49350000000000005,0.05871257673332578,0.018566546977471787,0.4514995527654451,0.5355004472345549,0.41157499999999997,0.582
0,No shift,Target-calibrated associative latent model,accuracy_complete_case,10,0.8120237429428515,0.0118340211819778,0.003742246081372779,0.8035581941647114,0.8204892917209916,0.7942250648869114,0.8302765170232999
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,10,0.7824325213145472,0.03204275647376463,0.01013280929672016,0.7595105141841371,0.8053545284449574,0.7313115228720324,0.8234727536614329
0,No shift,Target-calibrated associative latent model,accuracy_electrical_missing,10,0.7834869059378669,0.04929905859030043,0.015589731164743909,0.7482204839165716,0.8187533279591621,0.71067649281935,0.8601415094339623
0,No shift,Target-calibrated associative latent model,biomarker_missing_fraction,10,0.054766666666666665,0.004280446497997869,0.0013535960336164634,0.05170461970361028,0.05782871362972305,0.04771666666666667,0.059958333333333336
0,No shift,Target-calibrated associative latent model,all_biomarkers_missing_rate,10,0.00030000000000000003,0.0004830458915396479,0.00015275252316519465,-4.555021442218172e-05,0.0006455502144221818,0.0,0.001
0,No shift,Frozen causal latent SCM,accuracy,10,0.8143,0.011566714697306585,0.0036577163488833867,0.806025670761685,0.8225743292383151,0.794375,0.832625
0,No shift,Frozen causal latent SCM,adjusted_rand_index,10,0.3950136634378075,0.02901610686053414,0.009175698651012556,0.3742567910102288,0.41577053586538626,0.34614393365030577,0.44215739309895646
0,No shift,Frozen causal latent SCM,false_atrial_renal_competing,10,0.17107177737538456,0.052954091202339064,0.01674555396236757,0.13319070253345494,0.2089528522173142,0.07456412529550828,0.21985858101629915
0,No shift,Frozen causal latent SCM,brier_score,10,0.13123736407434025,0.007710728872304445,0.0024383465656503665,0.12572144092533358,0.13675328722334693,0.12127872894861066,0.140899370158981
0,No shift,Frozen causal latent SCM,expected_calibration_error,10,0.041039859115154106,0.019322558651773337,0.006110329556179606,0.027217333342243303,0.05486238488806491,0.026288974549799747,0.07980977006648673
0,No shift,Frozen causal latent SCM,mean_posterior_entropy,10,0.40117895544504656,0.013750777483131629,0.004348377644485352,0.3913422418097794,0.41101566908031373,0.3797303029858348,0.41924688769428264
0,No shift,Frozen causal latent SCM,predicted_atrial_prevalence,10,0.4928,0.049696411674620286,0.015715385242918274,0.4572493287057208,0.5283506712942792,0.41845,0.5562
0,No shift,Frozen causal latent SCM,accuracy_complete_case,10,0.8199893712233187,0.0092629989705183,0.0029292174710632717,0.8133630209395956,0.8266157215070419,0.8075991960715247,0.8357621139703593
