renal_effect_sd,heart_failure_effect_sd,metric,in_sample_mean,held_out_mean,held_out_minus_in_sample
0.0,1.5,agreement_with_mechanism,0.8158125000000002,0.814425,-0.001387500000000208
0.0,1.5,agreement_with_kidney_status,0.52475,0.5198250000000001,-0.004924999999999957
0.0,1.5,composition__atrial_normal_kidneys,0.5900104249211158,0.5802301692257432,-0.009780255695372553
0.0,1.5,composition__atrial_impaired_kidneys,0.2428983105151552,0.2474096472660528,0.004511336750897599
0.0,1.5,composition__competing_impaired_kidneys,0.04931535444446651,0.051977403219494386,0.0026620487750278754
0.0,1.5,composition__competing_normal_kidneys,0.11777591011926247,0.12038278028870963,0.002606870169447162
0.25,1.5,agreement_with_mechanism,0.8123125,0.81525,0.0029375000000000373
0.25,1.5,agreement_with_kidney_status,0.5439999999999999,0.5378000000000001,-0.006199999999999872
0.25,1.5,composition__atrial_normal_kidneys,0.5554774234939713,0.5578484498630948,0.0023710263691234523
0.25,1.5,composition__atrial_impaired_kidneys,0.2641962658074524,0.2614566599857959,-0.002739605821656499
0.25,1.5,composition__competing_impaired_kidneys,0.07293322103459385,0.07252912355252181,-0.0004040974820720411
0.25,1.5,composition__competing_normal_kidneys,0.1073930896639824,0.10816576659858741,0.0007726769346050183
0.5,1.5,agreement_with_mechanism,0.7976875000000001,0.8008750000000001,0.0031875000000000098
0.5,1.5,agreement_with_kidney_status,0.5778125000000001,0.5682,-0.009612500000000024
0.5,1.5,composition__atrial_normal_kidneys,0.523808574214746,0.5249336164081069,0.0011250421933608479
0.5,1.5,composition__atrial_impaired_kidneys,0.26935214144429187,0.2679056979305444,-0.001446443513747453
0.5,1.5,composition__competing_impaired_kidneys,0.1070058688568651,0.10478552997504575,-0.002220338881819342
0.5,1.5,composition__competing_normal_kidneys,0.09983341548409691,0.10237515568630284,0.0025417402022059332
0.75,1.5,agreement_with_mechanism,0.770875,0.76935,-0.0015249999999999986
0.75,1.5,agreement_with_kidney_status,0.63625,0.635,-0.0012499999999999734
0.75,1.5,composition__atrial_normal_kidneys,0.4820993279019187,0.48148583731575034,-0.0006134905861683304
0.75,1.5,composition__atrial_impaired_kidneys,0.2919001151956858,0.29401126664361155,0.00211115144792573
0.75,1.5,composition__competing_impaired_kidneys,0.14914111004381864,0.14460730733176927,-0.004533802712049367
0.75,1.5,composition__competing_normal_kidneys,0.07685944685857668,0.0798955887088687,0.0030361418502920234
1.0,1.5,agreement_with_mechanism,0.725125,0.72795,0.0028249999999999664
1.0,1.5,agreement_with_kidney_status,0.70878125,0.7065249999999998,-0.0022562500000001817
1.0,1.5,composition__atrial_normal_kidneys,0.4263762828867762,0.42880772144412216,0.002431438557345955
1.0,1.5,composition__atrial_impaired_kidneys,0.30781139199976015,0.30711625787601726,-0.000695134123742891
1.0,1.5,composition__competing_impaired_kidneys,0.20576787987246048,0.20684383818361368,0.0010759583111532023
1.0,1.5,composition__competing_normal_kidneys,0.060044445241003074,0.057232182496246696,-0.0028122627447563775
1.25,1.5,agreement_with_mechanism,0.6549375,0.6530750000000001,-0.0018624999999998781
1.25,1.5,agreement_with_kidney_status,0.8125312499999999,0.8106249999999999,-0.0019062499999999982
1.25,1.5,composition__atrial_normal_kidneys,0.32070186973063786,0.32384557285830307,0.0031437031276652094
1.25,1.5,composition__atrial_impaired_kidneys,0.3550513426055525,0.34769066094394996,-0.007360681661602531
1.25,1.5,composition__competing_impaired_kidneys,0.29178863593451865,0.29387044430609166,0.002081808371573013
1.25,1.5,composition__competing_normal_kidneys,0.03245815172929088,0.03459332189165528,0.0021351701623643984
1.5,1.5,agreement_with_mechanism,0.5717812500000001,0.56955,-0.002231250000000129
1.5,1.5,agreement_with_kidney_status,0.9179375000000001,0.91985,0.0019124999999998726
1.5,1.5,composition__atrial_normal_kidneys,0.1530730043300818,0.15264504831938233,-0.0004279560106994762
1.5,1.5,composition__atrial_impaired_kidneys,0.43666540677028315,0.43650758146567936,-0.00015782530460378696
1.5,1.5,composition__competing_impaired_kidneys,0.3986535251885935,0.3991261291258586,0.00047260393726511474
1.5,1.5,composition__competing_normal_kidneys,0.011608063711041469,0.011721241089079609,0.00011317737803813975
1.75,1.5,agreement_with_mechanism,0.526125,0.523525,-0.0025999999999999357
1.75,1.5,agreement_with_kidney_status,0.9798437499999999,0.9820499999999999,0.002206249999999965
1.75,1.5,composition__atrial_normal_kidneys,0.04235360914274196,0.0371257805650564,-0.005227828577685556
1.75,1.5,composition__atrial_impaired_kidneys,0.4894275148742747,0.4833269928014069,-0.00610052207286782
1.75,1.5,composition__competing_impaired_kidneys,0.4665893506602009,0.47769034312825215,0.01110099246805124
1.75,1.5,composition__competing_normal_kidneys,0.0016295253227824175,0.001856883505284495,0.00022735818250207746
2.0,1.5,agreement_with_mechanism,0.5172812499999999,0.5119,-0.005381249999999893
2.0,1.5,agreement_with_kidney_status,0.9961874999999999,0.996275,8.750000000012914e-05
2.0,1.5,composition__atrial_normal_kidneys,0.008594843234752838,0.008303376330939718,-0.0002914669038131205
2.0,1.5,composition__atrial_impaired_kidneys,0.48932250239973224,0.49772032395510557,0.00839782155537333
2.0,1.5,composition__competing_impaired_kidneys,0.5018780860924223,0.49382071204536115,-0.008057374047061194
2.0,1.5,composition__competing_normal_kidneys,0.00020456827309236748,0.00015558766859344748,-4.8980604498920005e-05
